#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,16030,Port:10,0,0,0,Enabled,0.58501,-0.481862,-0.378975,0.53099,-46.2945,53.4422,-93.2283,0.0476661,0
,,16038,Port:10,0,0,0,Enabled,0.584992,-0.481867,-0.378975,0.531005,-46.3008,53.4376,-93.2314,0.0475242,0
,,16046,Port:10,0,0,0,Enabled,0.58499,-0.481871,-0.378977,0.531002,-46.306,53.4366,-93.2432,0.0476491,0
,,16062,Port:10,0,0,0,Enabled,0.58497,-0.481882,-0.37898,0.531013,-46.3139,53.4343,-93.2569,0.0478482,0
,,16078,Port:10,0,0,0,Enabled,0.584951,-0.481901,-0.378966,0.531027,-46.3174,53.4329,-93.2683,0.0478644,0
,,16094,Port:10,0,0,0,Enabled,0.584946,-0.4819,-0.37896,0.531036,-46.3214,53.4328,-93.2739,0.0480213,0
,,16110,Port:10,0,0,0,Enabled,0.584924,-0.481918,-0.378945,0.531055,-46.3236,53.4319,-93.285,0.0478392,0
,,16126,Port:10,0,0,0,Enabled,0.584911,-0.481925,-0.378937,0.53107,-46.3228,53.4333,-93.284,0.0475605,0
,,16142,Port:10,0,0,0,Enabled,0.58492,-0.481918,-0.378939,0.531065,-46.3227,53.4305,-93.2796,0.0477385,0
,,16158,Port:10,0,0,0,Enabled,0.584912,-0.48192,-0.378941,0.531071,-46.3278,53.4299,-93.2845,0.0474259,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,18158,Port:10,0,0,0,Enabled,0.548328,-0.447205,-0.395519,0.585584,-70.0332,-5.08724,-98.8279,0.0904909,0
,,18166,Port:10,0,0,0,Enabled,0.548318,-0.447203,-0.395524,0.585592,-70.0398,-5.09408,-98.8382,0.0901647,0
,,18174,Port:10,0,0,0,Enabled,0.548317,-0.4472,-0.39554,0.585584,-70.0421,-5.0978,-98.8434,0.0896929,0
,,18190,Port:10,0,0,0,Enabled,0.548327,-0.447199,-0.39556,0.585562,-70.0489,-5.1021,-98.8529,0.0892948,0
,,18214,Port:10,0,0,0,Enabled,0.548242,-0.447243,-0.395514,0.585639,-70.0573,-5.10965,-98.8648,0.090161,0
,,18230,Port:10,0,0,0,Enabled,0.548244,-0.447231,-0.395519,0.585643,-70.0583,-5.1079,-98.867,0.0900582,0
,,18238,Port:10,0,0,0,Enabled,0.548261,-0.44722,-0.395525,0.585631,-70.0557,-5.10697,-98.8624,0.0897007,0
,,18254,Port:10,0,0,0,Enabled,0.548276,-0.447233,-0.395523,0.585609,-70.047,-5.09995,-98.8627,0.0899666,0
,,18270,Port:10,0,0,0,Enabled,0.548293,-0.447216,-0.39553,0.585601,-70.0431,-5.09776,-98.8582,0.089701,0
,,18286,Port:10,0,0,0,Enabled,0.548382,-0.447181,-0.395583,0.585509,-70.0356,-5.09216,-98.8557,0.0887712,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,19398,Port:10,0,0,0,Enabled,0.545891,-0.42645,-0.404682,0.596972,-69.309,-33.6494,-97.6882,0.103884,0
,,19406,Port:10,0,0,0,Enabled,0.545912,-0.426441,-0.404685,0.596958,-69.3079,-33.6484,-97.6884,0.103725,0
,,19414,Port:10,0,0,0,Enabled,0.545951,-0.426415,-0.40469,0.596937,-69.3075,-33.6418,-97.6791,0.103735,0
,,19430,Port:10,0,0,0,Enabled,0.545969,-0.426414,-0.404685,0.596924,-69.2994,-33.637,-97.6719,0.104138,0
,,19446,Port:10,0,0,0,Enabled,0.546006,-0.426397,-0.404672,0.596912,-69.2983,-33.6324,-97.6616,0.103907,0
,,19462,Port:10,0,0,0,Enabled,0.546054,-0.426361,-0.404692,0.59688,-69.2918,-33.6294,-97.6527,0.103695,0
,,19478,Port:10,0,0,0,Enabled,0.546095,-0.42635,-0.404666,0.596868,-69.2838,-33.6187,-97.6358,0.10363,0
,,19494,Port:10,0,0,0,Enabled,0.546071,-0.42638,-0.404614,0.596904,-69.2696,-33.6105,-97.6194,0.104384,0
,,19510,Port:10,0,0,0,Enabled,0.546143,-0.426336,-0.404607,0.596874,-69.2676,-33.6005,-97.602,0.104031,0
,,19526,Port:10,0,0,0,Enabled,0.546155,-0.426323,-0.404599,0.596878,-69.2615,-33.5978,-97.5919,0.104106,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,20806,Port:10,0,0,0,Enabled,0.514478,-0.452133,-0.435468,0.584171,-79.4071,-64.1653,-95.3779,0.0833559,0
,,20814,Port:10,0,0,0,Enabled,0.514503,-0.452092,-0.435512,0.584149,-79.4185,-64.1721,-95.3685,0.0834795,0
,,20822,Port:10,0,0,0,Enabled,0.514539,-0.452043,-0.435556,0.584121,-79.4269,-64.1749,-95.3554,0.0838603,0
,,20838,Port:10,0,0,0,Enabled,0.514479,-0.452033,-0.435585,0.584161,-79.439,-64.1958,-95.3438,0.0835476,0
,,20854,Port:10,0,0,0,Enabled,0.514528,-0.451972,-0.43564,0.584123,-79.4479,-64.1994,-95.3329,0.0840122,0
,,20870,Port:10,0,0,0,Enabled,0.514462,-0.451975,-0.435654,0.584168,-79.4611,-64.2213,-95.3355,0.0839663,0
,,20886,Port:10,0,0,0,Enabled,0.514461,-0.451933,-0.435668,0.584192,-79.4812,-64.2334,-95.3387,0.084165,0
,,20902,Port:10,0,0,0,Enabled,0.514347,-0.451953,-0.43567,0.584275,-79.4961,-64.2609,-95.3478,0.0836159,0
,,20918,Port:10,0,0,0,Enabled,0.514332,-0.451914,-0.435709,0.58429,-79.5148,-64.2745,-95.3486,0.0836865,0
,,20934,Port:10,0,0,0,Enabled,0.514255,-0.451896,-0.435731,0.584355,-79.5358,-64.3006,-95.35,0.0834447,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,23286,Port:10,0,0,0,Enabled,0.516478,-0.539569,-0.444697,0.49433,-95.457,82.9997,-93.6412,0.073208,0
,,23294,Port:10,0,0,0,Enabled,0.516398,-0.539489,-0.444738,0.494462,-95.914,82.9014,-93.7356,0.0780841,0
,,23302,Port:10,0,0,0,Enabled,0.51633,-0.53948,-0.444689,0.494587,-95.9664,82.8821,-93.7424,0.0771995,0
,,23318,Port:10,0,0,0,Enabled,0.516099,-0.539415,-0.444975,0.494643,-95.7607,82.7936,-93.7019,0.0751589,0
,,23334,Port:10,0,0,0,Enabled,0.516114,-0.53933,-0.444866,0.494817,-95.8861,82.786,-93.7112,0.0726746,0
,,23350,Port:10,0,0,0,Enabled,0.515794,-0.539402,-0.444976,0.494973,-95.9675,82.6872,-93.7872,0.0733486,0
,,23366,Port:10,0,0,0,Enabled,0.515639,-0.539121,-0.445101,0.49533,-96.3053,82.55,-93.846,0.0728498,0
,,23382,Port:10,0,0,0,Enabled,0.515146,-0.539026,-0.44537,0.495703,-96.5723,82.3409,-93.9336,0.0732916,0
,,23398,Port:10,0,0,0,Enabled,0.515171,-0.53878,-0.445583,0.495754,-96.7671,82.2724,-94.002,0.07604,0
,,23414,Port:10,0,0,0,Enabled,0.51464,-0.538885,-0.445563,0.496208,-97.0175,82.1065,-94.138,0.0729963,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,24062,Port:10,0,0,0,Enabled,0.498441,-0.521422,-0.453446,0.52351,-110.627,46.7555,-99.1961,0.0544444,0
,,24070,Port:10,0,0,0,Enabled,0.498423,-0.521432,-0.45347,0.523497,-110.637,46.7538,-99.2095,0.0544203,0
,,24078,Port:10,0,0,0,Enabled,0.498418,-0.521429,-0.453496,0.523483,-110.64,46.7504,-99.2182,0.0544429,0
,,24086,Port:10,0,0,0,Enabled,0.498401,-0.52143,-0.453488,0.523504,-110.646,46.7464,-99.2233,0.0543903,0
,,24102,Port:10,0,0,0,Enabled,0.498381,-0.52147,-0.453493,0.523478,-110.642,46.7483,-99.24,0.0542068,0
,,24118,Port:10,0,0,0,Enabled,0.498333,-0.521494,-0.453489,0.523504,-110.65,46.7393,-99.2593,0.0539692,0
,,24134,Port:10,0,0,0,Enabled,0.498342,-0.521492,-0.453525,0.523466,-110.655,46.7459,-99.2688,0.0541736,0
,,24150,Port:10,0,0,0,Enabled,0.498351,-0.521505,-0.453526,0.523444,-110.638,46.7506,-99.2744,0.0544764,0
