#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,9566,Port:10,0,0,0,Enabled,0.886248,-0.0551372,-0.0174637,0.459587,-23.1553,124.279,-182.457,0.221744,0
,,9574,Port:10,0,0,0,Enabled,0.886094,-0.0551929,-0.0175207,0.459874,-23.1375,124.275,-182.472,0.22351,0
,,9582,Port:10,0,0,0,Enabled,0.886207,-0.055116,-0.0175221,0.459667,-23.1468,124.292,-182.465,0.222837,0
,,9598,Port:10,0,0,0,Enabled,0.886578,-0.055342,-0.0174832,0.458925,-23.1418,124.253,-182.478,0.219322,0
,,9622,Port:10,0,0,0,Enabled,0.886546,-0.0552946,-0.0174962,0.458991,-23.1451,124.261,-182.477,0.219708,0
,,9630,Port:10,0,0,0,Enabled,0.886492,-0.0553666,-0.0174809,0.459089,-23.1388,124.252,-182.484,0.220148,0
,,9646,Port:10,0,0,0,Enabled,0.886716,-0.0553655,-0.0174288,0.458656,-23.1474,124.245,-182.476,0.217816,0
,,9670,Port:10,0,0,0,Enabled,0.886604,-0.0553908,-0.017434,0.458871,-23.139,124.247,-182.489,0.218712,0
,,9686,Port:10,0,0,0,Enabled,0.886409,-0.0552898,-0.0174285,0.45926,-23.1453,124.253,-182.474,0.220655,0
,,9694,Port:10,0,0,0,Enabled,0.886395,-0.0552823,-0.0174397,0.459286,-23.1444,124.258,-182.484,0.221322,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,12934,Port:10,0,0,0,Enabled,0.886465,-0.0552711,-0.0173943,0.459155,-23.1613,124.262,-182.484,0.219609,0
,,12942,Port:10,0,0,0,Enabled,0.886329,-0.0552325,-0.0174404,0.459419,-23.1543,124.269,-182.483,0.221724,0
,,12950,Port:10,0,0,0,Enabled,0.886294,-0.0552885,-0.0174324,0.459481,-23.1476,124.258,-182.475,0.22139,0
,,12966,Port:10,0,0,0,Enabled,0.886309,-0.0554506,-0.0174799,0.459431,-23.1282,124.245,-182.511,0.220806,0
