#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,
,,649707457,Port:1,0,1746518057,618835960,Enabled,0.250461,0.677082,-0.273326,0.635706,10.7373,138.426,-1409.54,0.138722,4,OK,-131.263,45.8032,-1400.63,OK,-121.202,-3.22405,-1403.53,OK,-67.6423,-14.507,-1406.45,OK,-71.4936,49.9466,-1402.9,,649707457,Port:2,0,1746518057,618835960,Enabled,0.949601,0.0598119,0.0122818,0.307458,-114.003,-121.595,-1303.32,0.171909,3,OK,-113.79,-121.703,-1303.34,OK,-158.867,-146.164,-1303.23,OK,-150.95,-70.7542,-1295.65,,649707457,Port:65535,0,1746518057,618835960,Missing,,,,,,,,,0,,,,
,,649707460,Port:1,0,1746518057,668835960,Enabled,0.25108,0.676785,-0.272683,0.636054,10.5621,138.835,-1409.11,0.137428,4,OK,-131.43,46.2129,-1400.02,OK,-121.366,-2.81345,-1402.86,OK,-67.8055,-14.0949,-1405.71,OK,-71.6594,50.3616,-1402.32,,649707460,Port:2,0,1746518057,668835960,Enabled,0.949601,0.059773,0.0122229,0.307466,-114.003,-121.594,-1303.29,0.176369,3,OK,-113.784,-121.706,-1303.32,OK,-158.868,-146.163,-1303.21,OK,-150.955,-70.7491,-1295.63,,649707460,Port:65535,0,1746518057,668835960,Missing,,,,,,,,,0,,,,
,,649707463,Port:1,0,1746518057,718835960,Enabled,0.251277,0.676415,-0.273354,0.636082,10.3714,139.097,-1408.53,0.136935,4,OK,-131.751,46.6636,-1399.61,OK,-121.752,-2.37589,-1402.42,OK,-68.2042,-13.7333,-1405.27,OK,-71.9763,50.7364,-1401.82,,649707463,Port:2,0,1746518057,718835960,Enabled,0.949622,0.0594214,0.0122568,0.307468,-114.001,-121.597,-1303.29,0.170564,3,OK,-113.789,-121.701,-1303.31,OK,-158.865,-146.161,-1303.19,OK,-150.949,-70.7607,-1295.67,,649707463,Port:65535,0,1746518057,718835960,Missing,,,,,,,,,0,,,,
,,649707466,Port:1,0,1746518057,768835960,Enabled,0.251637,0.676077,-0.272925,0.636483,10.21,139.471,-1407.99,0.138432,4,OK,-131.907,47.0331,-1399.01,OK,-121.895,-2.01507,-1401.76,OK,-68.3479,-13.3619,-1404.55,OK,-72.1266,51.1056,-1401.21,,649707466,Port:2,0,1746518057,768835960,Enabled,0.949607,0.0598401,0.0120239,0.307443,-114.004,-121.591,-1303.29,0.174278,3,OK,-113.787,-121.7,-1303.31,OK,-158.871,-146.159,-1303.22,OK,-150.952,-70.747,-1295.62,,649707466,Port:65535,0,1746518057,768835960,Missing,,,,,,,,,0,,,,
,,649707469,Port:1,0,1746518057,818835961,Enabled,0.252239,0.675658,-0.272983,0.636665,10.0987,139.733,-1407.58,0.139296,4,OK,-132.107,47.4438,-1398.57,OK,-122.149,-1.61354,-1401.26,OK,-68.6079,-13.0185,-1404.01,OK,-72.3356,51.452,-1400.74,,649707469,Port:2,0,1746518057,818835961,Enabled,0.949586,0.0598124,0.0122455,0.307504,-114.004,-121.593,-1303.3,0.174977,3,OK,-113.785,-121.701,-1303.33,OK,-158.869,-146.168,-1303.22,OK,-150.957,-70.7544,-1295.64,,649707469,Port:65535,0,1746518057,818835961,Missing,,,,,,,,,0,,,,
,,649707472,Port:1,0,1746518057,868835960,Enabled,0.252126,0.675919,-0.273219,0.636331,10.0331,140.03,-1407.15,0.14332,4,OK,-132.192,47.7642,-1398.13,OK,-122.241,-1.29889,-1400.84,OK,-68.7024,-12.7047,-1403.67,OK,-72.4073,51.7577,-1400.32,,649707472,Port:2,0,1746518057,868835960,Enabled,0.949599,0.0599224,0.0121321,0.307447,-114.001,-121.595,-1303.29,0.172476,3,OK,-113.785,-121.702,-1303.31,OK,-158.867,-146.164,-1303.21,OK,-150.947,-70.7529,-1295.61,,649707472,Port:65535,0,1746518057,868835960,Missing,,,,,,,,,0,,,,
,,649707475,Port:1,0,1746518057,918835960,Enabled,0.252602,0.675184,-0.272551,0.637209,10.0657,140.396,-1406.95,0.13514,4,OK,-132.146,48.0969,-1397.93,OK,-122.171,-0.959497,-1400.52,OK,-68.6246,-12.3666,-1403.22,OK,-72.3489,52.1232,-1400.04,,649707475,Port:2,0,1746518057,918835960,Enabled,0.94959,0.059685,0.0122144,0.307518,-114.003,-121.59,-1303.28,0.174933,3,OK,-113.786,-121.702,-1303.31,OK,-158.863,-146.161,-1303.2,OK,-150.959,-70.7523,-1295.63,,649707475,Port:65535,0,1746518057,918835960,Missing,,,,,,,,,0,,,,
,,649707478,Port:1,0,1746518057,968835961,Enabled,0.252373,0.675662,-0.273036,0.636585,10.1533,140.642,-1406.85,0.135429,4,OK,-132.07,48.3862,-1397.8,OK,-122.138,-0.670659,-1400.52,OK,-68.6019,-12.0872,-1403.26,OK,-72.301,52.3956,-1400.01,,649707478,Port:2,0,1746518057,968835961,Enabled,0.949591,0.059839,0.0122987,0.307481,-114.003,-121.589,-1303.3,0.175858,3,OK,-113.785,-121.701,-1303.33,OK,-158.866,-146.16,-1303.21,OK,-150.954,-70.7475,-1295.63,,649707478,Port:65535,0,1746518057,968835961,Missing,,,,,,,,,0,,,,
,,649707481,Port:1,0,1746518058,18835961,Enabled,0.252608,0.676009,-0.272541,0.636335,10.1601,140.895,-1407.31,0.137869,4,OK,-132.024,48.5906,-1398.05,OK,-122.061,-0.470296,-1400.71,OK,-68.517,-11.8685,-1403.54,OK,-72.245,52.6105,-1400.3,,649707481,Port:2,0,1746518058,18835961,Enabled,0.949581,0.0598603,0.0120419,0.307519,-114.001,-121.587,-1303.28,0.176179,3,OK,-113.782,-121.698,-1303.3,OK,-158.865,-146.165,-1303.21,OK,-150.959,-70.7434,-1295.61,,649707481,Port:65535,0,1746518058,18835961,Missing,,,,,,,,,0,,,,
,,649707484,Port:1,0,1746518058,68835961,Enabled,0.252332,0.675783,-0.273293,0.636362,10.2292,141.029,-1407.24,0.139884,4,OK,-132.03,48.8246,-1398.21,OK,-122.105,-0.243185,-1400.92,OK,-68.5722,-11.6754,-1403.72,OK,-72.2537,52.7989,-1400.41,,649707484,Port:2,0,1746518058,68835961,Enabled,0.949596,0.0597957,0.0119522,0.307488,-114.005,-121.594,-1303.29,0.17415,3,OK,-113.788,-121.702,-1303.31,OK,-158.87,-146.164,-1303.23,OK,-150.959,-70.7546,-1295.64,,649707484,Port:65535,0,1746518058,68835961,Missing,,,,,,,,,0,,,,
