#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,15630,Port:10,0,0,0,Enabled,0.477255,-0.611488,-0.365055,0.514826,-107.488,67.385,-79.0114,0.0654163,0
,,15638,Port:10,0,0,0,Enabled,0.476791,-0.611817,-0.365616,0.514467,-107.594,67.1806,-78.9497,0.0660934,0
,,15646,Port:10,0,0,0,Enabled,0.476913,-0.611865,-0.365595,0.514311,-107.624,67.0227,-78.7996,0.0662494,0
,,15662,Port:10,0,0,0,Enabled,0.4785,-0.611704,-0.363031,0.514845,-107.339,66.858,-78.1018,0.0659487,0
,,15678,Port:10,0,0,0,Enabled,0.479773,-0.609819,-0.364584,0.514798,-106.886,66.2461,-77.7919,0.0637204,0
,,15694,Port:10,0,0,0,Enabled,0.480253,-0.606973,-0.366789,0.516147,-106.388,65.4235,-77.5496,0.0614332,0
,,15710,Port:10,0,0,0,Enabled,0.481333,-0.606671,-0.364846,0.516873,-105.983,65.4824,-77.1911,0.0590774,0
,,15726,Port:10,0,0,0,Enabled,0.480603,-0.608634,-0.362803,0.516681,-105.736,65.7485,-77.2668,0.0601269,0
,,15742,Port:10,0,0,0,Enabled,0.480507,-0.609812,-0.362339,0.515706,-105.81,65.8349,-77.3023,0.0604786,0
,,15758,Port:10,0,0,0,Enabled,0.480366,-0.608794,-0.362916,0.516633,-106.041,65.5061,-76.9511,0.0607883,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,16870,Port:10,0,0,0,Enabled,0.491045,-0.544052,-0.391859,0.556174,-105.37,-63.9733,-71.5862,0.24283,0
,,16878,Port:10,0,0,0,Enabled,0.490938,-0.542653,-0.393684,0.556346,-105.268,-64.169,-71.6896,0.244057,0
,,16894,Port:10,0,0,0,Enabled,0.49025,-0.54234,-0.392408,0.558156,-105.154,-64.0635,-71.666,0.241784,0
,,16910,Port:10,0,0,0,Enabled,0.490516,-0.543011,-0.392466,0.557229,-104.887,-63.4982,-71.9601,0.236952,0
,,16926,Port:10,0,0,0,Enabled,0.489881,-0.545056,-0.389396,0.557944,-104.835,-63.1019,-72.0765,0.233935,0
,,16942,Port:10,0,0,0,Enabled,0.489979,-0.544134,-0.390793,0.557781,-104.574,-63.2179,-72.2685,0.232697,0
,,16958,Port:10,0,0,0,Enabled,0.489241,-0.543445,-0.390465,0.559328,-104.346,-63.5082,-72.256,0.233333,0
,,16974,Port:10,0,0,0,Enabled,0.489063,-0.543191,-0.390619,0.559623,-104.158,-63.5733,-72.4299,0.231896,0
,,16990,Port:10,0,0,0,Enabled,0.489587,-0.543593,-0.390192,0.559072,-104.101,-63.5296,-72.6759,0.230276,0
,,17006,Port:10,0,0,0,Enabled,0.488698,-0.543235,-0.390644,0.559882,-104.019,-63.7149,-72.9327,0.231002,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,18222,Port:10,0,0,0,Enabled,0.481695,-0.3393,-0.418043,0.691437,4.27433,-96.5404,-85.8504,0.0536624,0
,,18230,Port:10,0,0,0,Enabled,0.482107,-0.339641,-0.417946,0.691042,4.04431,-96.5851,-85.6946,0.0535228,0
,,18238,Port:10,0,0,0,Enabled,0.482016,-0.339965,-0.418044,0.690887,3.83762,-96.6961,-85.4283,0.0537276,0
,,18254,Port:10,0,0,0,Enabled,0.481281,-0.339441,-0.419473,0.69079,3.4493,-97.4267,-85.2065,0.0559896,0
,,18270,Port:10,0,0,0,Enabled,0.482424,-0.339217,-0.420407,0.689534,2.88759,-98.0291,-84.6999,0.0568777,0
,,18286,Port:10,0,0,0,Enabled,0.482108,-0.339655,-0.421341,0.688969,2.25273,-98.6201,-84.5114,0.0588586,0
,,18302,Port:10,0,0,0,Enabled,0.482674,-0.340398,-0.421412,0.688162,1.83362,-99,-84.0494,0.059991,0
,,18326,Port:10,0,0,0,Enabled,0.482168,-0.341216,-0.420175,0.688867,1.67621,-99.3186,-83.7386,0.0581652,0
,,18334,Port:10,0,0,0,Enabled,0.482447,-0.341271,-0.420239,0.688606,1.65003,-99.3612,-83.7533,0.0595193,0
,,18350,Port:10,0,0,0,Enabled,0.481684,-0.341665,-0.419684,0.689283,1.65983,-99.4333,-83.842,0.0584423,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,19206,Port:10,0,0,0,Enabled,0.422886,-0.332374,-0.402722,0.740614,9.92279,46.666,-79.6299,0.0694428,0
,,19214,Port:10,0,0,0,Enabled,0.422041,-0.332422,-0.402819,0.741022,9.74621,46.5016,-79.5152,0.0696362,0
,,19238,Port:10,0,0,0,Enabled,0.421923,-0.334167,-0.400191,0.741729,9.55839,46.7408,-79.0449,0.0677858,0
,,19246,Port:10,0,0,0,Enabled,0.422044,-0.33589,-0.398684,0.741692,9.39956,47.0908,-78.9957,0.0710493,0
,,19262,Port:10,0,0,0,Enabled,0.423584,-0.338902,-0.396128,0.740813,9.13244,47.2954,-78.9674,0.0694535,0
,,19278,Port:10,0,0,0,Enabled,0.422458,-0.337012,-0.397295,0.741693,9.51348,46.2709,-79.3267,0.0692832,0
,,19294,Port:10,0,0,0,Enabled,0.421781,-0.334909,-0.398422,0.742426,9.88373,45.4535,-79.6829,0.0689034,0
,,19310,Port:10,0,0,0,Enabled,0.422904,-0.336068,-0.397227,0.741904,9.6482,45.986,-79.9367,0.0699382,0
,,19326,Port:10,0,0,0,Enabled,0.422918,-0.337511,-0.396217,0.741781,9.33081,46.4989,-80.0277,0.070957,0
,,19342,Port:10,0,0,0,Enabled,0.422292,-0.336048,-0.396685,0.742551,9.46917,46.4224,-79.974,0.0685829,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,20582,Port:10,0,0,0,Enabled,0.511402,-0.638636,-0.201138,0.538662,-75.6851,-10.0412,-66.6939,0.229174,0
