#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,649723792,Port:1,0,1746518329,868810291,Enabled,0.537373,0.545738,-0.495278,0.410001,2.43903,-1.71596,-1368.74,0.21514,4,OK,-154.649,48.2525,-1328.2,OK,-186.154,9.33678,-1326.22,OK,-162.085,-38.9616,-1335.75,OK,-114.763,4.96694,-1339.35,,649723792,Port:2,0,1746518329,868810291,Enabled,0.94959,0.0599386,0.0122818,0.307466,-114.006,-121.608,-1303.27,0.175782,3,OK,-113.788,-121.72,-1303.3,OK,-158.87,-146.18,-1303.18,OK,-150.956,-70.7628,-1295.59,,649723792,Port:65535,0,1746518329,868810291,Missing,,,,,,,,,0
,,649723795,Port:1,0,1746518329,918810291,Enabled,0.537631,0.545986,-0.494879,0.409812,2.33936,-1.97062,-1369.29,0.193188,4,OK,-154.718,47.9623,-1328.55,OK,-186.216,9.03962,-1326.59,OK,-162.139,-39.2564,-1336.09,OK,-114.825,4.68585,-1339.8,,649723795,Port:2,0,1746518329,918810291,Enabled,0.949608,0.0597649,0.0120417,0.307453,-114.004,-121.603,-1303.24,0.173106,3,OK,-113.788,-121.711,-1303.27,OK,-158.871,-146.173,-1303.17,OK,-150.952,-70.7584,-1295.59,,649723795,Port:65535,0,1746518329,918810291,Missing,,,,,,,,,0
,,649723798,Port:1,0,1746518329,968810284,Enabled,0.537152,0.547894,-0.492911,0.410267,2.7343,-1.87604,-1370.07,0.202557,4,OK,-154.456,47.2621,-1328.9,OK,-185.744,8.18103,-1326.85,OK,-161.472,-39.9865,-1336.46,OK,-114.388,4.1924,-1340.25,,649723798,Port:2,0,1746518329,968810284,Enabled,0.949592,0.0598063,0.0121012,0.307494,-114.002,-121.608,-1303.25,0.174373,3,OK,-113.785,-121.718,-1303.28,OK,-158.866,-146.184,-1303.18,OK,-150.956,-70.7625,-1295.59,,649723798,Port:65535,0,1746518329,968810284,Missing,,,,,,,,,0
,,649723801,Port:1,0,1746518330,18810284,Enabled,0.534853,0.548338,-0.495357,0.40973,3.18869,-1.92107,-1370.38,0.205053,4,OK,-154.121,47.1326,-1329.56,OK,-185.458,8.07878,-1327.84,OK,-161.182,-40.0569,-1337.63,OK,-114.034,4.08913,-1340.99,,649723801,Port:2,0,1746518330,18810284,Enabled,0.94958,0.060112,0.0123142,0.307462,-114.006,-121.6,-1303.25,0.174327,3,OK,-113.79,-121.711,-1303.28,OK,-158.87,-146.176,-1303.16,OK,-150.953,-70.7537,-1295.54,,649723801,Port:65535,0,1746518330,18810284,Missing,,,,,,,,,0
,,649723804,Port:1,0,1746518330,68810284,Enabled,0.532777,0.548725,-0.495832,0.411339,3.82301,-1.65599,-1370.39,0.200842,4,OK,-153.809,46.829,-1330.12,OK,-185.024,7.65882,-1328.6,OK,-160.549,-40.3834,-1338.35,OK,-113.541,3.92169,-1341.46,,649723804,Port:2,0,1746518330,68810284,Enabled,0.949591,0.0598979,0.0123332,0.307468,-114.005,-121.604,-1303.26,0.174131,3,OK,-113.788,-121.714,-1303.29,OK,-158.869,-146.177,-1303.17,OK,-150.953,-70.7611,-1295.58,,649723804,Port:65535,0,1746518330,68810284,Missing,,,,,,,,,0
,,649723807,Port:1,0,1746518330,118810291,Enabled,0.533834,0.54959,-0.493568,0.411537,4.16039,-1.52408,-1370.89,0.212065,4,OK,-153.439,46.625,-1330.13,OK,-184.544,7.37616,-1328.36,OK,-159.985,-40.6116,-1338.13,OK,-113.099,3.8112,-1341.51,,649723807,Port:2,0,1746518330,118810291,Enabled,0.949595,0.059898,0.0123101,0.307456,-114.008,-121.606,-1303.26,0.173516,3,OK,-113.793,-121.716,-1303.29,OK,-158.872,-146.177,-1303.17,OK,-150.956,-70.7612,-1295.58,,649723807,Port:65535,0,1746518330,118810291,Missing,,,,,,,,,0
,,649723810,Port:1,0,1746518330,168810291,Enabled,0.535714,0.549281,-0.492119,0.411241,4.22462,-1.60285,-1371.11,0.215728,4,OK,-153.205,46.7703,-1329.96,OK,-184.324,7.54754,-1327.95,OK,-159.829,-40.4885,-1337.65,OK,-112.93,3.89915,-1341.33,,649723810,Port:2,0,1746518330,168810291,Enabled,0.949606,0.0600175,0.0123268,0.307399,-114.004,-121.608,-1303.26,0.172284,3,OK,-113.79,-121.717,-1303.29,OK,-158.871,-146.176,-1303.17,OK,-150.943,-70.7594,-1295.57,,649723810,Port:65535,0,1746518330,168810291,Missing,,,,,,,,,0
,,649723813,Port:1,0,1746518330,218810284,Enabled,0.536395,0.548716,-0.49201,0.411239,4.0192,-1.86385,-1371.27,0.203606,4,OK,-153.35,46.7325,-1330.13,OK,-184.505,7.5388,-1328.08,OK,-160.062,-40.5433,-1337.7,OK,-113.119,3.79638,-1341.47,,649723813,Port:2,0,1746518330,218810284,Enabled,0.949597,0.0597415,0.0122833,0.307483,-114.009,-121.603,-1303.25,0.175063,3,OK,-113.791,-121.71,-1303.28,OK,-158.875,-146.172,-1303.16,OK,-150.961,-70.7641,-1295.59,,649723813,Port:65535,0,1746518330,218810284,Missing,,,,,,,,,0
,,649723816,Port:1,0,1746518330,268810284,Enabled,0.534897,0.549304,-0.492706,0.411572,3.80583,-1.91578,-1371.29,0.195453,4,OK,-153.719,46.3484,-1330.34,OK,-184.826,7.11775,-1328.48,OK,-160.289,-40.906,-1338.14,OK,-113.4,3.50516,-1341.73,,649723816,Port:2,0,1746518330,268810284,Enabled,0.949586,0.0599389,0.0121458,0.307485,-114.005,-121.602,-1303.24,0.175347,3,OK,-113.786,-121.711,-1303.27,OK,-158.872,-146.176,-1303.17,OK,-150.957,-70.7608,-1295.56,,649723816,Port:65535,0,1746518330,268810284,Missing,,,,,,,,,0
,,649723819,Port:1,0,1746518330,318810284,Enabled,0.535814,0.549158,-0.491973,0.411449,3.2939,-2.08457,-1371.57,0.180989,4,OK,-154.139,46.2871,-1330.41,OK,-185.272,7.05974,-1328.48,OK,-160.746,-40.9853,-1338.06,OK,-113.868,3.4119,-1341.83,,649723819,Port:2,0,1746518330,318810284,Enabled,0.949595,0.059839,0.0123717,0.307468,-114.006,-121.605,-1303.26,0.173899,3,OK,-113.791,-121.717,-1303.28,OK,-158.868,-146.179,-1303.16,OK,-150.955,-70.7568,-1295.58,,649723819,Port:65535,0,1746518330,318810284,Missing,,,,,,,,,0
