#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
,,658723963,Port:1,0,1746668332,718793950,Enabled,0.452053,0.567422,-0.544861,0.420485,-2.32132,31.841,-1416.7,0.250258,4,OK,-165.961,69.0932,-1390.98,OK,-195.104,29.1399,-1398.69,OK,-167.273,-16.2539,-1411.84,OK,-122.459,29.5113,-1402.64,,658723963,Port:2,0,1746668332,718793950,Enabled,0.942605,0.0496188,0.0453028,0.32708,-120.012,-87.3019,-1380.96,0.17142,3,OK,-119.816,-87.428,-1380.99,OK,-163.58,-113.805,-1377.49,OK,-158.842,-37.8959,-1373.16,,658723963,Port:65535,0,1746668332,718793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.099,-549.022,-1786.59
,,658723966,Port:1,0,1746668332,768793950,Enabled,0.452128,0.567665,-0.544718,0.420261,-2.33052,31.8685,-1416.81,0.25759,4,OK,-165.964,69.0874,-1390.98,OK,-195.096,29.1352,-1398.66,OK,-167.271,-16.2546,-1411.85,OK,-122.458,29.5127,-1402.66,,658723966,Port:2,0,1746668332,768793950,Enabled,0.942574,0.0499179,0.0454957,0.327098,-120.017,-87.2975,-1380.99,0.174607,3,OK,-119.819,-87.4285,-1381.02,OK,-163.58,-113.802,-1377.51,OK,-158.848,-37.8935,-1373.14,,658723966,Port:65535,0,1746668332,768793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.096,-549.016,-1786.56
,,658723969,Port:1,0,1746668332,818793950,Enabled,0.45213,0.567566,-0.54475,0.420351,-2.3293,31.8559,-1416.76,0.254632,4,OK,-165.965,69.0876,-1390.96,OK,-195.1,29.1362,-1398.66,OK,-167.272,-16.2501,-1411.83,OK,-122.463,29.5078,-1402.64,,658723969,Port:2,0,1746668332,818793950,Enabled,0.942617,0.0496675,0.0452002,0.327053,-120.013,-87.3042,-1380.98,0.172399,3,OK,-119.816,-87.4311,-1381.01,OK,-163.584,-113.805,-1377.52,OK,-158.842,-37.8953,-1373.18,,658723969,Port:65535,0,1746668332,818793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.087,-548.993,-1786.51
,,658723972,Port:1,0,1746668332,868793950,Enabled,0.452016,0.567202,-0.544919,0.420746,-2.3049,31.8245,-1416.6,0.256489,4,OK,-165.955,69.0916,-1390.99,OK,-195.097,29.1308,-1398.69,OK,-167.263,-16.2522,-1411.81,OK,-122.452,29.5042,-1402.6,,658723972,Port:2,0,1746668332,868793950,Enabled,0.942606,0.0496503,0.0451119,0.327099,-120.009,-87.3013,-1380.96,0.170206,3,OK,-119.813,-87.4245,-1380.99,OK,-163.579,-113.807,-1377.5,OK,-158.841,-37.8985,-1373.16,,658723972,Port:65535,0,1746668332,868793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.073,-548.999,-1786.49
,,658723975,Port:1,0,1746668332,918793950,Enabled,0.452019,0.567334,-0.544932,0.420548,-2.31264,31.8288,-1416.64,0.258795,4,OK,-165.958,69.0942,-1390.97,OK,-195.094,29.1459,-1398.67,OK,-167.269,-16.2431,-1411.82,OK,-122.458,29.5065,-1402.6,,658723975,Port:2,0,1746668332,918793950,Enabled,0.942606,0.0501294,0.0452649,0.327006,-120.014,-87.2965,-1380.97,0.171319,3,OK,-119.819,-87.4249,-1381,OK,-163.585,-113.801,-1377.51,OK,-158.833,-37.8823,-1373.1,,658723975,Port:65535,0,1746668332,918793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.109,-549.009,-1786.55
,,658723978,Port:1,0,1746668332,968793950,Enabled,0.451929,0.567552,-0.544913,0.420375,-2.32277,31.8513,-1416.7,0.25214,4,OK,-165.961,69.0842,-1390.95,OK,-195.109,29.1258,-1398.67,OK,-167.267,-16.2646,-1411.85,OK,-122.461,29.504,-1402.63,,658723978,Port:2,0,1746668332,968793950,Enabled,0.942609,0.0497915,0.0448809,0.327099,-120.012,-87.3033,-1380.95,0.172191,3,OK,-119.815,-87.4304,-1380.98,OK,-163.583,-113.809,-1377.52,OK,-158.847,-37.8977,-1373.14,,658723978,Port:65535,0,1746668332,968793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.104,-549.02,-1786.59
,,658723981,Port:1,0,1746668333,18793950,Enabled,0.452481,0.567647,-0.544358,0.420373,-2.33821,31.8838,-1416.89,0.254221,4,OK,-165.967,69.0882,-1390.99,OK,-195.096,29.1305,-1398.63,OK,-167.257,-16.2532,-1411.79,OK,-122.461,29.5059,-1402.68,,658723981,Port:2,0,1746668333,18793950,Enabled,0.942603,0.0500204,0.0452759,0.327027,-120.011,-87.3012,-1380.98,0.17154,3,OK,-119.813,-87.4275,-1381.02,OK,-163.582,-113.805,-1377.52,OK,-158.832,-37.8909,-1373.13,,658723981,Port:65535,0,1746668333,18793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.086,-548.99,-1786.49
,,658723984,Port:1,0,1746668333,68793950,Enabled,0.45201,0.567397,-0.544893,0.420522,-2.31331,31.8411,-1416.66,0.255464,4,OK,-165.959,69.0898,-1390.97,OK,-195.1,29.1398,-1398.67,OK,-167.261,-16.2472,-1411.82,OK,-122.453,29.504,-1402.61,,658723984,Port:2,0,1746668333,68793950,Enabled,0.9426,0.0502277,0.0450435,0.327037,-120.011,-87.2997,-1380.95,0.17284,3,OK,-119.813,-87.4282,-1380.98,OK,-163.583,-113.805,-1377.52,OK,-158.836,-37.891,-1373.08,,658723984,Port:65535,0,1746668333,68793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.059,-548.955,-1786.43
,,658723987,Port:1,0,1746668333,118793950,Enabled,0.452236,0.5673,-0.544652,0.420723,-2.31548,31.8526,-1416.69,0.253607,4,OK,-165.963,69.0846,-1390.99,OK,-195.099,29.1364,-1398.67,OK,-167.257,-16.2532,-1411.78,OK,-122.451,29.5108,-1402.62,,658723987,Port:2,0,1746668333,118793950,Enabled,0.942592,0.0497985,0.0453994,0.327076,-120.015,-87.2991,-1380.96,0.173229,3,OK,-119.815,-87.4254,-1381,OK,-163.584,-113.804,-1377.48,OK,-158.843,-37.8934,-1373.13,,658723987,Port:65535,0,1746668333,118793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.122,-549.038,-1786.61
,,658723990,Port:1,0,1746668333,168793950,Enabled,0.452135,0.567425,-0.544728,0.420564,-2.31308,31.862,-1416.7,0.253281,4,OK,-165.959,69.0898,-1390.97,OK,-195.089,29.1384,-1398.66,OK,-167.254,-16.2486,-1411.8,OK,-122.453,29.5126,-1402.63,,658723990,Port:2,0,1746668333,168793950,Enabled,0.94262,0.0496072,0.0450023,0.327081,-120.008,-87.3056,-1380.95,0.170864,3,OK,-119.81,-87.4291,-1380.99,OK,-163.581,-113.811,-1377.51,OK,-158.84,-37.8987,-1373.16,,658723990,Port:65535,0,1746668333,168793950,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.069,-549.003,-1786.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
