#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,46830,Port:10,0,0,0,Enabled,0.5856,-0.473021,-0.367994,0.545806,-58.6712,-45.8136,-64.5811,0.0663493,0
,,46838,Port:10,0,0,0,Enabled,0.5856,-0.473062,-0.368046,0.545736,-58.6488,-45.822,-64.5742,0.066425,0
,,46854,Port:10,0,0,0,Enabled,0.585628,-0.473054,-0.367914,0.545801,-58.6651,-45.7998,-64.5126,0.0663589,0
,,46870,Port:10,0,0,0,Enabled,0.585743,-0.472987,-0.367846,0.545783,-58.6536,-45.7746,-64.5466,0.0667832,0
,,46886,Port:10,0,0,0,Enabled,0.585725,-0.472995,-0.367938,0.545732,-58.6792,-45.7899,-64.5882,0.0673278,0
,,46902,Port:10,0,0,0,Enabled,0.585524,-0.473105,-0.367908,0.545873,-58.6905,-45.8153,-64.6264,0.0662303,0
,,46918,Port:10,0,0,0,Enabled,0.585462,-0.473146,-0.367811,0.54597,-58.6984,-45.8104,-64.6161,0.0660518,0
,,46934,Port:10,0,0,0,Enabled,0.5854,-0.473151,-0.367875,0.545989,-58.7347,-45.826,-64.6914,0.0661975,0
,,46950,Port:10,0,0,0,Enabled,0.585647,-0.473026,-0.368038,0.545722,-59.0913,-45.9075,-64.6221,0.072403,0
,,46966,Port:10,0,0,0,Enabled,0.585309,-0.473287,-0.36778,0.546031,-59.0774,-45.9212,-64.6596,0.0711392,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,49406,Port:10,0,0,0,Enabled,0.576877,-0.487499,-0.379979,0.534016,-64.1159,-25.7494,-66.4416,0.120792,0
,,49414,Port:10,0,0,0,Enabled,0.57694,-0.487454,-0.380042,0.533944,-64.116,-25.749,-66.4381,0.121631,0
,,49422,Port:10,0,0,0,Enabled,0.576954,-0.487452,-0.380034,0.533938,-64.1133,-25.7461,-66.4313,0.121624,0
,,49438,Port:10,0,0,0,Enabled,0.576967,-0.487453,-0.380034,0.533923,-64.1086,-25.7443,-66.4245,0.121598,0
,,49446,Port:10,0,0,0,Enabled,0.576895,-0.487497,-0.37992,0.534041,-64.1044,-25.7368,-66.4085,0.120272,0
,,49462,Port:10,0,0,0,Enabled,0.576973,-0.48745,-0.380011,0.533935,-64.0989,-25.7387,-66.4082,0.121339,0
,,49486,Port:10,0,0,0,Enabled,0.57697,-0.487462,-0.380037,0.533909,-64.0972,-25.7407,-66.4084,0.121422,0
,,49502,Port:10,0,0,0,Enabled,0.576949,-0.487485,-0.380053,0.5339,-64.0989,-25.7452,-66.4161,0.12151,0
,,49510,Port:10,0,0,0,Enabled,0.576965,-0.487468,-0.380073,0.533882,-64.1013,-25.7459,-66.4188,0.121822,0
,,49526,Port:10,0,0,0,Enabled,0.576989,-0.487447,-0.380105,0.533853,-64.1012,-25.7466,-66.4222,0.122095,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,52158,Port:10,0,0,0,Enabled,0.499862,-0.625936,-0.406838,0.439118,-52.0689,9.24825,-74.724,0.13177,0
,,52166,Port:10,0,0,0,Enabled,0.499855,-0.625939,-0.40682,0.439139,-52.0678,9.24919,-74.7244,0.132267,0
,,52174,Port:10,0,0,0,Enabled,0.499822,-0.625958,-0.406803,0.439165,-52.0682,9.24756,-74.7241,0.132254,0
,,52190,Port:10,0,0,0,Enabled,0.499822,-0.625964,-0.406817,0.439144,-52.0662,9.24753,-74.7247,0.132224,0
,,52206,Port:10,0,0,0,Enabled,0.499825,-0.625962,-0.406819,0.43914,-52.0679,9.24661,-74.7231,0.132122,0
,,52222,Port:10,0,0,0,Enabled,0.499808,-0.625976,-0.406774,0.439183,-52.072,9.24494,-74.7245,0.132432,0
,,52238,Port:10,0,0,0,Enabled,0.499781,-0.625993,-0.406763,0.439199,-52.0751,9.242,-74.7294,0.132508,0
,,52254,Port:10,0,0,0,Enabled,0.499771,-0.625993,-0.406796,0.43918,-52.0845,9.23623,-74.7457,0.13222,0
,,52270,Port:10,0,0,0,Enabled,0.499783,-0.625979,-0.406823,0.439161,-52.0917,9.23343,-74.7539,0.131793,0
,,52286,Port:10,0,0,0,Enabled,0.499816,-0.625933,-0.407,0.439026,-52.0989,9.22573,-74.7841,0.130409,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,55086,Port:10,0,0,0,Enabled,0.497421,-0.642429,-0.420745,0.403523,-44.9867,42.3747,-81.4859,0.0716688,0
,,55094,Port:10,0,0,0,Enabled,0.497447,-0.64242,-0.420768,0.403482,-44.9863,42.3765,-81.4893,0.0710332,0
,,55102,Port:10,0,0,0,Enabled,0.497442,-0.642418,-0.420779,0.403481,-44.9863,42.3768,-81.4891,0.0710106,0
,,55118,Port:10,0,0,0,Enabled,0.497428,-0.64243,-0.420753,0.403505,-44.9853,42.3764,-81.4873,0.0714546,0
,,55134,Port:10,0,0,0,Enabled,0.497443,-0.642416,-0.420765,0.403496,-44.9858,42.3769,-81.4882,0.0715061,0
,,55150,Port:10,0,0,0,Enabled,0.497414,-0.642448,-0.420723,0.403525,-44.9848,42.3772,-81.4889,0.0718546,0
,,55166,Port:10,0,0,0,Enabled,0.497428,-0.642428,-0.42075,0.403512,-44.9849,42.3766,-81.4868,0.0713382,0
,,55182,Port:10,0,0,0,Enabled,0.497432,-0.642441,-0.420736,0.403499,-44.9839,42.379,-81.4896,0.0713291,0
,,55198,Port:10,0,0,0,Enabled,0.497412,-0.642453,-0.420718,0.403524,-44.9847,42.3773,-81.4908,0.0715222,0
,,55214,Port:10,0,0,0,Enabled,0.497439,-0.642428,-0.420755,0.403493,-44.9829,42.3783,-81.4904,0.0711785,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,58262,Port:10,0,0,0,Enabled,0.480842,-0.647607,-0.44167,0.392842,-45.9458,76.3642,-90.1487,0.119476,0
,,58270,Port:10,0,0,0,Enabled,0.480854,-0.647594,-0.441679,0.392838,-45.9465,76.3645,-90.15,0.119688,0
,,58286,Port:10,0,0,0,Enabled,0.480834,-0.647592,-0.441693,0.392849,-45.9473,76.3629,-90.1506,0.119322,0
,,58310,Port:10,0,0,0,Enabled,0.480846,-0.647594,-0.441679,0.392848,-45.9469,76.3654,-90.154,0.119446,0
,,58318,Port:10,0,0,0,Enabled,0.480823,-0.647603,-0.441682,0.392858,-45.9451,76.3606,-90.1518,0.119422,0
,,58334,Port:10,0,0,0,Enabled,0.480833,-0.647604,-0.441668,0.392859,-45.9428,76.3623,-90.149,0.119415,0
,,58350,Port:10,0,0,0,Enabled,0.480869,-0.647587,-0.441694,0.392813,-45.946,76.3687,-90.156,0.119635,0
,,58374,Port:10,0,0,0,Enabled,0.480857,-0.647595,-0.441673,0.392838,-45.9454,76.3674,-90.154,0.119495,0
,,58382,Port:10,0,0,0,Enabled,0.480857,-0.647593,-0.441683,0.392831,-45.9442,76.366,-90.1514,0.119507,0
,,58398,Port:10,0,0,0,Enabled,0.480873,-0.647576,-0.441695,0.392826,-45.9441,76.3685,-90.1539,0.119618,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,61798,Port:10,0,0,0,Enabled,0.451623,-0.661046,-0.454789,0.390157,-45.2231,102.414,-96.8902,0.108935,0
,,61806,Port:10,0,0,0,Enabled,0.45166,-0.661018,-0.454817,0.390128,-45.2225,102.416,-96.8923,0.1092,0
,,61814,Port:10,0,0,0,Enabled,0.451681,-0.661008,-0.454817,0.390121,-45.2223,102.419,-96.8931,0.109213,0
,,61830,Port:10,0,0,0,Enabled,0.451696,-0.660994,-0.454834,0.390108,-45.2239,102.422,-96.8961,0.109363,0
,,61846,Port:10,0,0,0,Enabled,0.451693,-0.660989,-0.454842,0.39011,-45.2225,102.419,-96.8943,0.109365,0
,,61862,Port:10,0,0,0,Enabled,0.451642,-0.661037,-0.454796,0.390141,-45.2199,102.415,-96.8922,0.109336,0
,,61878,Port:10,0,0,0,Enabled,0.451689,-0.661016,-0.454798,0.390121,-45.2224,102.423,-96.8964,0.109357,0
,,61894,Port:10,0,0,0,Enabled,0.451634,-0.661031,-0.454797,0.39016,-45.2218,102.414,-96.8938,0.109117,0
,,61910,Port:10,0,0,0,Enabled,0.451691,-0.661002,-0.454828,0.390107,-45.2222,102.423,-96.8946,0.109377,0
,,61926,Port:10,0,0,0,Enabled,0.451648,-0.661028,-0.454802,0.390142,-45.2205,102.417,-96.8915,0.109244,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,78230,Port:10,0,0,0,Enabled,0.521953,-0.550299,-0.564976,0.324865,18.8785,23.8258,-92.4213,0.0468936,0
