#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,25926,Port:10,0,0,0,Enabled,0.434025,-0.548744,-0.209083,0.683219,-86.0675,53.2806,-99.6614,0.110895,0
,,25934,Port:10,0,0,0,Enabled,0.433921,-0.54901,-0.208569,0.683227,-85.9609,53.3736,-99.8541,0.108652,0
,,25942,Port:10,0,0,0,Enabled,0.434065,-0.549372,-0.208304,0.682926,-85.8096,53.4275,-100.075,0.111048,0
,,25966,Port:10,0,0,0,Enabled,0.434126,-0.548829,-0.208216,0.68335,-85.3573,53.0564,-100.441,0.106839,0
,,25974,Port:10,0,0,0,Enabled,0.434469,-0.549268,-0.208001,0.682845,-85.2498,52.9363,-100.602,0.106737,0
,,25990,Port:10,0,0,0,Enabled,0.434672,-0.54825,-0.208453,0.683396,-85.0857,52.4899,-100.659,0.104029,0
,,26006,Port:10,0,0,0,Enabled,0.434777,-0.548831,-0.2085,0.682848,-85.1485,52.3566,-100.841,0.10659,0
,,26022,Port:10,0,0,0,Enabled,0.434369,-0.549164,-0.208661,0.682791,-85.382,52.3462,-101.015,0.106574,0
,,26038,Port:10,0,0,0,Enabled,0.434426,-0.549374,-0.20889,0.682516,-85.5491,52.3461,-101.062,0.10776,0
,,26054,Port:10,0,0,0,Enabled,0.434286,-0.549084,-0.209515,0.682646,-85.8456,52.1322,-101.101,0.110715,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,28294,Port:10,0,0,0,Enabled,0.510855,-0.473217,-0.185937,0.693196,-84.2327,-4.12893,-69.212,0.144554,0
,,28302,Port:10,0,0,0,Enabled,0.510838,-0.473443,-0.185842,0.69308,-84.1998,-4.05983,-69.2215,0.14629,0
,,28310,Port:10,0,0,0,Enabled,0.51093,-0.473515,-0.185825,0.692967,-84.093,-4.0474,-69.2254,0.148393,0
,,28326,Port:10,0,0,0,Enabled,0.511201,-0.473072,-0.185168,0.693245,-83.8324,-4.07264,-69.0609,0.144655,0
,,28342,Port:10,0,0,0,Enabled,0.511091,-0.47345,-0.186012,0.692843,-84.0536,-4.26454,-69.0949,0.145776,0
,,28366,Port:10,0,0,0,Enabled,0.510624,-0.473717,-0.18653,0.692865,-84.3704,-4.12459,-68.9766,0.146281,0
,,28374,Port:10,0,0,0,Enabled,0.510671,-0.474418,-0.186085,0.692471,-84.4805,-3.90432,-68.9331,0.14593,0
,,28390,Port:10,0,0,0,Enabled,0.510337,-0.474448,-0.186808,0.692502,-84.7318,-3.73887,-68.7305,0.14944,0
,,28406,Port:10,0,0,0,Enabled,0.510105,-0.474897,-0.186621,0.692415,-84.9757,-3.55073,-68.5445,0.147491,0
,,28422,Port:10,0,0,0,Enabled,0.509802,-0.475203,-0.186868,0.692361,-85.1548,-3.32111,-68.4914,0.149488,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,29358,Port:10,0,0,0,Enabled,0.531536,-0.459938,-0.203675,0.6815,-83.9441,-48.4399,-63.0565,0.0876893,0
,,29366,Port:10,0,0,0,Enabled,0.530972,-0.460299,-0.203514,0.681744,-84.2154,-48.2061,-63.0426,0.0862672,0
,,29374,Port:10,0,0,0,Enabled,0.530579,-0.461428,-0.202961,0.681452,-84.4614,-47.9204,-63.1545,0.0843907,0
,,29382,Port:10,0,0,0,Enabled,0.530575,-0.462047,-0.202865,0.681064,-84.6018,-47.7712,-63.2121,0.0857692,0
,,29398,Port:10,0,0,0,Enabled,0.530271,-0.460858,-0.203577,0.681894,-84.6866,-47.7948,-63.0346,0.085991,0
,,29414,Port:10,0,0,0,Enabled,0.529902,-0.461248,-0.2038,0.68185,-84.8458,-47.7824,-63.1589,0.0870128,0
,,29438,Port:10,0,0,0,Enabled,0.529693,-0.461156,-0.204175,0.681962,-85.0294,-47.8551,-63.1608,0.0852992,0
