#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,658664719,Port:1,0,1746667345,318801098,Enabled,0.520028,0.505248,-0.293972,0.622797,-163.999,-67.0049,-1381.64,0.358564,4,OK,-163.981,-67.082,-1381.99,OK,-177.701,-111.732,-1363.7,OK,-135.521,-145.38,-1354.14,OK,-109.092,-90.4306,-1375.61,,658664719,Port:2,0,1746667345,318801098,Enabled,0.947105,0.00548435,0.0611784,0.314992,-120.758,-253.001,-1306.22,0.168682,3,OK,-120.569,-253.137,-1306.24,OK,-164.836,-278.199,-1300.21,OK,-158.565,-202.268,-1303.12,,658664719,Port:65535,0,1746667345,318801098,Missing,,,,,,,,,0
,,658664722,Port:1,0,1746667345,368801105,Enabled,0.520407,0.505285,-0.2938,0.622531,-163.649,-66.5906,-1381.64,0.346645,4,OK,-163.633,-66.6684,-1381.97,OK,-177.362,-111.3,-1363.68,OK,-135.196,-144.978,-1354.11,OK,-108.75,-90.0398,-1375.64,,658664722,Port:2,0,1746667345,368801105,Enabled,0.947108,0.00582968,0.0612364,0.314963,-120.763,-252.999,-1306.23,0.17006,3,OK,-120.573,-253.137,-1306.25,OK,-164.842,-278.197,-1300.21,OK,-158.565,-202.261,-1303.08,,658664722,Port:65535,0,1746667345,368801105,Missing,,,,,,,,,0
,,658664725,Port:1,0,1746667345,418801105,Enabled,0.519863,0.505487,-0.293703,0.622868,-163.39,-66.3873,-1381.95,0.350661,4,OK,-163.371,-66.4655,-1382.28,OK,-177.058,-111.128,-1364,OK,-134.849,-144.743,-1354.45,OK,-108.461,-89.7718,-1375.94,,658664725,Port:2,0,1746667345,418801105,Enabled,0.947114,0.00533441,0.060924,0.315015,-120.757,-253.002,-1306.21,0.168296,3,OK,-120.567,-253.136,-1306.23,OK,-164.839,-278.2,-1300.22,OK,-158.569,-202.272,-1303.13,,658664725,Port:65535,0,1746667345,418801105,Missing,,,,,,,,,0
,,658664728,Port:1,0,1746667345,468801098,Enabled,0.520333,0.505964,-0.293675,0.6221,-163.176,-66.08,-1382.23,0.340226,4,OK,-163.149,-66.1603,-1382.55,OK,-176.864,-110.811,-1364.3,OK,-134.667,-144.475,-1354.8,OK,-108.275,-89.5303,-1376.33,,658664728,Port:2,0,1746667345,468801098,Enabled,0.947133,0.00550787,0.0608951,0.314962,-120.76,-253.003,-1306.22,0.166675,3,OK,-120.572,-253.135,-1306.24,OK,-164.844,-278.203,-1300.23,OK,-158.562,-202.265,-1303.12,,658664728,Port:65535,0,1746667345,468801098,Missing,,,,,,,,,0
,,658664731,Port:1,0,1746667345,518801098,Enabled,0.519451,0.50608,-0.293893,0.62264,-163.144,-66.0758,-1382.61,0.355316,4,OK,-163.127,-66.1558,-1382.95,OK,-176.788,-110.839,-1364.71,OK,-134.547,-144.461,-1355.24,OK,-108.203,-89.4478,-1376.66,,658664731,Port:2,0,1746667345,518801098,Enabled,0.947091,0.0055518,0.0614051,0.314989,-120.763,-253.005,-1306.25,0.170324,3,OK,-120.572,-253.142,-1306.26,OK,-164.839,-278.199,-1300.21,OK,-158.57,-202.274,-1303.12,,658664731,Port:65535,0,1746667345,518801098,Missing,,,,,,,,,0
,,658664734,Port:1,0,1746667345,568801098,Enabled,0.520436,0.505859,-0.293696,0.62209,-163.245,-65.8355,-1382.64,0.352853,4,OK,-163.224,-65.9117,-1382.98,OK,-176.938,-110.559,-1364.68,OK,-134.759,-144.241,-1355.2,OK,-108.346,-89.2929,-1376.72,,658664734,Port:2,0,1746667345,568801098,Enabled,0.9471,0.00540374,0.0612358,0.314998,-120.758,-252.997,-1306.22,0.168665,3,OK,-120.57,-253.134,-1306.24,OK,-164.835,-278.196,-1300.2,OK,-158.567,-202.263,-1303.12,,658664734,Port:65535,0,1746667345,568801098,Missing,,,,,,,,,0
,,658664737,Port:1,0,1746667345,618801105,Enabled,0.52086,0.505493,-0.293752,0.622006,-163.438,-65.6685,-1382.66,0.357688,4,OK,-163.409,-65.7464,-1383,OK,-177.178,-110.372,-1364.66,OK,-135.03,-144.084,-1355.17,OK,-108.561,-89.1607,-1376.71,,658664737,Port:2,0,1746667345,618801105,Enabled,0.947114,0.00544615,0.0611388,0.314972,-120.76,-253.002,-1306.22,0.167989,3,OK,-120.572,-253.138,-1306.24,OK,-164.839,-278.197,-1300.21,OK,-158.566,-202.269,-1303.12,,658664737,Port:65535,0,1746667345,618801105,Missing,,,,,,,,,0
,,658664740,Port:1,0,1746667345,668801105,Enabled,0.520485,0.50543,-0.294387,0.622071,-163.644,-65.6658,-1382.7,0.355784,4,OK,-163.629,-65.7427,-1383.04,OK,-177.403,-110.383,-1364.78,OK,-135.276,-144.108,-1355.27,OK,-108.769,-89.1837,-1376.73,,658664740,Port:2,0,1746667345,668801105,Enabled,0.947108,0.00529666,0.0608927,0.315041,-120.76,-253.005,-1306.22,0.1691,3,OK,-120.57,-253.14,-1306.23,OK,-164.841,-278.204,-1300.23,OK,-158.576,-202.278,-1303.14,,658664740,Port:65535,0,1746667345,668801105,Missing,,,,,,,,,0
,,658664743,Port:1,0,1746667345,718801098,Enabled,0.520346,0.505247,-0.294908,0.622089,-163.959,-65.5461,-1382.83,0.358993,4,OK,-163.937,-65.6305,-1383.17,OK,-177.762,-110.265,-1364.94,OK,-135.648,-144.016,-1355.42,OK,-109.097,-89.0863,-1376.82,,658664743,Port:2,0,1746667345,718801098,Enabled,0.947108,0.00554546,0.0611259,0.31499,-120.758,-253,-1306.23,0.16881,3,OK,-120.57,-253.138,-1306.25,OK,-164.836,-278.201,-1300.22,OK,-158.565,-202.262,-1303.12,,658664743,Port:65535,0,1746667345,718801098,Missing,,,,,,,,,0
,,658664746,Port:1,0,1746667345,768801098,Enabled,0.52088,0.504844,-0.29508,0.621888,-164.08,-65.1777,-1382.8,0.360307,4,OK,-164.057,-65.2691,-1383.14,OK,-177.945,-109.862,-1364.88,OK,-135.872,-143.667,-1355.34,OK,-109.253,-88.7838,-1376.76,,658664746,Port:2,0,1746667345,768801098,Enabled,0.947106,0.00569387,0.0613237,0.314957,-120.76,-253.004,-1306.23,0.168929,3,OK,-120.57,-253.141,-1306.25,OK,-164.837,-278.201,-1300.2,OK,-158.561,-202.267,-1303.09,,658664746,Port:65535,0,1746667345,768801098,Missing,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,658665163,Port:1,0,1746667352,718801099,Enabled,0.454808,0.57861,-0.266589,0.622326,-174.143,-99.7481,-1434.5,0.256315,4,OK,-174.118,-99.7672,-1434.74,OK,-179.51,-147.662,-1420.93,OK,-132.128,-175.147,-1418.17,OK,-116.109,-114.857,-1435.29,,658665163,Port:2,0,1746667352,718801099,Enabled,0.947084,0.00540731,0.061224,0.315045,-120.769,-253.016,-1306.21,0.167923,3,OK,-120.582,-253.153,-1306.23,OK,-164.841,-278.214,-1300.19,OK,-158.583,-202.289,-1303.11,,658665163,Port:65535,0,1746667352,718801099,Missing,,,,,,,,,0
,,658665166,Port:1,0,1746667352,768801099,Enabled,0.454847,0.578504,-0.265991,0.622652,-173.837,-99.8839,-1434.57,0.262859,4,OK,-173.807,-99.9005,-1434.82,OK,-179.154,-147.783,-1420.95,OK,-131.751,-175.237,-1418.17,OK,-115.802,-114.941,-1435.35,,658665166,Port:2,0,1746667352,768801099,Enabled,0.947082,0.00543772,0.0614923,0.315001,-120.773,-253.023,-1306.24,0.170072,3,OK,-120.582,-253.16,-1306.26,OK,-164.846,-278.217,-1300.2,OK,-158.582,-202.292,-1303.13,,658665166,Port:65535,0,1746667352,768801099,Missing,,,,,,,,,0
,,658665169,Port:1,0,1746667352,818801099,Enabled,0.45483,0.578564,-0.266433,0.62242,-173.841,-99.8715,-1434.64,0.27216,4,OK,-173.817,-99.8867,-1434.89,OK,-179.186,-147.773,-1421.04,OK,-131.803,-175.255,-1418.3,OK,-115.82,-114.981,-1435.41,,658665169,Port:2,0,1746667352,818801099,Enabled,0.947077,0.00535938,0.0613369,0.315045,-120.774,-253.017,-1306.24,0.171385,3,OK,-120.583,-253.157,-1306.25,OK,-164.847,-278.216,-1300.2,OK,-158.59,-202.288,-1303.14,,658665169,Port:65535,0,1746667352,818801099,Missing,,,,,,,,,0
,,658665172,Port:1,0,1746667352,868801099,Enabled,0.454169,0.57805,-0.267676,0.622848,-174.102,-99.9433,-1434.86,0.274542,4,OK,-174.082,-99.9563,-1435.12,OK,-179.515,-147.873,-1421.35,OK,-132.15,-175.378,-1418.54,OK,-116.069,-115.07,-1435.51,,658665172,Port:2,0,1746667352,868801099,Enabled,0.947086,0.0055025,0.0612993,0.315024,-120.772,-253.021,-1306.23,0.168086,3,OK,-120.584,-253.157,-1306.24,OK,-164.846,-278.222,-1300.2,OK,-158.582,-202.29,-1303.11,,658665172,Port:65535,0,1746667352,868801099,Missing,,,,,,,,,0
,,658665175,Port:1,0,1746667352,918801099,Enabled,0.454742,0.578118,-0.267551,0.622419,-174.288,-99.971,-1434.56,0.268592,4,OK,-174.258,-99.9932,-1434.81,OK,-179.733,-147.882,-1421.03,OK,-132.387,-175.431,-1418.23,OK,-116.281,-115.154,-1435.26,,658665175,Port:2,0,1746667352,918801099,Enabled,0.947095,0.00539137,0.0611217,0.315034,-120.766,-253.019,-1306.21,0.168741,3,OK,-120.578,-253.157,-1306.23,OK,-164.841,-278.22,-1300.2,OK,-158.579,-202.287,-1303.12,,658665175,Port:65535,0,1746667352,918801099,Missing,,,,,,,,,0
,,658665178,Port:1,0,1746667352,968801099,Enabled,0.455717,0.577732,-0.267046,0.622281,-174.475,-100.093,-1434.27,0.235291,4,OK,-174.445,-100.102,-1434.49,OK,-179.957,-147.985,-1420.68,OK,-132.638,-175.561,-1417.79,OK,-116.479,-115.33,-1435.01,,658665178,Port:2,0,1746667352,968801099,Enabled,0.947086,0.00529457,0.0610654,0.315072,-120.768,-253.016,-1306.21,0.167731,3,OK,-120.579,-253.149,-1306.23,OK,-164.846,-278.221,-1300.2,OK,-158.585,-202.29,-1303.13,,658665178,Port:65535,0,1746667352,968801099,Missing,,,,,,,,,0
,,658665181,Port:1,0,1746667353,18801099,Enabled,0.455803,0.577454,-0.267459,0.622299,-174.741,-100.274,-1434.1,0.26873,4,OK,-174.709,-100.291,-1434.36,OK,-180.266,-148.157,-1420.48,OK,-132.969,-175.782,-1417.63,OK,-116.758,-115.548,-1434.78,,658665181,Port:2,0,1746667353,18801099,Enabled,0.947083,0.0051814,0.0614302,0.315014,-120.768,-253.024,-1306.23,0.168952,3,OK,-120.578,-253.16,-1306.24,OK,-164.842,-278.219,-1300.18,OK,-158.579,-202.294,-1303.14,,658665181,Port:65535,0,1746667353,18801099,Missing,,,,,,,,,0
,,658665184,Port:1,0,1746667353,68801099,Enabled,0.455991,0.57713,-0.267823,0.622305,-174.972,-100.353,-1433.91,0.273141,4,OK,-174.944,-100.368,-1434.17,OK,-180.55,-148.228,-1420.28,OK,-133.269,-175.893,-1417.41,OK,-116.998,-115.678,-1434.54,,658665184,Port:2,0,1746667353,68801099,Enabled,0.947092,0.00532333,0.0611573,0.315038,-120.77,-253.024,-1306.23,0.169877,3,OK,-120.579,-253.16,-1306.24,OK,-164.848,-278.224,-1300.21,OK,-158.585,-202.294,-1303.14,,658665184,Port:65535,0,1746667353,68801099,Missing,,,,,,,,,0
,,658665187,Port:1,0,1746667353,118801099,Enabled,0.456282,0.577551,-0.267546,0.62182,-174.995,-100.354,-1433.61,0.268552,4,OK,-174.967,-100.375,-1433.86,OK,-180.567,-148.222,-1419.98,OK,-133.285,-175.902,-1417.16,OK,-117.027,-115.695,-1434.33,,658665187,Port:2,0,1746667353,118801099,Enabled,0.947089,0.00530616,0.0612379,0.315031,-120.771,-253.021,-1306.22,0.168521,3,OK,-120.583,-253.158,-1306.24,OK,-164.845,-278.221,-1300.2,OK,-158.584,-202.29,-1303.13,,658665187,Port:65535,0,1746667353,118801099,Missing,,,,,,,,,0
