#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,39305974,Port:1,0,1736344699,568885731,Enabled,0.443947,0.613261,-0.48413,0.438679,-90.5514,89.1318,-1272.48,0.306092,4,OK,-90.4586,89.2722,-1272.71,OK,-114.234,45.2366,-1277.88,OK,-80.9507,4.09209,-1292.1,OK,-42.7601,55.8204,-1286.56,,39305974,Port:2,0,1736344699,568885731,Enabled,0.929513,0.0219946,0.0277481,0.367085,-92.845,-82.2509,-1222.07,0.0385418,3,OK,-92.8557,-82.2065,-1222.07,OK,-134.121,-112.355,-1219.89,OK,-135.874,-36.1705,-1218.2,,39305974,Port:65535,0,1736344699,568885731,Missing,,,,,,,,,0
,,39305977,Port:1,0,1736344699,618885731,Enabled,0.443978,0.612946,-0.484233,0.438975,-90.5514,89.2295,-1272.5,0.301577,4,OK,-90.4541,89.3649,-1272.73,OK,-114.235,45.3328,-1277.9,OK,-80.9622,4.17631,-1292.06,OK,-42.7557,55.9115,-1286.52,,39305977,Port:2,0,1736344699,618885731,Enabled,0.929524,0.0220256,0.0277735,0.367054,-92.8425,-82.2527,-1222.08,0.0375191,3,OK,-92.851,-82.2096,-1222.08,OK,-134.121,-112.353,-1219.9,OK,-135.87,-36.17,-1218.21,,39305977,Port:65535,0,1736344699,618885731,Missing,,,,,,,,,0
,,39305980,Port:1,0,1736344699,668885731,Enabled,0.443842,0.613089,-0.484287,0.438854,-90.563,89.1796,-1272.48,0.307589,4,OK,-90.4629,89.3164,-1272.72,OK,-114.244,45.279,-1277.9,OK,-80.9706,4.13652,-1292.09,OK,-42.7656,55.8746,-1286.52,,39305980,Port:2,0,1736344699,668885731,Enabled,0.92952,0.0218359,0.0277715,0.367076,-92.8421,-82.25,-1222.07,0.0367101,3,OK,-92.8548,-82.2087,-1222.07,OK,-134.115,-112.35,-1219.88,OK,-135.871,-36.1682,-1218.22,,39305980,Port:65535,0,1736344699,668885731,Missing,,,,,,,,,0
,,39305983,Port:1,0,1736344699,718885736,Enabled,0.443993,0.613014,-0.484132,0.438977,-90.5638,89.1876,-1272.51,0.309727,4,OK,-90.4659,89.3197,-1272.75,OK,-114.246,45.285,-1277.9,OK,-80.9601,4.1424,-1292.08,OK,-42.7614,55.8748,-1286.54,,39305983,Port:2,0,1736344699,718885736,Enabled,0.92952,0.0221018,0.0277536,0.36706,-92.8439,-82.2535,-1222.08,0.0373508,3,OK,-92.8509,-82.2106,-1222.08,OK,-134.123,-112.354,-1219.89,OK,-135.872,-36.1719,-1218.19,,39305983,Port:65535,0,1736344699,718885736,Missing,,,,,,,,,0
,,39305986,Port:1,0,1736344699,768885736,Enabled,0.443895,0.61311,-0.484276,0.438781,-90.5462,89.1858,-1272.5,0.307509,4,OK,-90.4536,89.3226,-1272.74,OK,-114.234,45.2929,-1277.9,OK,-80.9604,4.14194,-1292.11,OK,-42.7477,55.8719,-1286.55,,39305986,Port:2,0,1736344699,768885736,Enabled,0.929516,0.0219674,0.0278614,0.367071,-92.8452,-82.2504,-1222.08,0.0382369,3,OK,-92.8554,-82.2074,-1222.08,OK,-134.121,-112.349,-1219.89,OK,-135.873,-36.1716,-1218.21,,39305986,Port:65535,0,1736344699,768885736,Missing,,,,,,,,,0
,,39305989,Port:1,0,1736344699,818885736,Enabled,0.443706,0.612988,-0.484461,0.43894,-90.5413,89.1643,-1272.47,0.320797,4,OK,-90.4452,89.3064,-1272.73,OK,-114.222,45.269,-1277.88,OK,-80.9445,4.12424,-1292.11,OK,-42.7444,55.8477,-1286.48,,39305989,Port:2,0,1736344699,818885736,Enabled,0.929506,0.0221063,0.0278614,0.367087,-92.8439,-82.2468,-1222.08,0.0385495,3,OK,-92.8536,-82.2022,-1222.07,OK,-134.119,-112.352,-1219.88,OK,-135.872,-36.1668,-1218.19,,39305989,Port:65535,0,1736344699,818885736,Missing,,,,,,,,,0
,,39305992,Port:1,0,1736344699,868885736,Enabled,0.443889,0.61301,-0.484298,0.438903,-90.5583,89.1991,-1272.5,0.30347,4,OK,-90.4567,89.3331,-1272.73,OK,-114.245,45.3014,-1277.91,OK,-80.9704,4.15207,-1292.09,OK,-42.7627,55.8887,-1286.53,,39305992,Port:2,0,1736344699,868885736,Enabled,0.929516,0.0220918,0.028089,0.367047,-92.8479,-82.2536,-1222.11,0.0383079,3,OK,-92.8587,-82.2102,-1222.1,OK,-134.124,-112.352,-1219.89,OK,-135.871,-36.1722,-1218.21,,39305992,Port:65535,0,1736344699,868885736,Missing,,,,,,,,,0
,,39305995,Port:1,0,1736344699,918885736,Enabled,0.444113,0.613089,-0.484014,0.438881,-90.5884,89.197,-1272.53,0.313502,4,OK,-90.4927,89.329,-1272.77,OK,-114.274,45.2971,-1277.89,OK,-80.9845,4.15275,-1292.09,OK,-42.7927,55.8779,-1286.57,,39305995,Port:2,0,1736344699,918885736,Enabled,0.92951,0.0218782,0.0278977,0.367088,-92.8432,-82.2475,-1222.07,0.0390701,3,OK,-92.8532,-82.2036,-1222.07,OK,-134.118,-112.347,-1219.87,OK,-135.873,-36.1709,-1218.21,,39305995,Port:65535,0,1736344699,918885736,Missing,,,,,,,,,0
,,39305998,Port:1,0,1736344699,968885736,Enabled,0.443834,0.613123,-0.484316,0.438782,-90.5714,89.2077,-1272.48,0.301527,4,OK,-90.4772,89.3504,-1272.71,OK,-114.257,45.3169,-1277.9,OK,-80.9788,4.15907,-1292.09,OK,-42.7767,55.8958,-1286.53,,39305998,Port:2,0,1736344699,968885736,Enabled,0.929519,0.021923,0.0276764,0.367079,-92.8416,-82.2465,-1222.06,0.0408841,3,OK,-92.8512,-82.2,-1222.06,OK,-134.12,-112.347,-1219.88,OK,-135.87,-36.1699,-1218.2,,39305998,Port:65535,0,1736344699,968885736,Missing,,,,,,,,,0
,,39306001,Port:1,0,1736344700,18885736,Enabled,0.444047,0.613004,-0.484135,0.438932,-90.5738,89.1969,-1272.51,0.332583,4,OK,-90.4779,89.3329,-1272.78,OK,-114.258,45.2979,-1277.85,OK,-80.9802,4.14603,-1292.1,OK,-42.7781,55.8778,-1286.51,,39306001,Port:2,0,1736344700,18885736,Enabled,0.929515,0.021948,0.0278416,0.367075,-92.8434,-82.2509,-1222.07,0.0371308,3,OK,-92.8518,-82.2085,-1222.07,OK,-134.119,-112.352,-1219.88,OK,-135.873,-36.1699,-1218.2,,39306001,Port:65535,0,1736344700,18885736,Missing,,,,,,,,,0
