#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz
,,1701059044,Port:1,0,1732418184,68794733,Enabled,0.237625,0.692491,-0.201653,0.650636,-133.812,4.75931,-1610.9,0.320167,4,OK,-133.675,4.76579,-1611.13,OK,-117.853,-42.593,-1610.38,OK,-62.8219,-47.035,-1614.67,OK,-75.1716,16.3301,-1615.32,,1701059044,Port:2,0,1732418184,68794733,Enabled,0.931524,0.00806725,0.0280828,0.362503,-136.145,-196.712,-1585.15,0.103638,3,OK,-136.057,-196.72,-1585.16,OK,-177.748,-226.457,-1582.57,OK,-178.845,-150.019,-1582.91,,1701059044,Port:65535,0,1732418184,68794733,Missing,,,,,,,,,2,PossiblePhantom,-465.172,-300.886,-1993.47,PossiblePhantom,-515.696,-306.641,-2207.56
,,1701059047,Port:1,0,1732418184,118794733,Enabled,0.23758,0.692593,-0.201623,0.650553,-133.816,4.7568,-1610.87,0.312391,4,OK,-133.674,4.75907,-1611.09,OK,-117.852,-42.5945,-1610.38,OK,-62.8273,-47.021,-1614.64,OK,-75.1756,16.3301,-1615.32,,1701059047,Port:2,0,1732418184,118794733,Enabled,0.931527,0.00772539,0.0279402,0.362516,-136.139,-196.705,-1585.13,0.103647,3,OK,-136.053,-196.712,-1585.14,OK,-177.743,-226.452,-1582.56,OK,-178.841,-150.012,-1582.94,,1701059047,Port:65535,0,1732418184,118794733,Missing,,,,,,,,,2,PossiblePhantom,-465.183,-300.892,-1993.49,PossiblePhantom,-515.688,-306.649,-2207.59
,,1701059050,Port:1,0,1732418184,168794733,Enabled,0.237453,0.692441,-0.201728,0.650729,-133.816,4.75233,-1610.91,0.306737,4,OK,-133.674,4.75435,-1611.12,OK,-117.845,-42.5928,-1610.42,OK,-62.8235,-47.0298,-1614.65,OK,-75.1788,16.3314,-1615.33,,1701059050,Port:2,0,1732418184,168794733,Enabled,0.931478,0.00775231,0.0286839,0.362583,-136.146,-196.707,-1585.17,0.102836,3,OK,-136.058,-196.716,-1585.18,OK,-177.739,-226.457,-1582.52,OK,-178.854,-150.021,-1582.94,,1701059050,Port:65535,0,1732418184,168794733,Missing,,,,,,,,,2,PossiblePhantom,-465.22,-300.916,-1993.62,PossiblePhantom,-515.681,-306.671,-2207.56
,,1701059053,Port:1,0,1732418184,218794733,Enabled,0.237695,0.692653,-0.201511,0.650482,-133.813,4.7587,-1610.86,0.311072,4,OK,-133.669,4.76154,-1611.08,OK,-117.851,-42.594,-1610.36,OK,-62.8243,-47.0248,-1614.64,OK,-75.1757,16.3359,-1615.33,,1701059053,Port:2,0,1732418184,218794733,Enabled,0.931518,0.00809886,0.0280637,0.362519,-136.14,-196.703,-1585.14,0.106988,3,OK,-136.055,-196.707,-1585.15,OK,-177.742,-226.459,-1582.56,OK,-178.839,-150.006,-1582.9,,1701059053,Port:65535,0,1732418184,218794733,Missing,,,,,,,,,2,PossiblePhantom,-465.214,-300.888,-1993.59,PossiblePhantom,-515.684,-306.639,-2207.53
,,1701059056,Port:1,0,1732418184,268794733,Enabled,0.237703,0.692414,-0.201471,0.650746,-133.814,4.75417,-1610.88,0.316901,4,OK,-133.672,4.75731,-1611.1,OK,-117.85,-42.5956,-1610.35,OK,-62.8159,-47.0227,-1614.6,OK,-75.1735,16.3302,-1615.3,,1701059056,Port:2,0,1732418184,268794733,Enabled,0.93151,0.00751762,0.0281626,0.362546,-136.14,-196.709,-1585.13,0.102967,3,OK,-136.053,-196.715,-1585.14,OK,-177.741,-226.457,-1582.53,OK,-178.845,-150.021,-1582.96,,1701059056,Port:65535,0,1732418184,268794733,Missing,,,,,,,,,2,PossiblePhantom,-465.202,-300.893,-1993.56,PossiblePhantom,-515.691,-306.649,-2207.56
,,1701059059,Port:1,0,1732418184,318794733,Enabled,0.2374,0.692551,-0.201831,0.650599,-133.815,4.75301,-1610.87,0.31385,4,OK,-133.673,4.75478,-1611.09,OK,-117.851,-42.5996,-1610.39,OK,-62.8293,-47.0294,-1614.65,OK,-75.172,16.3295,-1615.29,,1701059059,Port:2,0,1732418184,318794733,Enabled,0.931499,0.00787035,0.0285269,0.362539,-136.145,-196.709,-1585.17,0.103761,3,OK,-136.059,-196.72,-1585.18,OK,-177.74,-226.457,-1582.54,OK,-178.849,-150.016,-1582.94,,1701059059,Port:65535,0,1732418184,318794733,Missing,,,,,,,,,2,PossiblePhantom,-465.18,-300.887,-1993.48,PossiblePhantom,-515.685,-306.642,-2207.55
,,1701059062,Port:1,0,1732418184,368794733,Enabled,0.237588,0.692522,-0.201601,0.650632,-133.814,4.76052,-1610.87,0.313646,4,OK,-133.676,4.76458,-1611.09,OK,-117.845,-42.5834,-1610.37,OK,-62.8193,-47.0213,-1614.63,OK,-75.178,16.3321,-1615.3,,1701059062,Port:2,0,1732418184,368794733,Enabled,0.931507,0.00793817,0.0285468,0.362514,-136.145,-196.707,-1585.17,0.102941,3,OK,-136.057,-196.714,-1585.18,OK,-177.745,-226.452,-1582.54,OK,-178.845,-150.016,-1582.93,,1701059062,Port:65535,0,1732418184,368794733,Missing,,,,,,,,,2,PossiblePhantom,-465.148,-300.878,-1993.4,PossiblePhantom,-515.658,-306.633,-2207.46
,,1701059065,Port:1,0,1732418184,418794733,Enabled,0.237776,0.692389,-0.201421,0.650761,-133.813,4.7613,-1610.92,0.321725,4,OK,-133.675,4.76287,-1611.15,OK,-117.845,-42.5871,-1610.36,OK,-62.8201,-47.0272,-1614.64,OK,-75.1714,16.3436,-1615.33,,1701059065,Port:2,0,1732418184,418794733,Enabled,0.931507,0.00783282,0.0283034,0.362535,-136.142,-196.707,-1585.15,0.103657,3,OK,-136.05,-196.716,-1585.16,OK,-177.744,-226.452,-1582.54,OK,-178.847,-150.019,-1582.93,,1701059065,Port:65535,0,1732418184,418794733,Missing,,,,,,,,,2,PossiblePhantom,-465.194,-300.908,-1993.55,PossiblePhantom,-515.707,-306.666,-2207.66
,,1701059068,Port:1,0,1732418184,468794734,Enabled,0.237381,0.692695,-0.201845,0.650448,-133.812,4.75969,-1610.83,0.320553,4,OK,-133.663,4.75644,-1611.06,OK,-117.855,-42.5878,-1610.36,OK,-62.8244,-47.0226,-1614.65,OK,-75.1739,16.3361,-1615.27,,1701059068,Port:2,0,1732418184,468794734,Enabled,0.931524,0.00762864,0.0279782,0.362523,-136.138,-196.71,-1585.12,0.101985,3,OK,-136.052,-196.717,-1585.13,OK,-177.74,-226.454,-1582.54,OK,-178.841,-150.019,-1582.94,,1701059068,Port:65535,0,1732418184,468794734,Missing,,,,,,,,,2,PossiblePhantom,-465.172,-300.889,-1993.49,PossiblePhantom,-515.701,-306.646,-2207.64
,,1701059071,Port:1,0,1732418184,518794734,Enabled,0.237989,0.69257,-0.201189,0.650562,-133.813,4.76144,-1610.88,0.31165,4,OK,-133.672,4.76319,-1611.1,OK,-117.84,-42.5835,-1610.34,OK,-62.8241,-47.0206,-1614.62,OK,-75.1783,16.3336,-1615.36,,1701059071,Port:2,0,1732418184,518794734,Enabled,0.931514,0.00802159,0.0282924,0.362514,-136.14,-196.708,-1585.15,0.103298,3,OK,-136.057,-196.714,-1585.15,OK,-177.739,-226.457,-1582.54,OK,-178.839,-150.014,-1582.9,,1701059071,Port:65535,0,1732418184,518794734,Missing,,,,,,,,,2,PossiblePhantom,-465.163,-300.888,-1993.46,PossiblePhantom,-515.677,-306.643,-2207.54
