#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,Marker4.Status,Tx,Ty,Tz,Marker5.Status,Tx,Ty,Tz,Marker6.Status,Tx,Ty,Tz,Marker7.Status,Tx,Ty,Tz,Marker8.Status,Tx,Ty,Tz,Marker9.Status,Tx,Ty,Tz,Marker10.Status,Tx,Ty,Tz,Marker11.Status,Tx,Ty,Tz,Marker12.Status,Tx,Ty,Tz,Marker13.Status,Tx,Ty,Tz
,,1701166315,Port:1,0,1732419971,918770195,Enabled,0.32031,0.681279,-0.383558,0.534924,-187.413,337.257,-1847.81,0.385133,4,OK,-187.333,337.289,-1848.13,OK,-192.6,288.187,-1855.81,OK,-144.659,262.967,-1867.65,OK,-129.57,324.951,-1857.78,,1701166315,Port:2,0,1732419971,918770195,Enabled,0.919966,0.174819,-0.0453012,0.34792,-153.719,24.687,-1868.66,0.117354,3,OK,-153.714,24.7385,-1868.64,OK,-196.112,-2.75088,-1877.29,OK,-195.153,68.8274,-1850.28,,1701166315,Port:65535,0,1732419971,918770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1668,-231.988,-2285.87,UnrecognizedEnumValue,-67.361,-278.046,-2501.95,PossiblePhantom,-60.3449,-261.929,-2071.14,PossiblePhantom,-56.1493,-234.272,-1960.59,PossiblePhantom,-60.0522,-273.37,-2116.91,PossiblePhantom,-61.9813,-294.907,-2203.01,PossiblePhantom,-63.0282,-262.792,-2197.5,PossiblePhantom,-58.4356,-233.479,-2073.31,PossiblePhantom,-62.7809,-274.975,-2249.16,PossiblePhantom,-64.9568,-298.002,-2346.74,PossiblePhantom,-67.4926,-263.754,-2337.86,PossiblePhantom,-67.3386,-276.748,-2396.33,UnrecognizedEnumValue,-69.8787,-301.451,-2507.57,UnrecognizedEnumValue,-536.055,-26.687,-2538.45
,,1701166318,Port:1,0,1732419971,968770195,Enabled,0.31998,0.681484,-0.383881,0.534629,-187.411,337.244,-1847.78,0.380244,4,OK,-187.327,337.274,-1848.08,OK,-192.616,288.185,-1855.84,OK,-144.664,262.97,-1867.7,OK,-129.568,324.947,-1857.77,,1701166318,Port:2,0,1732419971,968770195,Enabled,0.919988,0.174568,-0.045462,0.347968,-153.718,24.6798,-1868.6,0.116857,3,OK,-153.717,24.7395,-1868.58,OK,-196.109,-2.76063,-1877.24,OK,-195.154,68.8185,-1850.27,,1701166318,Port:65535,0,1732419971,968770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1772,-231.993,-2285.93,UnrecognizedEnumValue,-67.3696,-278.007,-2501.81,PossiblePhantom,-60.3354,-261.952,-2071.31,PossiblePhantom,-56.1525,-234.275,-1960.69,PossiblePhantom,-60.0542,-273.339,-2116.87,PossiblePhantom,-61.9886,-294.906,-2203.1,PossiblePhantom,-63.0177,-262.816,-2197.55,PossiblePhantom,-58.4388,-233.483,-2073.29,PossiblePhantom,-62.7823,-274.941,-2248.97,PossiblePhantom,-64.964,-297.998,-2346.68,PossiblePhantom,-67.4806,-263.78,-2338,PossiblePhantom,-67.3386,-276.713,-2396.21,UnrecognizedEnumValue,-69.8851,-301.448,-2507.59,UnrecognizedEnumValue,-536.015,-26.7042,-2538.33
,,1701166321,Port:1,0,1732419972,18770195,Enabled,0.320606,0.681822,-0.383138,0.534355,-187.399,337.249,-1847.77,0.353072,4,OK,-187.307,337.269,-1848.03,OK,-192.604,288.179,-1855.81,OK,-144.655,262.971,-1867.63,OK,-129.568,324.971,-1857.88,,1701166321,Port:2,0,1732419972,18770195,Enabled,0.919907,0.175223,-0.045371,0.347864,-153.719,24.6814,-1868.65,0.125231,3,OK,-153.711,24.7351,-1868.63,OK,-196.119,-2.75705,-1877.3,OK,-195.148,68.8163,-1850.23,,1701166321,Port:65535,0,1732419972,18770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1633,-232.005,-2285.93,UnrecognizedEnumValue,-67.3684,-277.997,-2501.71,PossiblePhantom,-60.3295,-261.939,-2071.25,PossiblePhantom,-56.1361,-234.285,-1960.71,PossiblePhantom,-60.0482,-273.329,-2116.82,PossiblePhantom,-61.9883,-294.931,-2203.19,PossiblePhantom,-63.021,-262.802,-2197.52,PossiblePhantom,-58.4305,-233.494,-2073.36,PossiblePhantom,-62.786,-274.932,-2248.96,PossiblePhantom,-64.9739,-298.024,-2346.82,PossiblePhantom,-67.4903,-263.764,-2337.88,PossiblePhantom,-67.349,-276.702,-2396.1,UnrecognizedEnumValue,-69.9031,-301.476,-2507.66,UnrecognizedEnumValue,-536.006,-26.7068,-2538.23
,,1701166324,Port:1,0,1732419972,68770195,Enabled,0.320077,0.681317,-0.383776,0.534859,-187.4,337.24,-1847.78,0.360553,4,OK,-187.302,337.259,-1848.06,OK,-192.601,288.176,-1855.85,OK,-144.65,262.956,-1867.62,OK,-129.558,324.955,-1857.77,,1701166324,Port:2,0,1732419972,68770195,Enabled,0.919994,0.174763,-0.0448369,0.347934,-153.727,24.6878,-1868.67,0.113336,3,OK,-153.724,24.7372,-1868.66,OK,-196.121,-2.75559,-1877.26,OK,-195.154,68.8266,-1850.29,,1701166324,Port:65535,0,1732419972,68770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1863,-231.998,-2285.89,UnrecognizedEnumValue,-67.3717,-278.035,-2501.87,PossiblePhantom,-60.3465,-261.925,-2071.18,PossiblePhantom,-56.1594,-234.279,-1960.68,PossiblePhantom,-60.0546,-273.362,-2116.94,PossiblePhantom,-61.985,-294.91,-2203.09,PossiblePhantom,-63.0349,-262.787,-2197.42,PossiblePhantom,-58.4514,-233.488,-2073.3,PossiblePhantom,-62.7886,-274.966,-2249.07,PossiblePhantom,-64.9662,-298.003,-2346.69,PossiblePhantom,-67.4981,-263.749,-2337.73,PossiblePhantom,-67.3448,-276.737,-2396.18,UnrecognizedEnumValue,-69.8867,-301.451,-2507.45,UnrecognizedEnumValue,-536.037,-26.725,-2538.39
,,1701166327,Port:1,0,1732419972,118770195,Enabled,0.320106,0.681369,-0.383782,0.534771,-187.428,337.245,-1847.78,0.368416,4,OK,-187.341,337.273,-1848.07,OK,-192.631,288.178,-1855.84,OK,-144.684,262.962,-1867.65,OK,-129.583,324.95,-1857.77,,1701166327,Port:2,0,1732419972,118770195,Enabled,0.919927,0.175034,-0.045164,0.347932,-153.722,24.6906,-1868.64,0.116969,3,OK,-153.719,24.7405,-1868.62,OK,-196.114,-2.74897,-1877.26,OK,-195.155,68.8214,-1850.24,,1701166327,Port:65535,0,1732419972,118770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1722,-232.006,-2285.94,UnrecognizedEnumValue,-67.3753,-278.016,-2501.8,PossiblePhantom,-60.3474,-261.928,-2071.19,PossiblePhantom,-56.1447,-234.286,-1960.71,PossiblePhantom,-60.0551,-273.346,-2116.87,PossiblePhantom,-61.9791,-294.92,-2203.13,PossiblePhantom,-63.035,-262.79,-2197.43,PossiblePhantom,-58.435,-233.495,-2073.33,PossiblePhantom,-62.7882,-274.949,-2249,PossiblePhantom,-64.9589,-298.013,-2346.73,PossiblePhantom,-67.5041,-263.753,-2337.77,PossiblePhantom,-67.3503,-276.72,-2396.12,UnrecognizedEnumValue,-69.8851,-301.46,-2507.52,UnrecognizedEnumValue,-536.015,-26.7101,-2538.29
,,1701166333,Port:1,0,1732419972,218770195,Enabled,0.320259,0.681543,-0.383635,0.534563,-187.363,337.211,-1847.77,0.371777,4,OK,-187.275,337.229,-1848.06,OK,-192.572,288.15,-1855.82,OK,-144.629,262.931,-1867.66,OK,-129.523,324.916,-1857.8,,1701166333,Port:2,0,1732419972,218770195,Enabled,0.919905,0.175285,-0.0444584,0.347956,-153.726,24.6958,-1868.68,0.114835,3,OK,-153.719,24.7376,-1868.66,OK,-196.119,-2.75427,-1877.23,OK,-195.152,68.8179,-1850.21,,1701166333,Port:65535,0,1732419972,218770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1955,-232.006,-2285.91,UnrecognizedEnumValue,-67.3986,-278.03,-2501.82,PossiblePhantom,-63.0243,-262.791,-2197.41,PossiblePhantom,-58.4417,-233.495,-2073.3,PossiblePhantom,-62.7936,-274.963,-2249.02,PossiblePhantom,-64.9669,-298.018,-2346.72,PossiblePhantom,-60.3381,-261.929,-2071.19,PossiblePhantom,-56.1518,-234.286,-1960.7,PossiblePhantom,-60.061,-273.359,-2116.92,PossiblePhantom,-61.9876,-294.925,-2203.15,PossiblePhantom,-67.4892,-263.754,-2337.86,PossiblePhantom,-67.3525,-276.735,-2396.28,UnrecognizedEnumValue,-69.8906,-301.471,-2507.67,UnrecognizedEnumValue,-536.014,-26.7235,-2538.26
,,1701166336,Port:1,0,1732419972,268770195,Enabled,0.319915,0.681766,-0.383925,0.534276,-187.388,337.09,-1847.81,0.382193,4,OK,-187.299,337.12,-1848.11,OK,-192.601,288.029,-1855.89,OK,-144.659,262.831,-1867.8,OK,-129.551,324.803,-1857.85,,1701166336,Port:2,0,1732419972,268770195,Enabled,0.919982,0.174677,-0.0451548,0.347969,-153.721,24.6902,-1868.62,0.110152,3,OK,-153.714,24.7473,-1868.6,OK,-196.118,-2.74656,-1877.23,OK,-195.156,68.8178,-1850.26,,1701166336,Port:65535,0,1732419972,268770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1779,-232.01,-2285.96,UnrecognizedEnumValue,-67.3867,-278.019,-2501.81,PossiblePhantom,-60.3508,-261.928,-2071.19,PossiblePhantom,-56.1525,-234.289,-1960.72,PossiblePhantom,-60.0679,-273.348,-2116.88,PossiblePhantom,-61.988,-294.928,-2203.16,PossiblePhantom,-63.0392,-262.789,-2197.44,PossiblePhantom,-58.4439,-233.499,-2073.36,PossiblePhantom,-62.8027,-274.952,-2249.02,PossiblePhantom,-64.9691,-298.021,-2346.78,PossiblePhantom,-67.5098,-263.752,-2337.79,PossiblePhantom,-67.3668,-276.723,-2396.15,UnrecognizedEnumValue,-69.8976,-301.47,-2507.58,UnrecognizedEnumValue,-536.056,-26.715,-2538.39
,,1701166339,Port:1,0,1732419972,318770195,Enabled,0.320019,0.681758,-0.383735,0.534361,-187.46,337.166,-1847.8,0.359477,4,OK,-187.37,337.186,-1848.08,OK,-192.662,288.118,-1855.9,OK,-144.714,262.893,-1867.74,OK,-129.629,324.892,-1857.86,,1701166339,Port:2,0,1732419972,318770195,Enabled,0.919931,0.175047,-0.0449983,0.347937,-153.729,24.6949,-1868.65,0.116974,3,OK,-153.727,24.747,-1868.63,OK,-196.123,-2.74849,-1877.26,OK,-195.157,68.8227,-1850.24,,1701166339,Port:65535,0,1732419972,318770195,Missing,,,,,,,,,14,PossiblePhantom,-62.176,-231.976,-2285.81,UnrecognizedEnumValue,-67.3809,-278.004,-2501.75,PossiblePhantom,-63.027,-262.81,-2197.49,PossiblePhantom,-58.4367,-233.469,-2073.19,PossiblePhantom,-62.7912,-274.938,-2248.92,PossiblePhantom,-64.9619,-298.009,-2346.68,PossiblePhantom,-60.3429,-261.947,-2071.29,PossiblePhantom,-56.1494,-234.261,-1960.62,PossiblePhantom,-60.0614,-273.337,-2116.86,PossiblePhantom,-61.9854,-294.917,-2203.13,PossiblePhantom,-67.5044,-263.774,-2337.92,PossiblePhantom,-67.3624,-276.709,-2396.13,UnrecognizedEnumValue,-69.898,-301.459,-2507.58,UnrecognizedEnumValue,-536,-26.7118,-2538.18
,,1701166342,Port:1,0,1732419972,368770195,Enabled,0.320487,0.681978,-0.383228,0.534164,-187.407,337.14,-1847.8,0.357518,4,OK,-187.312,337.161,-1848.07,OK,-192.613,288.079,-1855.86,OK,-144.665,262.867,-1867.73,OK,-129.587,324.868,-1857.93,,1701166342,Port:2,0,1732419972,368770195,Enabled,0.919915,0.175199,-0.0454035,0.34785,-153.726,24.6845,-1868.65,0.128308,3,OK,-153.721,24.7434,-1868.63,OK,-196.129,-2.75651,-1877.3,OK,-195.151,68.8209,-1850.23,,1701166342,Port:65535,0,1732419972,368770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1763,-231.982,-2285.82,UnrecognizedEnumValue,-67.3776,-277.989,-2501.66,PossiblePhantom,-60.353,-261.931,-2071.16,PossiblePhantom,-56.1562,-234.266,-1960.59,PossiblePhantom,-60.0658,-273.324,-2116.74,PossiblePhantom,-61.9936,-294.904,-2203.02,PossiblePhantom,-63.0354,-262.793,-2197.35,PossiblePhantom,-58.4419,-233.475,-2073.15,PossiblePhantom,-62.7937,-274.924,-2248.79,PossiblePhantom,-64.9681,-297.994,-2346.55,PossiblePhantom,-67.4955,-263.756,-2337.8,PossiblePhantom,-67.3466,-276.695,-2396.02,UnrecognizedEnumValue,-69.8856,-301.445,-2507.47,UnrecognizedEnumValue,-536.027,-26.7104,-2538.3
,,1701166345,Port:1,0,1732419972,418770195,Enabled,0.320114,0.682118,-0.383583,0.533953,-187.386,337.025,-1847.82,0.384134,4,OK,-187.304,337.062,-1848.13,OK,-192.587,287.967,-1855.9,OK,-144.651,262.776,-1867.86,OK,-129.563,324.745,-1857.94,,1701166345,Port:2,0,1732419972,418770195,Enabled,0.919943,0.175037,-0.0453308,0.347869,-153.729,24.6791,-1868.66,0.115107,3,OK,-153.727,24.7349,-1868.64,OK,-196.127,-2.74947,-1877.3,OK,-195.155,68.8074,-1850.27,,1701166345,Port:65535,0,1732419972,418770195,Missing,,,,,,,,,14,PossiblePhantom,-62.1647,-232.018,-2286.03,UnrecognizedEnumValue,-67.3765,-278.042,-2501.96,PossiblePhantom,-60.3491,-261.953,-2071.24,PossiblePhantom,-56.1478,-234.297,-1960.7,PossiblePhantom,-60.066,-273.366,-2116.91,PossiblePhantom,-61.9981,-294.932,-2203.12,PossiblePhantom,-63.0352,-262.817,-2197.48,PossiblePhantom,-58.4365,-233.506,-2073.31,PossiblePhantom,-62.7981,-274.971,-2249.02,PossiblePhantom,-64.9771,-298.025,-2346.7,PossiblePhantom,-67.5169,-263.781,-2337.97,PossiblePhantom,-67.3738,-276.745,-2396.32,UnrecognizedEnumValue,-69.9189,-301.48,-2507.7,UnrecognizedEnumValue,-536.022,-26.7075,-2538.28
