#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,1700949514,Port:1,0,1732416358,568781049,Enabled,0.567062,0.609054,-0.330788,0.445055,-201.277,253.595,-1510.95,0.305579,4,OK,-201.26,253.52,-1511.07,OK,-220.437,209.468,-1497.88,OK,-186.305,166.955,-1507.72,OK,-154.532,219.651,-1526.72,,1700949514,Port:2,0,1732416358,568781049,Enabled,0.921448,0.0776732,-0.00218687,0.380651,-117.581,-201.819,-1578.55,0.11277,3,OK,-117.486,-201.826,-1578.56,OK,-158.062,-233.103,-1580.88,OK,-161.992,-157.576,-1569.59,,1700949514,Port:65535,0,1732416358,568781049,Missing,,,,,,,,,0
,,1700949517,Port:1,0,1732416358,618781049,Enabled,0.567156,0.608914,-0.330692,0.445198,-201.282,253.603,-1510.98,0.30335,4,OK,-201.264,253.536,-1511.1,OK,-220.434,209.476,-1497.88,OK,-186.306,166.954,-1507.71,OK,-154.533,219.663,-1526.72,,1700949517,Port:2,0,1732416358,618781049,Enabled,0.921451,0.0776933,-0.00198987,0.380642,-117.585,-201.819,-1578.56,0.11107,3,OK,-117.493,-201.834,-1578.57,OK,-158.061,-233.099,-1580.87,OK,-161.996,-157.575,-1569.59,,1700949517,Port:65535,0,1732416358,618781049,Missing,,,,,,,,,0
,,1700949520,Port:1,0,1732416358,668781049,Enabled,0.567064,0.609165,-0.330713,0.444956,-201.281,253.601,-1510.95,0.289699,4,OK,-201.257,253.522,-1511.04,OK,-220.443,209.477,-1497.91,OK,-186.301,166.948,-1507.71,OK,-154.539,219.671,-1526.76,,1700949520,Port:2,0,1732416358,668781049,Enabled,0.921459,0.0775672,-0.00180141,0.380649,-117.583,-201.817,-1578.57,0.108093,3,OK,-117.493,-201.831,-1578.57,OK,-158.058,-233.097,-1580.85,OK,-161.992,-157.574,-1569.6,,1700949520,Port:65535,0,1732416358,668781049,Missing,,,,,,,,,0
,,1700949523,Port:1,0,1732416358,718781049,Enabled,0.567235,0.608853,-0.330631,0.445226,-201.283,253.596,-1510.98,0.303501,4,OK,-201.262,253.532,-1511.1,OK,-220.435,209.469,-1497.87,OK,-186.307,166.947,-1507.69,OK,-154.54,219.653,-1526.71,,1700949523,Port:2,0,1732416358,718781049,Enabled,0.921443,0.077942,-0.00154633,0.380611,-117.583,-201.82,-1578.59,0.114056,3,OK,-117.49,-201.839,-1578.59,OK,-158.059,-233.102,-1580.86,OK,-161.989,-157.572,-1569.56,,1700949523,Port:65535,0,1732416358,718781049,Missing,,,,,,,,,0
,,1700949526,Port:1,0,1732416358,768781049,Enabled,0.56692,0.608872,-0.331031,0.445304,-201.276,253.599,-1510.96,0.300027,4,OK,-201.258,253.52,-1511.06,OK,-220.442,209.479,-1497.92,OK,-186.306,166.95,-1507.7,OK,-154.527,219.658,-1526.69,,1700949526,Port:2,0,1732416358,768781049,Enabled,0.921461,0.0779152,-0.0017235,0.380574,-117.586,-201.821,-1578.59,0.115738,3,OK,-117.496,-201.839,-1578.6,OK,-158.063,-233.101,-1580.88,OK,-161.989,-157.565,-1569.57,,1700949526,Port:65535,0,1732416358,768781049,Missing,,,,,,,,,0
,,1700949529,Port:1,0,1732416358,818781049,Enabled,0.567044,0.608971,-0.330836,0.445156,-201.28,253.603,-1510.96,0.299117,4,OK,-201.263,253.538,-1511.07,OK,-220.435,209.476,-1497.9,OK,-186.309,166.954,-1507.71,OK,-154.536,219.66,-1526.72,,1700949529,Port:2,0,1732416358,818781049,Enabled,0.921457,0.0778504,-0.00233219,0.380592,-117.582,-201.82,-1578.55,0.117166,3,OK,-117.489,-201.827,-1578.56,OK,-158.067,-233.106,-1580.9,OK,-161.988,-157.569,-1569.57,,1700949529,Port:65535,0,1732416358,818781049,Missing,,,,,,,,,0
,,1700949532,Port:1,0,1732416358,868781049,Enabled,0.567307,0.609116,-0.33043,0.444924,-201.284,253.596,-1510.98,0.297338,4,OK,-201.26,253.521,-1511.1,OK,-220.434,209.465,-1497.87,OK,-186.307,166.951,-1507.72,OK,-154.54,219.663,-1526.77,,1700949532,Port:2,0,1732416358,868781049,Enabled,0.921434,0.0778056,-0.00220946,0.380659,-117.583,-201.822,-1578.57,0.115617,3,OK,-117.49,-201.832,-1578.57,OK,-158.061,-233.11,-1580.9,OK,-161.996,-157.577,-1569.59,,1700949532,Port:65535,0,1732416358,868781049,Missing,,,,,,,,,0
,,1700949535,Port:1,0,1732416358,918781049,Enabled,0.567088,0.609029,-0.330754,0.445081,-201.286,253.599,-1510.96,0.308066,4,OK,-201.265,253.529,-1511.08,OK,-220.443,209.469,-1497.87,OK,-186.31,166.957,-1507.72,OK,-154.545,219.655,-1526.71,,1700949535,Port:2,0,1732416358,918781049,Enabled,0.921465,0.077626,-0.00235283,0.38062,-117.585,-201.823,-1578.54,0.114417,3,OK,-117.494,-201.828,-1578.55,OK,-158.067,-233.109,-1580.89,OK,-161.992,-157.573,-1569.59,,1700949535,Port:65535,0,1732416358,918781049,Missing,,,,,,,,,0
,,1700949538,Port:1,0,1732416358,968781049,Enabled,0.567059,0.608904,-0.330879,0.445196,-201.271,253.598,-1510.93,0.303042,4,OK,-201.255,253.53,-1511.05,OK,-220.436,209.475,-1497.86,OK,-186.304,166.95,-1507.68,OK,-154.523,219.65,-1526.67,,1700949538,Port:2,0,1732416358,968781049,Enabled,0.921465,0.0776739,-0.00230835,0.380609,-117.585,-201.825,-1578.55,0.111413,3,OK,-117.498,-201.833,-1578.55,OK,-158.064,-233.106,-1580.89,OK,-161.991,-157.575,-1569.59,,1700949538,Port:65535,0,1732416358,968781049,Missing,,,,,,,,,0
,,1700949541,Port:1,0,1732416359,18781049,Enabled,0.567158,0.608969,-0.330694,0.445119,-201.286,253.6,-1510.96,0.29618,4,OK,-201.27,253.536,-1511.07,OK,-220.442,209.472,-1497.88,OK,-186.312,166.952,-1507.69,OK,-154.536,219.656,-1526.72,,1700949541,Port:2,0,1732416359,18781049,Enabled,0.921451,0.0777904,-0.00185097,0.380623,-117.584,-201.822,-1578.58,0.116501,3,OK,-117.488,-201.834,-1578.58,OK,-158.064,-233.108,-1580.88,OK,-161.992,-157.572,-1569.58,,1700949541,Port:65535,0,1732416359,18781049,Missing,,,,,,,,,0
