#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,,,,,
,,1680176734,Port:1,0,1732070145,568758032,Enabled,0.324597,0.672252,-0.490577,0.449498,-229.306,159.529,-1809.7,0.377555,4,OK,-229.215,159.572,-1810.01,OK,-245.052,114.701,-1825.26,OK,-203.883,82.5366,-1843.81,OK,-175.662,137.449,-1824.93,,1680176734,Port:2,0,1732070145,568758032,Enabled,0.919652,-0.0068334,0.0567161,0.388558,-202.262,-266.768,-1754.32,0.131986,3,OK,-202.205,-266.72,-1754.33,OK,-241.89,-298.764,-1748.54,OK,-247.493,-222.53,-1752.33,,1680176734,Port:65535,0,1732070145,568758032,Missing,,,,,,,,,0,,,,,,,,
,,1680176740,Port:1,0,1732070145,668758033,Enabled,0.32468,0.672222,-0.490545,0.449518,-229.301,159.525,-1809.72,0.372824,4,OK,-229.204,159.572,-1810.02,OK,-245.055,114.684,-1825.27,OK,-203.889,82.5221,-1843.81,OK,-175.655,137.448,-1824.94,,1680176740,Port:2,0,1732070145,668758033,Enabled,0.919598,-0.00673599,0.0575689,0.38856,-202.265,-266.776,-1754.39,0.129058,3,OK,-202.208,-266.736,-1754.4,OK,-241.879,-298.765,-1748.53,OK,-247.498,-222.536,-1752.35,,1680176740,Port:65535,0,1732070145,668758033,Missing,,,,,,,,,0,,,,,,,,
,,1680176743,Port:1,0,1732070145,718758033,Enabled,0.324529,0.672464,-0.490582,0.449225,-229.296,159.512,-1809.68,0.382295,4,OK,-229.203,159.565,-1810,OK,-245.049,114.685,-1825.24,OK,-203.884,82.524,-1843.86,OK,-175.655,137.453,-1824.94,,1680176743,Port:2,0,1732070145,718758033,Enabled,0.919622,-0.00652477,0.0574063,0.388533,-202.262,-266.777,-1754.36,0.129708,3,OK,-202.207,-266.736,-1754.36,OK,-241.877,-298.766,-1748.53,OK,-247.49,-222.531,-1752.3,,1680176743,Port:65535,0,1732070145,718758033,Missing,,,,,,,,,0,,,,,,,,
,,1680176746,Port:1,0,1732070145,768758036,Enabled,0.324529,0.672341,-0.490587,0.449403,-229.302,159.515,-1809.7,0.364618,4,OK,-229.208,159.559,-1809.98,OK,-245.057,114.691,-1825.29,OK,-203.874,82.5253,-1843.82,OK,-175.656,137.449,-1824.96,,1680176746,Port:2,0,1732070145,768758036,Enabled,0.919593,-0.00708035,0.0572636,0.388612,-202.26,-266.769,-1754.35,0.129875,3,OK,-202.202,-266.728,-1754.35,OK,-241.873,-298.762,-1748.51,OK,-247.5,-222.533,-1752.36,,1680176746,Port:65535,0,1732070145,768758036,Missing,,,,,,,,,0,,,,,,,,
,,1680176749,Port:1,0,1732070145,818758036,Enabled,0.324587,0.672306,-0.490555,0.449448,-229.298,159.52,-1809.71,0.38235,4,OK,-229.207,159.562,-1810.02,OK,-245.042,114.693,-1825.25,OK,-203.878,82.524,-1843.84,OK,-175.65,137.452,-1824.93,,1680176749,Port:2,0,1732070145,818758036,Enabled,0.919609,-0.00691271,0.0572819,0.388575,-202.263,-266.771,-1754.37,0.128354,3,OK,-202.208,-266.733,-1754.38,OK,-241.876,-298.76,-1748.54,OK,-247.499,-222.531,-1752.37,,1680176749,Port:65535,0,1732070145,818758036,Missing,,,,,,,,,0,,,,,,,,
,,1680176752,Port:1,0,1732070145,868758036,Enabled,0.324715,0.672673,-0.490359,0.44902,-229.294,159.515,-1809.68,0.372638,4,OK,-229.206,159.578,-1809.97,OK,-245.052,114.686,-1825.24,OK,-203.885,82.5259,-1843.86,OK,-175.664,137.458,-1824.99,,1680176752,Port:2,0,1732070145,868758036,Enabled,0.91961,-0.00696318,0.0569995,0.388613,-202.258,-266.772,-1754.34,0.127218,3,OK,-202.205,-266.731,-1754.35,OK,-241.873,-298.765,-1748.53,OK,-247.497,-222.539,-1752.35,,1680176752,Port:65535,0,1732070145,868758036,Missing,,,,,,,,,0,,,,,,,,
,,1680176755,Port:1,0,1732070145,918758036,Enabled,0.324752,0.67254,-0.490373,0.449178,-229.288,159.515,-1809.67,0.360138,4,OK,-229.193,159.566,-1809.94,OK,-245.05,114.685,-1825.25,OK,-203.874,82.5236,-1843.79,OK,-175.658,137.451,-1824.98,,1680176755,Port:2,0,1732070145,918758036,Enabled,0.919625,-0.00697471,0.0570362,0.388572,-202.262,-266.772,-1754.34,0.132153,3,OK,-202.209,-266.73,-1754.35,OK,-241.879,-298.767,-1748.53,OK,-247.496,-222.528,-1752.35,,1680176755,Port:65535,0,1732070145,918758036,Missing,,,,,,,,,0,,,,,,,,
,,1680176758,Port:1,0,1732070145,968758036,Enabled,0.324644,0.67264,-0.490446,0.449026,-229.294,159.505,-1809.69,0.346019,4,OK,-229.195,159.562,-1809.93,OK,-245.063,114.68,-1825.31,OK,-203.881,82.5169,-1843.83,OK,-175.665,137.452,-1825.03,,1680176758,Port:2,0,1732070145,968758036,Enabled,0.919619,-0.00716145,0.0569968,0.388589,-202.258,-266.77,-1754.33,0.127876,3,OK,-202.202,-266.724,-1754.34,OK,-241.878,-298.76,-1748.53,OK,-247.493,-222.538,-1752.37,,1680176758,Port:65535,0,1732070145,968758036,Missing,,,,,,,,,0,,,,,,,,
,,1680176761,Port:1,0,1732070146,18758036,Enabled,0.324972,0.67266,-0.490107,0.449129,-229.301,159.525,-1809.7,0.371661,4,OK,-229.213,159.572,-1809.99,OK,-245.059,114.69,-1825.23,OK,-203.888,82.5258,-1843.82,OK,-175.668,137.465,-1825.02,,1680176761,Port:2,0,1732070146,18758036,Enabled,0.919629,-0.00663055,0.0571883,0.388546,-202.267,-266.775,-1754.36,0.131356,3,OK,-202.21,-266.73,-1754.37,OK,-241.888,-298.768,-1748.54,OK,-247.496,-222.533,-1752.33,,1680176761,Port:65535,0,1732070146,18758036,Missing,,,,,,,,,0,,,,,,,,
,,1680176764,Port:1,0,1732070146,68758036,Enabled,0.324474,0.672261,-0.490717,0.44942,-229.299,159.512,-1809.69,0.366747,4,OK,-229.206,159.561,-1809.98,OK,-245.057,114.684,-1825.28,OK,-203.885,82.5202,-1843.82,OK,-175.648,137.44,-1824.93,,1680176764,Port:2,0,1732070146,68758036,Enabled,0.91963,-0.00656891,0.0570062,0.38857,-202.26,-266.766,-1754.32,0.126997,3,OK,-202.214,-266.722,-1754.33,OK,-241.875,-298.759,-1748.52,OK,-247.487,-222.529,-1752.29,,1680176764,Port:65535,0,1732070146,68758036,Missing,,,,,,,,,0,,,,,,,,
