#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970675,Port:1,0,1730983377,918750577,Enabled,0.378179,-0.0811566,-0.921721,-0.0287198,242.231,-84.6957,-1781.67,0.378096,4,OK,242.24,-84.762,-1781.7,OK,218.86,-51.4413,-1811.01,OK,181.379,-75.1097,-1844.22,OK,206.392,-123.592,-1810.33,,1614970675,Port:2,0,1730983377,918750577,Enabled,0.380012,-0.0551244,-0.0126792,-0.923251,250.704,142.846,-1833.93,0.164477,3,OK,250.627,142.774,-1833.92,OK,290.966,174.111,-1839.72,OK,295.147,97.7752,-1835.09,,1614970675,Port:65535,0,1730983377,918750577,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970678,Port:1,0,1730983377,968750577,Enabled,0.377969,-0.0809832,-0.921819,-0.0288334,242.22,-84.6965,-1781.67,0.375682,4,OK,242.231,-84.7586,-1781.68,OK,218.866,-51.4478,-1811.02,OK,181.381,-75.105,-1844.25,OK,206.41,-123.589,-1810.37,,1614970678,Port:2,0,1730983377,968750577,Enabled,0.379958,-0.0555655,-0.0127547,-0.923245,250.71,142.846,-1833.92,0.168362,3,OK,250.627,142.766,-1833.91,OK,290.978,174.107,-1839.76,OK,295.146,97.7736,-1835.09,,1614970678,Port:65535,0,1730983377,968750577,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970681,Port:1,0,1730983378,18750576,Enabled,0.378269,-0.0809592,-0.921698,-0.0288323,242.232,-84.6976,-1781.65,0.379573,4,OK,242.242,-84.7525,-1781.68,OK,218.851,-51.4462,-1810.98,OK,181.369,-75.1076,-1844.19,OK,206.395,-123.595,-1810.33,,1614970681,Port:2,0,1730983378,18750576,Enabled,0.380053,-0.0555851,-0.0125805,-0.923208,250.71,142.842,-1833.94,0.167626,3,OK,250.623,142.768,-1833.93,OK,290.971,174.111,-1839.77,OK,295.158,97.7765,-1835.14,,1614970681,Port:65535,0,1730983378,18750576,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970684,Port:1,0,1730983378,68750576,Enabled,0.378276,-0.0811989,-0.921679,-0.0286707,242.234,-84.6884,-1781.68,0.377066,4,OK,242.238,-84.7558,-1781.71,OK,218.853,-51.4394,-1811.03,OK,181.379,-75.1039,-1844.21,OK,206.39,-123.584,-1810.33,,1614970684,Port:2,0,1730983378,68750576,Enabled,0.38003,-0.0555413,-0.0122535,-0.923224,250.704,142.841,-1833.9,0.163325,3,OK,250.617,142.769,-1833.89,OK,290.966,174.103,-1839.72,OK,295.15,97.7758,-1835.13,,1614970684,Port:65535,0,1730983378,68750576,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970687,Port:1,0,1730983378,118750576,Enabled,0.378068,-0.0814242,-0.921749,-0.0285061,242.22,-84.6856,-1781.65,0.371246,4,OK,242.232,-84.7555,-1781.65,OK,218.862,-51.4407,-1811.04,OK,181.378,-75.1042,-1844.21,OK,206.382,-123.598,-1810.3,,1614970687,Port:2,0,1730983378,118750576,Enabled,0.38002,-0.0552775,-0.0127721,-0.923237,250.712,142.844,-1833.97,0.164653,3,OK,250.633,142.77,-1833.96,OK,290.973,174.109,-1839.78,OK,295.155,97.7764,-1835.12,,1614970687,Port:65535,0,1730983378,118750576,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970690,Port:1,0,1730983378,168750577,Enabled,0.378307,-0.0810826,-0.921673,-0.0287943,242.235,-84.7016,-1781.66,0.376986,4,OK,242.231,-84.758,-1781.68,OK,218.86,-51.4515,-1811.01,OK,181.37,-75.1025,-1844.17,OK,206.395,-123.6,-1810.34,,1614970690,Port:2,0,1730983378,168750577,Enabled,0.380053,-0.0547073,-0.0126805,-0.923258,250.703,142.841,-1833.95,0.160084,3,OK,250.632,142.773,-1833.94,OK,290.96,174.106,-1839.7,OK,295.15,97.7733,-1835.09,,1614970690,Port:65535,0,1730983378,168750577,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970693,Port:1,0,1730983378,218750577,Enabled,0.378204,-0.0808871,-0.921728,-0.0289235,242.226,-84.7048,-1781.68,0.385514,4,OK,242.234,-84.759,-1781.69,OK,218.855,-51.4404,-1811.01,OK,181.37,-75.1108,-1844.21,OK,206.395,-123.602,-1810.39,,1614970693,Port:2,0,1730983378,218750577,Enabled,0.380003,-0.0554885,-0.0129067,-0.923229,250.711,142.842,-1833.94,0.170012,3,OK,250.631,142.762,-1833.93,OK,290.974,174.111,-1839.77,OK,295.15,97.7713,-1835.09,,1614970693,Port:65535,0,1730983378,218750577,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970696,Port:1,0,1730983378,268750576,Enabled,0.378689,-0.0813894,-0.921495,-0.0285925,242.261,-84.6978,-1781.7,0.381816,4,OK,242.242,-84.7658,-1781.74,OK,218.86,-51.4433,-1811.04,OK,181.372,-75.1081,-1844.14,OK,206.381,-123.593,-1810.31,,1614970696,Port:2,0,1730983378,268750576,Enabled,0.380068,-0.0548395,-0.0127785,-0.923243,250.703,142.836,-1833.95,0.156617,3,OK,250.632,142.765,-1833.94,OK,290.96,174.098,-1839.71,OK,295.149,97.7792,-1835.08,,1614970696,Port:65535,0,1730983378,268750576,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970699,Port:1,0,1730983378,318750576,Enabled,0.378335,-0.0811087,-0.92166,-0.0287571,242.236,-84.6969,-1781.69,0.383337,4,OK,242.231,-84.7577,-1781.71,OK,218.858,-51.4442,-1811.04,OK,181.374,-75.1105,-1844.19,OK,206.391,-123.588,-1810.36,,1614970699,Port:2,0,1730983378,318750576,Enabled,0.379974,-0.0551369,-0.012932,-0.923262,250.701,142.843,-1833.94,0.164013,3,OK,250.622,142.768,-1833.93,OK,290.967,174.102,-1839.74,OK,295.14,97.772,-1835.07,,1614970699,Port:65535,0,1730983378,318750576,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1614970702,Port:1,0,1730983378,368750572,Enabled,0.378299,-0.0813056,-0.92166,-0.0286807,242.234,-84.6994,-1781.68,0.375397,4,OK,242.239,-84.7698,-1781.75,OK,218.854,-51.4403,-1810.99,OK,181.377,-75.1034,-1844.24,OK,206.38,-123.596,-1810.3,,1614970702,Port:2,0,1730983378,368750572,Enabled,0.379986,-0.0556897,-0.0128441,-0.923225,250.712,142.847,-1833.95,0.169961,3,OK,250.63,142.768,-1833.94,OK,290.976,174.112,-1839.8,OK,295.151,97.7744,-1835.12,,1614970702,Port:65535,0,1730983378,368750572,Missing,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
