ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,140414329,Port:1,0,1769565838,818812980,Enabled,0.673204,0.429526,-0.429066,0.422145,-42.5898,-29.2063,-1813.51,0.131902,4,OK,-42.6528,-29.3827,-1813.44,OK,-78.086,-59.9198,-1796.6,OK,-61.5341,-111.882,-1790.38,OK,-9.79292,-79.3587,-1812.46,,140414329,Port:2,0,1769565838,818812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414329,Port:3,0,1769565838,818812980,Enabled,0.919632,-0.00480284,0.0398019,0.39073,-30.9915,104.797,-1686.55,0.120055,3,OK,-30.8513,104.867,-1686.56,OK,-70.7039,72.6646,-1682.49,OK,-76.4635,148.697,-1685.14,,140414329,Port:65535,0,1769565838,818812980,Missing,,,,,,,,,0
4,,140414335,Port:1,0,1769565838,918812980,Enabled,0.675006,0.425669,-0.430565,0.421648,-43.3536,-25.3924,-1815.13,0.13634,4,OK,-43.4112,-25.576,-1815.05,OK,-79.1229,-55.7727,-1798.2,OK,-62.9551,-107.838,-1791.63,OK,-10.8788,-75.7402,-1813.75,,140414335,Port:2,0,1769565838,918812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414335,Port:3,0,1769565838,918812980,Enabled,0.919618,-0.00412626,0.0399898,0.390751,-30.9914,104.795,-1686.58,0.122745,3,OK,-30.8447,104.864,-1686.6,OK,-70.7043,72.6666,-1682.53,OK,-76.4646,148.688,-1685.09,,140414335,Port:65535,0,1769565838,918812980,Missing,,,,,,,,,0
4,,140414341,Port:1,0,1769565839,18812980,Enabled,0.670574,0.42395,-0.447429,0.412801,-43.382,-20.0823,-1815.93,0.1366,4,OK,-43.4574,-20.2842,-1815.89,OK,-80.2186,-49.9551,-1800.41,OK,-65.4036,-102.525,-1794.82,OK,-12.149,-71.2388,-1815.05,,140414341,Port:2,0,1769565839,18812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414341,Port:3,0,1769565839,18812980,Enabled,0.919609,-0.00412836,0.0404047,0.390729,-30.9949,104.795,-1686.6,0.122432,3,OK,-30.8509,104.866,-1686.61,OK,-70.7056,72.6661,-1682.5,OK,-76.463,148.69,-1685.08,,140414341,Port:65535,0,1769565839,18812980,Missing,,,,,,,,,0
4,,140414350,Port:1,0,1769565839,168812980,Enabled,0.667754,0.409395,-0.470121,0.4068,-42.0116,-11.0636,-1818.62,0.124897,4,OK,-42.0816,-11.2414,-1818.57,OK,-80.5487,-39.6215,-1804.81,OK,-67.9715,-92.7459,-1799.02,OK,-12.7978,-63.3749,-1816.9,,140414350,Port:2,0,1769565839,168812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414350,Port:3,0,1769565839,168812980,Enabled,0.919641,-0.00451721,0.0396428,0.390728,-30.9892,104.798,-1686.56,0.11287,3,OK,-30.8532,104.859,-1686.57,OK,-70.6961,72.6753,-1682.53,OK,-76.4626,148.697,-1685.12,,140414350,Port:65535,0,1769565839,168812980,Missing,,,,,,,,,0
4,,140414356,Port:1,0,1769565839,268812980,Enabled,0.667439,0.407379,-0.469461,0.410089,-41.9468,-8.32231,-1819.11,0.126972,4,OK,-42.0191,-8.51016,-1819.08,OK,-80.4453,-36.9132,-1805.24,OK,-67.719,-89.9765,-1799.13,OK,-12.5546,-60.5188,-1816.95,,140414356,Port:2,0,1769565839,268812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414356,Port:3,0,1769565839,268812980,Enabled,0.919626,-0.0044031,0.0394609,0.390783,-30.9927,104.801,-1686.55,0.115803,3,OK,-30.8576,104.87,-1686.57,OK,-70.7016,72.67,-1682.55,OK,-76.4656,148.688,-1685.12,,140414356,Port:65535,0,1769565839,268812980,Missing,,,,,,,,,0
4,,140414362,Port:1,0,1769565839,368812980,Enabled,0.667086,0.403158,-0.472603,0.411225,-40.5998,-6.40253,-1819.82,0.145783,4,OK,-40.6833,-6.6052,-1819.73,OK,-79.3541,-34.7576,-1806.24,OK,-66.9344,-87.8406,-1799.72,OK,-11.4671,-58.7299,-1817.23,,140414362,Port:2,0,1769565839,368812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414362,Port:3,0,1769565839,368812980,Enabled,0.91965,-0.00446762,0.0393467,0.390738,-30.9956,104.794,-1686.52,0.117146,3,OK,-30.8552,104.859,-1686.53,OK,-70.7094,72.6703,-1682.52,OK,-76.4692,148.686,-1685.09,,140414362,Port:65535,0,1769565839,368812980,Missing,,,,,,,,,0
4,,140414368,Port:1,0,1769565839,468812980,Enabled,0.668269,0.404169,-0.468792,0.412672,-39.4284,-6.26487,-1819.66,0.141553,4,OK,-39.5027,-6.46675,-1819.58,OK,-77.9618,-34.7561,-1805.74,OK,-65.2285,-87.7518,-1799.08,OK,-10.0354,-58.4341,-1817.03,,140414368,Port:2,0,1769565839,468812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414368,Port:3,0,1769565839,468812980,Enabled,0.919633,-0.00498681,0.0395507,0.39075,-30.9944,104.8,-1686.52,0.117122,3,OK,-30.8559,104.867,-1686.53,OK,-70.7055,72.6729,-1682.48,OK,-76.4698,148.693,-1685.14,,140414368,Port:65535,0,1769565839,468812980,Missing,,,,,,,,,0
4,,140414374,Port:1,0,1769565839,568812980,Enabled,0.668665,0.398514,-0.47276,0.413004,-38.7559,-5.10999,-1820.69,0.135466,4,OK,-38.8397,-5.30787,-1820.67,OK,-77.6575,-33.2067,-1806.96,OK,-65.4337,-86.2701,-1800.02,OK,-9.83741,-57.5194,-1817.48,,140414374,Port:2,0,1769565839,568812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414374,Port:3,0,1769565839,568812980,Enabled,0.919655,-0.00467295,0.0392607,0.390733,-30.9926,104.796,-1686.54,0.120619,3,OK,-30.8492,104.863,-1686.55,OK,-70.7099,72.6657,-1682.54,OK,-76.4675,148.695,-1685.14,,140414374,Port:65535,0,1769565839,568812980,Missing,,,,,,,,,0
4,,140414383,Port:1,0,1769565839,718812980,Enabled,0.666524,0.398488,-0.46991,0.419688,-41.3281,-2.7834,-1821.71,0.149739,4,OK,-41.3913,-2.97862,-1821.6,OK,-79.9265,-31.3015,-1808,OK,-67.0354,-84.1338,-1800.48,OK,-11.7416,-54.7801,-1818.09,,140414383,Port:2,0,1769565839,718812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414383,Port:3,0,1769565839,718812980,Enabled,0.919637,-0.00463909,0.0394554,0.390756,-30.9906,104.801,-1686.51,0.114829,3,OK,-30.8569,104.869,-1686.52,OK,-70.6994,72.6691,-1682.5,OK,-76.4632,148.697,-1685.1,,140414383,Port:65535,0,1769565839,718812980,Missing,,,,,,,,,0
4,,140414389,Port:1,0,1769565839,818812980,Enabled,0.665453,0.398235,-0.47137,0.419991,-41.9663,2.10085,-1820.17,0.134116,4,OK,-42.0411,1.90102,-1820.12,OK,-80.6114,-26.4191,-1806.57,OK,-67.7545,-79.2839,-1799.2,OK,-12.3876,-49.9077,-1816.48,,140414389,Port:2,0,1769565839,818812980,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140414389,Port:3,0,1769565839,818812980,Enabled,0.919601,-0.00442213,0.0401522,0.390772,-30.9981,104.799,-1686.59,0.123276,3,OK,-30.854,104.872,-1686.6,OK,-70.7088,72.665,-1682.51,OK,-76.4713,148.69,-1685.12,,140414389,Port:65535,0,1769565839,818812980,Missing,,,,,,,,,0
