Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.703637,0.410193,-0.37689,-0.441125,-67.4729,30.781,-153.922
2,0.773518,0.310333,-0.451523,-0.318576,-68.1932,57.6612,-70.1174
3,0.721531,0.484386,-0.426791,-0.250224,-49.0614,6.21278,-112.937
4,0.641444,0.518157,-0.498735,-0.26707,-98.2818,-79.3988,-101.266
5,0.705121,0.581193,-0.315856,-0.25545,-6.50914,-67.308,-124.948
6,0.570269,0.607932,-0.444221,-0.32845,-85.4743,-64.8093,-181.792
7,0.739024,0.518663,-0.360234,-0.234657,-14.8839,7.31876,-121.753
8,0.663909,0.600249,-0.343328,-0.284697,-72.6802,-61.2909,-149.48
9,0.674104,0.52068,-0.488499,-0.189327,-75.7344,-20.4199,-132.425
10,0.623707,-0.133274,-0.0312521,-0.769579,-21.9237,4.36494,-87.5882
11,0.750841,0.247486,-0.287365,-0.540749,-54.6789,-22.5316,-70.0092
12,0.771393,0.433219,-0.388199,-0.258024,-13.761,56.7254,-107.14
13,0.344331,0.696926,-0.553489,-0.298965,-57.9434,-41.2885,-176.679
14,0.542166,0.401389,-0.421492,-0.606043,-54.3528,-68.1985,-144.1
15,0.517753,0.374325,-0.499476,-0.585095,-55.5556,71.5629,-166.65
16,0.369819,0.593804,-0.681024,-0.216418,-54.5894,23.7801,-148.477
17,0.574563,0.355067,-0.564463,-0.474538,-67.5156,-11.7034,-92.0569
18,0.520707,0.425243,-0.613315,-0.414582,-32.98,46.9734,-145.743
19,0.306729,0.588069,-0.712265,-0.229719,-23.2332,-38.4469,-155.88
20,0.435833,0.471708,-0.658329,-0.392612,-93.7115,3.28816,-117.033
21,0.470423,0.554351,-0.611362,-0.312464,-19.2063,30.167,-131.73
22,0.516513,0.579906,-0.459785,-0.430723,3.43469,-55.1503,-144.585
23,0.493568,0.450256,-0.614809,-0.41913,-68.745,66.0216,-115.971
24,0.525018,0.592037,-0.452671,-0.411019,16.1169,-46.6387,-145.345
25,0.542251,0.458347,-0.568199,-0.415972,-60.2779,18.2064,-87.6791
