#Tools
ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
4,,140331652,Port:1,0,1769564460,868785098,Enabled,0.666231,0.416399,-0.515884,0.341484,-38.9886,-57.5996,-1820.97,0.358933,4,OK,-38.78,-57.7495,-1820.7,OK,-80.817,-82.9231,-1810.58,OK,-74.4612,-137.438,-1810.05,OK,-16.2787,-112.633,-1825.25,,140331652,Port:2,0,1769564460,868785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331652,Port:3,0,1769564460,868785098,Enabled,0.91973,-0.00488786,0.0387678,0.390602,-30.7347,104.28,-1686.73,0.118391,3,OK,-30.5927,104.344,-1686.74,OK,-70.4633,72.1643,-1682.77,OK,-76.1994,148.189,-1685.38,,140331652,Port:65535,0,1769564460,868785098,Missing,,,,,,,,,1,OK,42.4143,375.493,-2012.02
4,,140331658,Port:1,0,1769564460,968785097,Enabled,0.666162,0.416611,-0.515922,0.341302,-38.9931,-57.5901,-1820.96,0.363596,4,OK,-38.7787,-57.7513,-1820.69,OK,-80.8176,-82.9235,-1810.57,OK,-74.4713,-137.434,-1810.07,OK,-16.2856,-112.605,-1825.27,,140331658,Port:2,0,1769564460,968785097,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331658,Port:3,0,1769564460,968785097,Enabled,0.919754,-0.00500642,0.0382965,0.390591,-30.7351,104.281,-1686.71,0.116174,3,OK,-30.5959,104.346,-1686.72,OK,-70.4667,72.1693,-1682.8,OK,-76.1989,148.189,-1685.4,,140331658,Port:65535,0,1769564460,968785097,Missing,,,,,,,,,1,OK,42.3911,375.511,-2012.08
4,,140331664,Port:1,0,1769564461,68785098,Enabled,0.665922,0.415776,-0.516334,0.342166,-38.9873,-57.598,-1820.94,0.341238,4,OK,-38.771,-57.7482,-1820.71,OK,-80.819,-82.9147,-1810.57,OK,-74.4673,-137.443,-1810.04,OK,-16.2913,-112.62,-1825.09,,140331664,Port:2,0,1769564461,68785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331664,Port:3,0,1769564461,68785098,Enabled,0.919714,-0.00487362,0.0390831,0.390608,-30.735,104.281,-1686.74,0.115556,3,OK,-30.5994,104.348,-1686.75,OK,-70.4579,72.163,-1682.75,OK,-76.1961,148.192,-1685.37,,140331664,Port:65535,0,1769564461,68785098,Missing,,,,,,,,,1,OK,42.4103,375.512,-2012.05
4,,140331670,Port:1,0,1769564461,168785098,Enabled,0.66608,0.416377,-0.515992,0.341641,-38.9928,-57.5906,-1820.95,0.369228,4,OK,-38.7779,-57.7461,-1820.67,OK,-80.8163,-82.9221,-1810.59,OK,-74.4489,-137.44,-1810.04,OK,-16.2863,-112.609,-1825.22,,140331670,Port:2,0,1769564461,168785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331670,Port:3,0,1769564461,168785098,Enabled,0.919723,-0.00494647,0.0384586,0.390649,-30.734,104.28,-1686.7,0.115173,3,OK,-30.6015,104.35,-1686.72,OK,-70.4591,72.1555,-1682.78,OK,-76.1972,148.185,-1685.38,,140331670,Port:65535,0,1769564461,168785098,Missing,,,,,,,,,1,OK,42.3993,375.484,-2012.01
4,,140331676,Port:1,0,1769564461,268785098,Enabled,0.665741,0.415957,-0.516462,0.342105,-38.9923,-57.5929,-1820.94,0.344643,4,OK,-38.7803,-57.7447,-1820.7,OK,-80.824,-82.9204,-1810.6,OK,-74.4649,-137.443,-1810.08,OK,-16.2829,-112.613,-1825.12,,140331676,Port:2,0,1769564461,268785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331676,Port:3,0,1769564461,268785098,Enabled,0.91974,-0.00529497,0.0381866,0.390631,-30.7328,104.28,-1686.66,0.116812,3,OK,-30.5937,104.344,-1686.67,OK,-70.4618,72.1591,-1682.75,OK,-76.2026,148.191,-1685.39,,140331676,Port:65535,0,1769564461,268785098,Missing,,,,,,,,,1,OK,42.4019,375.492,-2011.99
4,,140331682,Port:1,0,1769564461,368785098,Enabled,0.665817,0.415831,-0.516384,0.342227,-38.9908,-57.5874,-1820.95,0.362345,4,OK,-38.7832,-57.7397,-1820.68,OK,-80.8132,-82.9132,-1810.63,OK,-74.4568,-137.432,-1810.04,OK,-16.2854,-112.609,-1825.12,,140331682,Port:2,0,1769564461,368785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331682,Port:3,0,1769564461,368785098,Enabled,0.919728,-0.00480502,0.0385136,0.390633,-30.736,104.283,-1686.71,0.113833,3,OK,-30.6016,104.348,-1686.72,OK,-70.4605,72.1643,-1682.78,OK,-76.2,148.188,-1685.36,,140331682,Port:65535,0,1769564461,368785098,Missing,,,,,,,,,1,OK,42.4008,375.506,-2012.04
4,,140331691,Port:1,0,1769564461,518785098,Enabled,0.666324,0.416463,-0.515755,0.34142,-38.984,-57.5919,-1820.99,0.354247,4,OK,-38.7737,-57.7458,-1820.72,OK,-80.8106,-82.9192,-1810.57,OK,-74.4613,-137.431,-1810.05,OK,-16.2626,-112.618,-1825.27,,140331691,Port:2,0,1769564461,518785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331691,Port:3,0,1769564461,518785098,Enabled,0.919723,-0.0048441,0.0387516,0.390621,-30.7327,104.278,-1686.71,0.118705,3,OK,-30.5925,104.345,-1686.73,OK,-70.4602,72.156,-1682.76,OK,-76.1974,148.188,-1685.36,,140331691,Port:65535,0,1769564461,518785098,Missing,,,,,,,,,1,OK,42.4135,375.507,-2012.04
4,,140331697,Port:1,0,1769564461,618785098,Enabled,0.666265,0.416432,-0.515858,0.341417,-38.9865,-57.5972,-1820.97,0.368832,4,OK,-38.777,-57.7476,-1820.68,OK,-80.8125,-82.9241,-1810.59,OK,-74.468,-137.433,-1810.04,OK,-16.2777,-112.627,-1825.26,,140331697,Port:2,0,1769564461,618785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331697,Port:3,0,1769564461,618785098,Enabled,0.919713,-0.00494466,0.0390926,0.39061,-30.7354,104.279,-1686.73,0.115918,3,OK,-30.6014,104.348,-1686.74,OK,-70.4585,72.1577,-1682.74,OK,-76.195,148.189,-1685.37,,140331697,Port:65535,0,1769564461,618785098,Missing,,,,,,,,,1,OK,42.4175,375.494,-2011.97
4,,140331703,Port:1,0,1769564461,718785097,Enabled,0.666173,0.416279,-0.515955,0.341637,-38.9968,-57.5931,-1821,0.368996,4,OK,-38.7793,-57.7469,-1820.72,OK,-80.8275,-82.9221,-1810.63,OK,-74.4673,-137.431,-1810.07,OK,-16.2919,-112.616,-1825.26,,140331703,Port:2,0,1769564461,718785097,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331703,Port:3,0,1769564461,718785097,Enabled,0.919738,-0.00507357,0.0383029,0.390626,-30.7328,104.28,-1686.67,0.11452,3,OK,-30.599,104.348,-1686.68,OK,-70.4605,72.1621,-1682.75,OK,-76.1961,148.185,-1685.36,,140331703,Port:65535,0,1769564461,718785097,Missing,,,,,,,,,1,OK,42.3951,375.499,-2012.06
4,,140331709,Port:1,0,1769564461,818785098,Enabled,0.666132,0.415928,-0.516038,0.34202,-38.9901,-57.5972,-1821.01,0.360214,4,OK,-38.7779,-57.7484,-1820.74,OK,-80.8184,-82.9216,-1810.64,OK,-74.474,-137.438,-1810.05,OK,-16.2645,-112.617,-1825.21,,140331709,Port:2,0,1769564461,818785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140331709,Port:3,0,1769564461,818785098,Enabled,0.919718,-0.0049944,0.0390787,0.390599,-30.7355,104.277,-1686.75,0.11815,3,OK,-30.5957,104.343,-1686.76,OK,-70.4615,72.1593,-1682.76,OK,-76.1982,148.188,-1685.4,,140331709,Port:65535,0,1769564461,818785098,Missing,,,,,,,,,1,OK,42.3904,375.484,-2011.98
