ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,301966,Port:10,0,0,0,Enabled,0.571909,0.540056,-0.300752,-0.539266,-77.1514,26.7236,-132.912,0.0734891,0
1,,302006,Port:10,0,0,0,Enabled,0.571368,0.54051,-0.300301,-0.539637,-77.2021,26.8229,-133.271,0.070968,0
1,,302038,Port:10,0,0,0,Enabled,0.570881,0.540366,-0.299322,-0.540839,-77.1158,26.9415,-133.544,0.0827549,0
1,,302070,Port:10,0,0,0,Enabled,0.571083,0.540051,-0.29924,-0.540985,-77.0967,26.921,-133.432,0.0870991,0
1,,302110,Port:10,0,0,0,Enabled,0.57161,0.539602,-0.29969,-0.540628,-77.0525,26.9275,-133.012,0.0709111,0
1,,302142,Port:10,0,0,0,Enabled,0.571917,0.539483,-0.300142,-0.540172,-77.1779,27.0068,-133.023,0.071563,0
1,,302174,Port:10,0,0,0,Enabled,0.572357,0.539033,-0.30087,-0.539749,-77.2642,27.2224,-133.264,0.0942418,0
1,,302214,Port:10,0,0,0,Enabled,0.57644,0.529054,-0.302672,-0.544251,-75.467,29.0882,-129.647,0.0477385,0
1,,302246,Port:10,0,0,0,Enabled,0.580091,0.517923,-0.302917,-0.5509,-73.9523,31.5748,-126.255,0.0455045,0
1,,302278,Port:10,0,0,0,Enabled,0.58129,0.514653,-0.302557,-0.552897,-73.2027,32.6001,-124.988,0.0442253,0
1,,302318,Port:10,0,0,0,Enabled,0.583558,0.511248,-0.301467,-0.55426,-71.6364,33.277,-124.104,0.0447416,0
1,,302358,Port:10,0,0,0,Enabled,0.584271,0.499722,-0.305034,-0.562015,-70.8083,36.7631,-120.813,0.0626587,0
1,,302390,Port:10,0,0,0,Enabled,0.586052,0.484377,-0.309573,-0.57104,-69.1827,41.2143,-116.502,0.0807439,0
1,,302422,Port:10,0,0,0,Enabled,0.588107,0.473896,-0.309239,-0.577863,-67.1895,43.9598,-112.937,0.0916202,0
1,,302462,Port:10,0,0,0,Enabled,0.595397,0.458528,-0.309283,-0.582751,-63.8887,46.2702,-109.892,0.0945925,0
1,,302494,Port:10,0,0,0,Enabled,0.602263,0.424115,-0.300742,-0.605772,-56.9875,51.7122,-102.84,0.0856322,0
