ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,11942,Port:10,0,0,0,Enabled,0.652218,0.509715,-0.274675,-0.48924,-66.6705,25.3534,-170.704,0.139375,0
1,,11950,Port:10,0,0,0,Enabled,0.65198,0.509845,-0.274312,-0.489626,-66.6845,25.4596,-170.679,0.128553,0
1,,11966,Port:10,0,0,0,Enabled,0.6517,0.509795,-0.274363,-0.490022,-66.7784,25.6297,-170.573,0.127752,0
1,,11982,Port:10,0,0,0,Enabled,0.652235,0.509123,-0.276742,-0.488669,-66.9154,25.8918,-170.563,0.136556,0
1,,11990,Port:10,0,0,0,Enabled,0.652181,0.508959,-0.277408,-0.488535,-67.0501,26.0497,-170.526,0.149874,0
1,,12014,Port:10,0,0,0,Enabled,0.649814,0.50764,-0.28443,-0.489022,-69.1095,27.8581,-170.232,0.117889,0
1,,12030,Port:10,0,0,0,Enabled,0.65141,0.505908,-0.294224,-0.482859,-70.7058,29.3011,-170.326,0.127243,0
1,,12046,Port:10,0,0,0,Enabled,0.648658,0.504458,-0.304591,-0.481654,-72.5354,31.398,-170.665,0.134971,0
1,,12062,Port:10,0,0,0,Enabled,0.65945,0.498629,-0.314028,-0.466778,-74.6066,32.2925,-170.113,0.151697,0
1,,12078,Port:10,0,0,0,Enabled,0.669141,0.50004,-0.290372,-0.466791,-75.1328,30.0076,-167.008,0.148634,0
1,,12094,Port:10,0,0,0,Enabled,0.652906,0.522949,-0.221753,-0.501063,-72.9531,24.1995,-162.14,0.112608,0
1,,12110,Port:10,0,0,0,Enabled,0.642212,0.532647,-0.144382,-0.531982,-68.6299,18.9594,-159.922,0.0736256,0
1,,12126,Port:10,0,0,0,Enabled,0.661167,0.522069,-0.129849,-0.522916,-66.5334,15.8565,-158.13,0.0848829,0
1,,12142,Port:10,0,0,0,Enabled,0.685253,0.518828,-0.1367,-0.492504,-64.8917,13.6645,-158.523,0.0987537,0
1,,12158,Port:10,0,0,0,Enabled,0.689386,0.519965,-0.13706,-0.485384,-64.2317,12.0905,-158.971,0.111948,0
1,,12174,Port:10,0,0,0,Enabled,0.676027,0.539376,-0.151734,-0.478579,-66.9135,11.1394,-161.248,0.125493,0
1,,12190,Port:10,0,0,0,Enabled,0.615853,0.578536,-0.150275,-0.513262,-71.7662,12.5723,-165.255,0.0352059,0
1,,12206,Port:10,0,0,0,Enabled,0.587771,0.580815,-0.14345,-0.544611,-74.0384,15.7424,-165.645,0.0426314,0
1,,12222,Port:10,0,0,0,Enabled,0.606781,0.554256,-0.162242,-0.546163,-73.8668,19.3618,-162.991,0.0483781,0
1,,12238,Port:10,0,0,0,Enabled,0.626638,0.523816,-0.176112,-0.549478,-72.2588,23.556,-159.478,0.0760751,0
1,,12254,Port:10,0,0,0,Enabled,0.630988,0.502665,-0.177618,-0.56359,-70.5793,26.9405,-155.645,0.0887136,0
1,,12270,Port:10,0,0,0,Enabled,0.631564,0.487483,-0.180734,-0.575172,-69.6058,29.9445,-153.195,0.103872,0
1,,12278,Port:10,0,0,0,Enabled,0.631577,0.481053,-0.182467,-0.580005,-69.221,30.9243,-152.277,0.0976165,0
1,,12302,Port:10,0,0,0,Enabled,0.630232,0.468739,-0.176414,-0.59327,-66.7706,31.931,-150.14,0.0976555,0
1,,12310,Port:10,0,0,0,Enabled,0.630644,0.463251,-0.171715,-0.598498,-65.0069,32.0204,-149.187,0.0891594,0
1,,12334,Port:10,0,0,0,Enabled,0.632116,0.439282,-0.154073,-0.619453,-56.8673,33.3837,-145.076,0.0875835,0
1,,12350,Port:10,0,0,0,Enabled,0.635413,0.418331,-0.140741,-0.633594,-50.0564,35.2138,-141.288,0.0828097,0
1,,12358,Port:10,0,0,0,Enabled,0.641863,0.408082,-0.133612,-0.635318,-46.374,35.7717,-139.503,0.0826813,0
1,,12382,Port:10,0,0,0,Enabled,0.659508,0.386209,-0.119962,-0.633642,-36.8314,36.5704,-135.667,0.0870498,0
1,,12406,Port:10,0,0,0,Enabled,0.659801,0.366835,-0.124708,-0.643851,-30.9153,40.9276,-133.018,0.0880454,0
1,,12422,Port:10,0,0,0,Enabled,0.659563,0.355131,-0.131586,-0.649264,-28.3871,45.0302,-131.273,0.100543,0
1,,12430,Port:10,0,0,0,Enabled,0.658945,0.348771,-0.133969,-0.652843,-27.0752,47.1664,-130.125,0.104596,0
1,,12446,Port:10,0,0,0,Enabled,0.657542,0.33474,-0.137627,-0.660792,-24.563,51.5867,-127.532,0.131855,0
1,,12462,Port:10,0,0,0,Enabled,0.658884,0.321094,-0.144456,-0.664758,-23.1262,55.9898,-125.534,0.16968,0
1,,12478,Port:10,0,0,0,Enabled,0.656251,0.310421,-0.156994,-0.669572,-23.9063,60.106,-124.669,0.185056,0
1,,12494,Port:10,0,0,0,Enabled,0.647252,0.317074,-0.167378,-0.672691,-26.9563,62.0468,-125.52,0.15661,0
1,,12510,Port:10,0,0,0,Enabled,0.640531,0.330059,-0.17994,-0.669629,-31.2548,62.31,-127.75,0.131263,0
1,,12518,Port:10,0,0,0,Enabled,0.638138,0.336119,-0.18717,-0.666912,-33.606,62.1535,-129.08,0.122075,0
1,,12542,Port:10,0,0,0,Enabled,0.631031,0.354645,-0.210502,-0.65705,-40.5337,61.9538,-133.685,0.106812,0
1,,12558,Port:10,0,0,0,Enabled,0.625686,0.370501,-0.227889,-0.647543,-45.3393,61.6849,-137.634,0.100257,0
1,,12574,Port:10,0,0,0,Enabled,0.62095,0.387053,-0.246339,-0.635553,-49.8216,61.2033,-142.008,0.0995074,0
1,,12590,Port:10,0,0,0,Enabled,0.615219,0.405128,-0.261432,-0.623724,-53.5054,60.3563,-146.468,0.102353,0
1,,12598,Port:10,0,0,0,Enabled,0.61155,0.413705,-0.267294,-0.619201,-55.1596,59.7388,-148.463,0.100187,0
1,,12622,Port:10,0,0,0,Enabled,0.605056,0.436601,-0.279645,-0.604223,-58.9713,57.3566,-153.963,0.1111,0
1,,12638,Port:10,0,0,0,Enabled,0.603118,0.448898,-0.283777,-0.595156,-60.9829,55.5381,-156.789,0.116488,0
1,,12654,Port:10,0,0,0,Enabled,0.601441,0.457361,-0.287885,-0.588399,-62.5182,54.1944,-159.135,0.121191,0
1,,12670,Port:10,0,0,0,Enabled,0.598289,0.461603,-0.290237,-0.587142,-63.9796,53.3891,-160.6,0.121837,0
1,,12694,Port:10,0,0,0,Enabled,0.593579,0.467317,-0.299231,-0.582872,-66.7844,52.8335,-163.264,0.123436,0
1,,12702,Port:10,0,0,0,Enabled,0.591067,0.469684,-0.303216,-0.581461,-67.9014,52.7845,-164.294,0.12867,0
1,,12726,Port:10,0,0,0,Enabled,0.579886,0.47949,-0.315868,-0.57797,-72.2175,52.1115,-168.444,0.124009,0
1,,12734,Port:10,0,0,0,Enabled,0.574808,0.484645,-0.319801,-0.576578,-73.8729,51.7244,-170.306,0.142932,0
