ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,365986159,Port:1,0,1773325369,318826766,,Enabled,0.382042,0.449391,-0.796676,0.131908,-95.5408,124.972,-1696.62,0.171547,4,OK,-95.4963,124.863,-1696.58,OK,-139.099,118.327,-1720.58,OK,-138.546,76.3109,-1755.68,OK,-79.2425,77.749,-1729.83,,365986159,Port:2,0,1773325369,318826766,Enabled,0.930104,0.031022,0.0358764,0.364221,-87.5202,271.261,-1592.35,0.14234,3,OK,-87.3483,271.329,-1592.36,OK,-129.042,241.313,-1589.57,OK,-130.236,317.583,-1587.05,,365986159,Port:3,0,1773325369,318826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986159,Port:65535,0,1773325369,318826766,Missing,,,,,,,,,0
4,,365986165,Port:1,0,1773325369,418826766,100000000,Enabled,0.383508,0.44867,-0.79625,0.132675,-95.0259,125.71,-1697.29,0.191101,4,OK,-94.9955,125.607,-1697.23,OK,-138.62,119.024,-1721.17,OK,-138.141,76.8757,-1756.09,OK,-78.8331,78.3628,-1730.41,,365986165,Port:2,0,1773325369,418826766,Enabled,0.9301,0.0310752,0.0359319,0.36422,-87.5208,271.26,-1592.34,0.145645,3,OK,-87.3455,271.331,-1592.36,OK,-129.046,241.31,-1589.56,OK,-130.235,317.582,-1587.03,,365986165,Port:3,0,1773325369,418826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986165,Port:65535,0,1773325369,418826766,Missing,,,,,,,,,0
4,,365986168,Port:1,0,1773325369,468826766,50000000,Enabled,0.383335,0.446134,-0.797801,0.132406,-94.1212,126.575,-1697.71,0.175341,4,OK,-94.077,126.461,-1697.68,OK,-137.711,120.098,-1721.65,OK,-137.411,77.9334,-1756.57,OK,-78.1266,79.123,-1730.72,,365986168,Port:2,0,1773325369,468826766,Enabled,0.930119,0.0309925,0.0355645,0.364217,-87.5218,271.257,-1592.33,0.142529,3,OK,-87.3493,271.324,-1592.34,OK,-129.045,241.309,-1589.58,OK,-130.24,317.584,-1587.04,,365986168,Port:3,0,1773325369,468826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986168,Port:65535,0,1773325369,468826766,Missing,,,,,,,,,0
4,,365986174,Port:1,0,1773325369,568826766,100000000,Enabled,0.385422,0.442783,-0.798085,0.135845,-93.2553,129.684,-1700.18,0.223048,4,OK,-93.2055,129.582,-1700.07,OK,-136.856,123.124,-1724.16,OK,-136.664,80.616,-1758.53,OK,-77.4021,81.8441,-1732.76,,365986174,Port:2,0,1773325369,568826766,Enabled,0.930121,0.030817,0.0356147,0.364221,-87.5197,271.261,-1592.32,0.148001,3,OK,-87.3425,271.332,-1592.34,OK,-129.048,241.307,-1589.57,OK,-130.238,317.59,-1587.06,,365986174,Port:3,0,1773325369,568826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986174,Port:65535,0,1773325369,568826766,Missing,,,,,,,,,0
4,,365986180,Port:1,0,1773325369,668826766,100000000,Enabled,0.387912,0.435199,-0.800531,0.138842,-91.6481,134.625,-1703.32,0.175338,4,OK,-91.6092,134.519,-1703.27,OK,-135.257,128.325,-1727.27,OK,-135.528,85.4003,-1761.24,OK,-76.316,86.1974,-1735.23,,365986180,Port:2,0,1773325369,668826766,Enabled,0.930134,0.0310184,0.035463,0.364185,-87.5171,271.258,-1592.3,0.143344,3,OK,-87.3437,271.326,-1592.32,OK,-129.045,241.314,-1589.57,OK,-130.232,317.583,-1587.02,,365986180,Port:3,0,1773325369,668826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986180,Port:65535,0,1773325369,668826766,Missing,,,,,,,,,0
4,,365986183,Port:1,0,1773325369,718826766,50000000,Enabled,0.386494,0.430348,-0.803611,0.140115,-90.9828,137.092,-1705.27,0.194415,4,OK,-90.9619,136.977,-1705.22,OK,-134.468,131.11,-1729.51,OK,-134.874,88.048,-1763.3,OK,-75.8781,88.4064,-1736.91,,365986183,Port:2,0,1773325369,718826766,Enabled,0.930115,0.0311168,0.0356453,0.364208,-87.5212,271.261,-1592.34,0.141618,3,OK,-87.3518,271.331,-1592.35,OK,-129.046,241.314,-1589.59,OK,-130.234,317.58,-1587.04,,365986183,Port:3,0,1773325369,718826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986183,Port:65535,0,1773325369,718826766,Missing,,,,,,,,,0
4,,365986186,Port:1,0,1773325369,768826766,50000000,Enabled,0.38862,0.426005,-0.804625,0.141682,-89.3774,139.625,-1706.7,0.178976,4,OK,-89.3267,139.541,-1706.61,OK,-132.904,133.768,-1730.92,OK,-133.672,90.4473,-1764.4,OK,-74.618,90.6039,-1737.98,,365986186,Port:2,0,1773325369,768826766,Enabled,0.930121,0.0307344,0.0359061,0.364198,-87.5183,271.256,-1592.32,0.143968,3,OK,-87.3451,271.325,-1592.34,OK,-129.043,241.308,-1589.54,OK,-130.233,317.584,-1587.05,,365986186,Port:3,0,1773325369,768826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986186,Port:65535,0,1773325369,768826766,Missing,,,,,,,,,0
4,,365986189,Port:1,0,1773325369,818826766,50000000,Enabled,0.39333,0.417993,-0.806803,0.14015,-86.7081,143.106,-1708.63,0.126372,4,OK,-86.6655,143.029,-1708.61,OK,-130.441,137.838,-1732.49,OK,-132.123,94.281,-1765.83,OK,-72.9631,93.6096,-1739.58,,365986189,Port:2,0,1773325369,818826766,Enabled,0.930123,0.0311542,0.035248,0.364222,-87.5176,271.265,-1592.32,0.142329,3,OK,-87.3443,271.33,-1592.34,OK,-129.044,241.319,-1589.61,OK,-130.238,317.587,-1587.04,,365986189,Port:3,0,1773325369,818826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986189,Port:65535,0,1773325369,818826766,Missing,,,,,,,,,0
4,,365986195,Port:1,0,1773325369,918826766,100000000,Enabled,0.390611,0.398494,-0.8153,0.154638,-86.6615,151.155,-1716.01,0.164865,4,OK,-86.6473,151.034,-1716.02,OK,-129.834,146.186,-1740.98,OK,-131.716,101.635,-1772.77,OK,-73.3808,100.292,-1744.87,,365986195,Port:2,0,1773325369,918826766,Enabled,0.930099,0.0311608,0.0357216,0.364237,-87.5201,271.266,-1592.35,0.143905,3,OK,-87.3453,271.334,-1592.36,OK,-129.044,241.318,-1589.59,OK,-130.238,317.584,-1587.03,,365986195,Port:3,0,1773325369,918826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986195,Port:65535,0,1773325369,918826766,Missing,,,,,,,,,0
4,,365986198,Port:1,0,1773325369,968826766,50000000,Enabled,0.398894,0.394441,-0.811944,0.16139,-86.8118,155.012,-1719.16,0.154235,4,OK,-86.7753,154.893,-1719.16,OK,-130.238,149.55,-1743.6,OK,-132.48,104.324,-1774.41,OK,-73.8521,103.523,-1747,,365986198,Port:2,0,1773325369,968826766,Enabled,0.930116,0.0311482,0.0357027,0.364198,-87.5202,271.261,-1592.33,0.141003,3,OK,-87.35,271.328,-1592.35,OK,-129.043,241.315,-1589.58,OK,-130.233,317.585,-1587.02,,365986198,Port:3,0,1773325369,968826766,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365986198,Port:65535,0,1773325369,968826766,Missing,,,,,,,,,0
