ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,
4,,365942425,Port:1,0,1773324640,418826765,,Enabled,0.494404,0.448045,-0.740197,0.0832357,-101.913,115.884,-1724.84,0.157072,4,OK,-101.804,115.81,-1724.79,OK,-150.384,109.393,-1736.22,OK,-159.67,66.0873,-1768.49,OK,-95.4617,67.0849,-1759.19,,365942425,Port:2,0,1773324640,418826765,Enabled,0.930168,0.0308496,0.0351194,0.364146,-87.4884,271.277,-1592.29,0.141895,3,OK,-87.3179,271.345,-1592.31,OK,-129.02,241.334,-1589.59,OK,-130.202,317.611,-1587.05,,365942425,Port:3,0,1773324640,418826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942425,Port:65535,0,1773324640,418826765,Missing,,,,,,,,,3,OK,-40.9376,206.209,-2041.46,OK,-43.4728,201.772,-2245.75,OK,-63.8319,219.272,-2295.18,,,,,,,,,,,,,,,,,,,,
4,,365942428,Port:1,0,1773324640,468826765,50000000,Enabled,0.494002,0.448138,-0.740439,0.0829708,-101.755,115.797,-1724.8,0.163649,4,OK,-101.646,115.732,-1724.71,OK,-150.218,109.339,-1736.22,OK,-159.504,66.0422,-1768.51,OK,-95.2997,67.0208,-1759.2,,365942428,Port:2,0,1773324640,468826765,Enabled,0.930121,0.0309808,0.0357557,0.364194,-87.4896,271.281,-1592.33,0.143405,3,OK,-87.3187,271.351,-1592.34,OK,-129.015,241.33,-1589.56,OK,-130.202,317.608,-1587.04,,365942428,Port:3,0,1773324640,468826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942428,Port:65535,0,1773324640,468826765,Missing,,,,,,,,,3,OK,-40.9312,206.212,-2041.62,OK,-43.4713,201.775,-2245.93,OK,-63.8457,219.274,-2295.2,,,,,,,,,,,,,,,,,,,,
4,,365942431,Port:1,0,1773324640,518826765,50000000,Enabled,0.49413,0.447662,-0.740708,0.0823769,-101.412,115.821,-1724.75,0.169071,4,OK,-101.322,115.734,-1724.69,OK,-149.897,109.446,-1736.16,OK,-159.234,66.1897,-1768.44,OK,-95.0394,67.045,-1759.18,,365942431,Port:2,0,1773324640,518826765,Enabled,0.930155,0.0309272,0.0353215,0.364152,-87.4863,271.278,-1592.3,0.142731,3,OK,-87.313,271.345,-1592.31,OK,-129.017,241.339,-1589.58,OK,-130.199,317.606,-1587.03,,365942431,Port:3,0,1773324640,518826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942431,Port:65535,0,1773324640,518826765,Missing,,,,,,,,,3,OK,-40.943,206.217,-2041.53,OK,-43.4713,201.779,-2245.87,OK,-63.8382,219.272,-2295.1,,,,,,,,,,,,,,,,,,,,
4,,365942434,Port:1,0,1773324640,568826765,50000000,Enabled,0.493657,0.445751,-0.742271,0.0814987,-101.022,116.018,-1724.76,0.169096,4,OK,-100.918,115.938,-1724.68,OK,-149.509,109.871,-1736.26,OK,-159.036,66.6788,-1768.55,OK,-94.8349,67.228,-1759.17,,365942434,Port:2,0,1773324640,568826765,Enabled,0.930135,0.0308506,0.0354993,0.364194,-87.4854,271.279,-1592.32,0.14536,3,OK,-87.3101,271.349,-1592.33,OK,-129.015,241.333,-1589.58,OK,-130.202,317.606,-1587.05,,365942434,Port:3,0,1773324640,568826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942434,Port:65535,0,1773324640,568826765,Missing,,,,,,,,,3,OK,-40.9473,206.187,-2041.45,OK,-43.4735,201.749,-2245.72,OK,-63.833,219.262,-2295.13,,,,,,,,,,,,,,,,,,,,
4,,365942437,Port:1,0,1773324640,618826765,50000000,Enabled,0.493408,0.446235,-0.741961,0.0831694,-101.425,116.173,-1724.99,0.164689,4,OK,-101.304,116.081,-1724.93,OK,-149.886,109.865,-1736.54,OK,-159.256,66.5999,-1768.8,OK,-95.05,67.3564,-1759.27,,365942437,Port:2,0,1773324640,618826765,Enabled,0.930115,0.0312539,0.0356414,0.364195,-87.4875,271.277,-1592.33,0.143338,3,OK,-87.3148,271.348,-1592.34,OK,-129.015,241.333,-1589.58,OK,-130.199,317.595,-1587.01,,365942437,Port:3,0,1773324640,618826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942437,Port:65535,0,1773324640,618826765,Missing,,,,,,,,,3,OK,-40.933,206.208,-2041.47,OK,-43.4661,201.77,-2245.82,OK,-63.8354,219.271,-2295.13,,,,,,,,,,,,,,,,,,,,
4,,365942440,Port:1,0,1773324640,668826765,50000000,Enabled,0.490995,0.447332,-0.742992,0.0823492,-101.936,116.09,-1724.87,0.160721,4,OK,-101.819,116.013,-1724.8,OK,-150.344,109.824,-1736.63,OK,-159.587,66.6957,-1769.12,OK,-95.4285,67.4222,-1759.37,,365942440,Port:2,0,1773324640,668826765,Enabled,0.930117,0.0310365,0.0358045,0.364193,-87.4911,271.286,-1592.34,0.144353,3,OK,-87.3173,271.355,-1592.36,OK,-129.017,241.338,-1589.58,OK,-130.204,317.613,-1587.04,,365942440,Port:3,0,1773324640,668826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942440,Port:65535,0,1773324640,668826765,Missing,,,,,,,,,3,OK,-40.9273,206.208,-2041.51,OK,-43.4723,201.772,-2245.78,OK,-63.8225,219.263,-2295.12,,,,,,,,,,,,,,,,,,,,
4,,365942443,Port:1,0,1773324640,718826765,50000000,Enabled,0.491766,0.44965,-0.740905,0.0839091,-102.713,116.216,-1725.01,0.145881,4,OK,-102.59,116.137,-1724.97,OK,-151.096,109.605,-1736.63,OK,-160.135,66.3867,-1769.11,OK,-95.9551,67.5678,-1759.44,,365942443,Port:2,0,1773324640,718826765,Enabled,0.930149,0.0307007,0.0356092,0.364159,-87.493,271.278,-1592.31,0.142948,3,OK,-87.321,271.347,-1592.32,OK,-129.021,241.335,-1589.55,OK,-130.205,317.61,-1587.05,,365942443,Port:3,0,1773324640,718826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942443,Port:65535,0,1773324640,718826765,Missing,,,,,,,,,3,OK,-40.9468,206.205,-2041.39,OK,-43.476,201.765,-2245.8,OK,-63.8342,219.273,-2295.15,,,,,,,,,,,,,,,,,,,,
4,,365942446,Port:1,0,1773324640,768826765,50000000,Enabled,0.493839,0.454587,-0.735981,0.088349,-103.965,116.565,-1725.48,0.138805,4,OK,-103.851,116.492,-1725.44,OK,-152.288,109.147,-1736.83,OK,-160.801,65.6401,-1769.08,OK,-96.5995,67.8677,-1759.73,,365942446,Port:2,0,1773324640,768826765,Enabled,0.930158,0.030976,0.0352533,0.364148,-87.4829,271.278,-1592.29,0.146301,3,OK,-87.3054,271.348,-1592.31,OK,-129.018,241.338,-1589.58,OK,-130.196,317.607,-1587.03,,365942446,Port:3,0,1773324640,768826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942446,Port:65535,0,1773324640,768826765,Missing,,,,,,,,,3,OK,-40.9259,206.197,-2041.38,OK,-43.4619,201.757,-2245.75,OK,-63.8436,219.267,-2295.18,,,,,,,,,,,,,,,,,,,,
4,,365942449,Port:1,0,1773324640,818826765,50000000,Enabled,0.492996,0.459188,-0.733254,0.0918765,-104.8,117.107,-1725.86,0.177007,4,OK,-104.687,117.016,-1725.78,OK,-153.025,109.062,-1737.32,OK,-160.925,65.452,-1769.44,OK,-96.7688,68.5038,-1760.12,,365942449,Port:2,0,1773324640,818826765,Enabled,0.930105,0.0311072,0.0357567,0.364222,-87.4829,271.277,-1592.32,0.148121,3,OK,-87.3048,271.35,-1592.33,OK,-129.012,241.327,-1589.55,OK,-130.198,317.596,-1587.01,,365942449,Port:3,0,1773324640,818826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942449,Port:65535,0,1773324640,818826765,Missing,,,,,,,,,3,OK,-40.9258,206.211,-2041.45,OK,-43.46,201.773,-2245.75,OK,-63.8331,219.268,-2295.15,,,,,,,,,,,,,,,,,,,,
4,,365942452,Port:1,0,1773324640,868826765,50000000,Enabled,0.491933,0.465549,-0.729893,0.0923204,-104.816,117.818,-1726.14,0.158241,4,OK,-104.695,117.754,-1726.06,OK,-152.951,109.224,-1737.51,OK,-160.376,65.6718,-1769.93,OK,-96.2534,69.5168,-1760.71,,365942452,Port:2,0,1773324640,868826765,Enabled,0.93012,0.0308877,0.0359729,0.364183,-87.4907,271.277,-1592.34,0.145305,3,OK,-87.3149,271.345,-1592.35,OK,-129.017,241.33,-1589.55,OK,-130.204,317.606,-1587.05,,365942452,Port:3,0,1773324640,868826765,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365942452,Port:65535,0,1773324640,868826765,Missing,,,,,,,,,3,OK,-40.947,206.205,-2041.43,OK,-43.4737,201.767,-2245.72,OK,-63.8611,219.278,-2295.29,,,,,,,,,,,,,,,,,,,,
