ToolCount,ToolInfo,Frame#,,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,365853208,,Port:1,0,1773323153,468828402,,Enabled,0.589708,0.422618,-0.63298,0.270138,-82.0552,150.87,-1696.76,0.219211,4,OK,-81.8839,150.736,-1696.92,OK,-127.861,130.459,-1698.67,OK,-127.66,77.0194,-1710.79,OK,-65.2102,95.025,-1709.98,,365853208,Port:2,0,1773323153,468828402,Enabled,0.930142,0.0308933,0.0352613,0.364195,-87.4022,271.252,-1592.35,0.140207,3,OK,-87.2302,271.315,-1592.36,OK,-128.928,241.312,-1589.63,OK,-130.122,317.579,-1587.09,,365853208,Port:3,0,1773323153,468828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853208,Port:65535,0,1773323153,468828402,Missing,,,,,,,,,0
4,,365853211,3,Port:1,0,1773323153,518828402,50000000,Enabled,0.5898,0.422409,-0.633036,0.270134,-82.0085,150.949,-1696.89,0.218026,4,OK,-81.851,150.817,-1697.07,OK,-127.819,130.567,-1698.79,OK,-127.634,77.1086,-1710.92,OK,-65.178,95.079,-1710.09,,365853211,Port:2,0,1773323153,518828402,Enabled,0.930172,0.0308535,0.0348907,0.364158,-87.4066,271.244,-1592.34,0.141475,3,OK,-87.2314,271.306,-1592.35,OK,-128.939,241.311,-1589.65,OK,-130.127,317.571,-1587.1,,365853211,Port:3,0,1773323153,518828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853211,Port:65535,0,1773323153,518828402,Missing,,,,,,,,,0
4,,365853214,3,Port:1,0,1773323153,568828402,50000000,Enabled,0.589333,0.423235,-0.633065,0.269791,-81.9652,150.911,-1696.88,0.224876,4,OK,-81.7973,150.78,-1697.06,OK,-127.761,130.485,-1698.8,OK,-127.53,77.0554,-1711.04,OK,-65.0937,95.0876,-1710.17,,365853214,Port:2,0,1773323153,568828402,Enabled,0.930186,0.0307423,0.0346635,0.364153,-87.4053,271.245,-1592.29,0.139263,3,OK,-87.2345,271.309,-1592.3,OK,-128.938,241.313,-1589.62,OK,-130.124,317.574,-1587.07,,365853214,Port:3,0,1773323153,568828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853214,Port:65535,0,1773323153,568828402,Missing,,,,,,,,,0
4,,365853217,3,Port:1,0,1773323153,618828402,50000000,Enabled,0.590069,0.42235,-0.63289,0.269979,-81.8011,151.081,-1697.07,0.216199,4,OK,-81.6354,150.942,-1697.23,OK,-127.63,130.71,-1698.95,OK,-127.453,77.2542,-1711.04,OK,-64.994,95.2099,-1710.27,,365853217,Port:2,0,1773323153,618828402,Enabled,0.930146,0.0307224,0.0355752,0.364169,-87.4066,271.247,-1592.34,0.143087,3,OK,-87.2339,271.314,-1592.36,OK,-128.934,241.303,-1589.59,OK,-130.121,317.579,-1587.09,,365853217,Port:3,0,1773323153,618828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853217,Port:65535,0,1773323153,618828402,Missing,,,,,,,,,0
4,,365853220,3,Port:1,0,1773323153,668828402,50000000,Enabled,0.588953,0.422709,-0.633779,0.269771,-81.7397,151.061,-1697,0.211723,4,OK,-81.5746,150.934,-1697.16,OK,-127.545,130.692,-1699.01,OK,-127.363,77.2451,-1711.23,OK,-64.9128,95.2205,-1710.28,,365853220,Port:2,0,1773323153,668828402,Enabled,0.93017,0.030756,0.0352076,0.36414,-87.409,271.246,-1592.33,0.140736,3,OK,-87.2397,271.314,-1592.34,OK,-128.94,241.307,-1589.61,OK,-130.121,317.579,-1587.09,,365853220,Port:3,0,1773323153,668828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853220,Port:65535,0,1773323153,668828402,Missing,,,,,,,,,0
4,,365853223,3,Port:1,0,1773323153,718828402,50000000,Enabled,0.589632,0.42189,-0.633753,0.269631,-81.4857,151.302,-1697.12,0.225571,4,OK,-81.3179,151.184,-1697.3,OK,-127.329,130.996,-1699.05,OK,-127.239,77.539,-1711.24,OK,-64.7429,95.4127,-1710.32,,365853223,Port:2,0,1773323153,718828402,Enabled,0.930152,0.0306809,0.0352708,0.364186,-87.4079,271.253,-1592.34,0.144486,3,OK,-87.2339,271.321,-1592.35,OK,-128.938,241.306,-1589.62,OK,-130.126,317.585,-1587.11,,365853223,Port:3,0,1773323153,718828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853223,Port:65535,0,1773323153,718828402,Missing,,,,,,,,,0
4,,365853226,3,Port:1,0,1773323153,768828402,50000000,Enabled,0.589933,0.420879,-0.634215,0.269464,-81.153,151.672,-1697.36,0.217121,4,OK,-80.9742,151.532,-1697.51,OK,-127.049,131.454,-1699.35,OK,-127.041,77.9973,-1711.4,OK,-64.5209,95.7525,-1710.52,,365853226,Port:2,0,1773323153,768828402,Enabled,0.930136,0.0308178,0.0355704,0.364186,-87.4103,271.254,-1592.36,0.142724,3,OK,-87.2389,271.324,-1592.37,OK,-128.938,241.31,-1589.61,OK,-130.124,317.579,-1587.09,,365853226,Port:3,0,1773323153,768828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853226,Port:65535,0,1773323153,768828402,Missing,,,,,,,,,0
4,,365853229,3,Port:1,0,1773323153,818828402,50000000,Enabled,0.58916,0.419682,-0.635673,0.269588,-80.8405,152.092,-1697.72,0.215385,4,OK,-80.6711,151.959,-1697.88,OK,-126.764,131.981,-1699.84,OK,-126.842,78.5094,-1711.92,OK,-64.2847,96.1271,-1710.81,,365853229,Port:2,0,1773323153,818828402,Enabled,0.930128,0.0309909,0.0357476,0.364175,-87.4087,271.249,-1592.36,0.141095,3,OK,-87.2385,271.318,-1592.37,OK,-128.934,241.308,-1589.6,OK,-130.119,317.573,-1587.07,,365853229,Port:3,0,1773323153,818828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853229,Port:65535,0,1773323153,818828402,Missing,,,,,,,,,0
4,,365853232,3,Port:1,0,1773323153,868828402,50000000,Enabled,0.590296,0.418275,-0.635485,0.269732,-80.5443,152.54,-1698.12,0.218387,4,OK,-80.3778,152.4,-1698.29,OK,-126.51,132.515,-1700.15,OK,-126.716,79.0154,-1712.08,OK,-64.1062,96.5067,-1711.06,,365853232,Port:2,0,1773323153,868828402,Enabled,0.930151,0.0310806,0.0351328,0.364169,-87.4082,271.25,-1592.34,0.136949,3,OK,-87.2408,271.314,-1592.35,OK,-128.934,241.315,-1589.63,OK,-130.123,317.572,-1587.06,,365853232,Port:3,0,1773323153,868828402,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853232,Port:65535,0,1773323153,868828402,Missing,,,,,,,,,0
4,,365853235,3,Port:1,0,1773323153,918828407,50000005,Enabled,0.590051,0.417161,-0.636142,0.270443,-80.4078,152.992,-1698.54,0.206823,4,OK,-80.2395,152.849,-1698.68,OK,-126.387,133.013,-1700.67,OK,-126.609,79.4891,-1712.46,OK,-64.0119,96.9231,-1711.37,,365853235,Port:2,0,1773323153,918828407,Enabled,0.930158,0.0307952,0.0349512,0.364192,-87.4033,271.252,-1592.34,0.142157,3,OK,-87.2301,271.318,-1592.35,OK,-128.934,241.311,-1589.65,OK,-130.124,317.579,-1587.1,,365853235,Port:3,0,1773323153,918828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853235,Port:65535,0,1773323153,918828407,Missing,,,,,,,,,0
