ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,364689952,Port:1,0,1773303765,868824167,50000000,Enabled,0.560804,0.377005,-0.714122,0.182746,-86.2343,161.442,-1804.35,0.147192,4,OK,-86.1121,161.327,-1804.36,OK,-134.852,151.873,-1812.26,OK,-144.542,101.346,-1831.07,OK,-80.1244,105.122,-1823.81,,364689952,Port:2,0,1773303765,868824167,Enabled,0.916472,0.0221417,0.0385903,0.397617,-107.348,261.608,-1642.26,0.146585,3,OK,-107.179,261.691,-1642.27,OK,-146.59,228.752,-1639.1,OK,-153.339,304.779,-1637.75,,364689952,Port:3,0,1773303765,868824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689952,Port:65535,0,1773303765,868824167,Missing,,,,,,,,,0
4,,364689955,Port:1,0,1773303765,918824167,50000000,Enabled,0.560869,0.376281,-0.714296,0.183357,-86.2406,161.718,-1804.69,0.156963,4,OK,-86.1164,161.597,-1804.68,OK,-134.857,152.15,-1812.65,OK,-144.56,101.614,-1831.33,OK,-80.1417,105.371,-1824.06,,364689955,Port:2,0,1773303765,918824167,Enabled,0.916464,0.0215312,0.0386046,0.397668,-107.35,261.61,-1642.25,0.146695,3,OK,-107.182,261.692,-1642.26,OK,-146.586,228.745,-1639.07,OK,-153.349,304.786,-1637.81,,364689955,Port:3,0,1773303765,918824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689955,Port:65535,0,1773303765,918824167,Missing,,,,,,,,,0
4,,364689958,Port:1,0,1773303765,968824167,50000000,Enabled,0.561176,0.375459,-0.714336,0.183945,-86.0775,161.985,-1804.96,0.165305,4,OK,-85.9531,161.846,-1804.96,OK,-134.711,152.435,-1812.91,OK,-144.422,101.877,-1831.51,OK,-80.0006,105.602,-1824.2,,364689958,Port:2,0,1773303765,968824167,Enabled,0.916487,0.0220328,0.0387731,0.397572,-107.355,261.603,-1642.27,0.143154,3,OK,-107.192,261.685,-1642.28,OK,-146.595,228.748,-1639.1,OK,-153.339,304.781,-1637.77,,364689958,Port:3,0,1773303765,968824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689958,Port:65535,0,1773303765,968824167,Missing,,,,,,,,,0
4,,364689961,Port:1,0,1773303766,18824167,50000000,Enabled,0.561698,0.375152,-0.714277,0.183207,-85.6603,162.155,-1804.93,0.147773,4,OK,-85.5428,162.034,-1804.95,OK,-134.296,152.674,-1812.81,OK,-144.129,102.126,-1831.45,OK,-79.6959,105.761,-1824.19,,364689961,Port:2,0,1773303766,18824167,Enabled,0.916498,0.0218525,0.0383129,0.3976,-107.35,261.606,-1642.23,0.148984,3,OK,-107.175,261.687,-1642.25,OK,-146.598,228.755,-1639.1,OK,-153.345,304.778,-1637.77,,364689961,Port:3,0,1773303766,18824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689961,Port:65535,0,1773303766,18824167,Missing,,,,,,,,,0
4,,364689964,Port:1,0,1773303766,68824167,50000000,Enabled,0.561771,0.374726,-0.714389,0.183415,-85.5207,162.225,-1805.01,0.142912,4,OK,-85.4019,162.115,-1805.03,OK,-134.154,152.758,-1812.88,OK,-144.019,102.203,-1831.51,OK,-79.5739,105.811,-1824.21,,364689964,Port:2,0,1773303766,68824167,Enabled,0.916472,0.0220956,0.0387477,0.397605,-107.351,261.607,-1642.27,0.145691,3,OK,-107.186,261.692,-1642.29,OK,-146.592,228.748,-1639.1,OK,-153.337,304.78,-1637.76,,364689964,Port:3,0,1773303766,68824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689964,Port:65535,0,1773303766,68824167,Missing,,,,,,,,,0
4,,364689967,Port:1,0,1773303766,118824167,50000000,Enabled,0.561905,0.373801,-0.714565,0.184208,-85.4771,162.377,-1805.15,0.152264,4,OK,-85.3521,162.254,-1805.18,OK,-134.12,152.92,-1813.03,OK,-143.994,102.336,-1831.57,OK,-79.5352,105.925,-1824.21,,364689967,Port:2,0,1773303766,118824167,Enabled,0.916478,0.0219335,0.0386046,0.397614,-107.355,261.615,-1642.27,0.147285,3,OK,-107.187,261.699,-1642.29,OK,-146.597,228.756,-1639.11,OK,-153.346,304.791,-1637.79,,364689967,Port:3,0,1773303766,118824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689967,Port:65535,0,1773303766,118824167,Missing,,,,,,,,,0
4,,364689970,Port:1,0,1773303766,168824167,50000000,Enabled,0.5622,0.374201,-0.714456,0.182915,-85.2343,162.605,-1805.34,0.149759,4,OK,-85.1218,162.481,-1805.38,OK,-133.901,153.216,-1813.16,OK,-143.826,102.679,-1831.79,OK,-79.3838,106.173,-1824.53,,364689970,Port:2,0,1773303766,168824167,Enabled,0.916496,0.0220766,0.0384647,0.397579,-107.351,261.606,-1642.27,0.14504,3,OK,-107.185,261.689,-1642.29,OK,-146.595,228.753,-1639.13,OK,-153.337,304.781,-1637.78,,364689970,Port:3,0,1773303766,168824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689970,Port:65535,0,1773303766,168824167,Missing,,,,,,,,,0
4,,364689973,Port:1,0,1773303766,218824167,49999996,Enabled,0.563421,0.372542,-0.714047,0.184136,-84.8602,163.087,-1805.96,0.161357,4,OK,-84.7374,162.966,-1805.94,OK,-133.549,153.716,-1813.77,OK,-143.542,103.101,-1832.04,OK,-79.0866,106.561,-1824.94,,364689973,Port:2,0,1773303766,218824167,Enabled,0.916518,0.0217858,0.0379873,0.39759,-107.348,261.609,-1642.23,0.145199,3,OK,-107.18,261.689,-1642.25,OK,-146.596,228.757,-1639.13,OK,-153.342,304.785,-1637.8,,364689973,Port:3,0,1773303766,218824167,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689973,Port:65535,0,1773303766,218824167,Missing,,,,,,,,,0
4,,364689976,Port:1,0,1773303766,268824163,50000000,Enabled,0.563179,0.369957,-0.715361,0.184985,-84.5184,163.895,-1807.01,0.146991,4,OK,-84.4113,163.774,-1807.04,OK,-133.208,154.679,-1814.9,OK,-143.316,104.035,-1833.12,OK,-78.8895,107.271,-1825.75,,364689976,Port:2,0,1773303766,268824163,Enabled,0.916487,0.0220905,0.0383183,0.397613,-107.35,261.609,-1642.24,0.14417,3,OK,-107.184,261.691,-1642.26,OK,-146.592,228.754,-1639.12,OK,-153.341,304.78,-1637.76,,364689976,Port:3,0,1773303766,268824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689976,Port:65535,0,1773303766,268824163,Missing,,,,,,,,,0
4,,364689979,Port:1,0,1773303766,318824163,50000000,Enabled,0.564642,0.368522,-0.71447,0.186827,-84.2792,164.852,-1808.15,0.153652,4,OK,-84.1612,164.729,-1808.18,OK,-132.979,155.574,-1815.94,OK,-143.11,104.84,-1833.85,OK,-78.6629,108.138,-1826.57,,364689979,Port:2,0,1773303766,318824163,Enabled,0.916498,0.0218143,0.0384368,0.39759,-107.348,261.608,-1642.25,0.149896,3,OK,-107.175,261.693,-1642.27,OK,-146.596,228.753,-1639.1,OK,-153.339,304.784,-1637.79,,364689979,Port:3,0,1773303766,318824163,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,364689979,Port:65535,0,1773303766,318824163,Missing,,,,,,,,,0
