ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,370715287,Port:1,0,1773404188,118683876,Enabled,0.553688,0.552096,-0.499857,0.372508,-133.7,171.879,-1715.67,0.252554,4,OK,-133.488,171.824,-1715.89,OK,-167.18,134.592,-1713.13,OK,-146.271,85.346,-1725.42,OK,-96.7927,127.259,-1730.51,,370715287,Port:2,0,1773404188,118683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715287,Port:3,0,1773404188,118683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715287,Port:65535,0,1773404188,118683876,Missing,,,,,,,,,0
4,,370715290,Port:1,0,1773404188,168683876,Enabled,0.554028,0.550917,-0.500052,0.373485,-133.751,172.207,-1716.24,0.244446,4,OK,-133.546,172.146,-1716.46,OK,-167.257,134.954,-1713.68,OK,-146.349,85.6604,-1725.79,OK,-96.8359,127.524,-1730.91,,370715290,Port:2,0,1773404188,168683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715290,Port:3,0,1773404188,168683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715290,Port:65535,0,1773404188,168683876,Missing,,,,,,,,,0
4,,370715293,Port:1,0,1773404188,218683876,Enabled,0.553997,0.549276,-0.501157,0.374465,-133.816,172.609,-1716.95,0.276014,4,OK,-133.611,172.56,-1717.22,OK,-167.387,135.405,-1714.39,OK,-146.534,86.0725,-1726.42,OK,-96.9318,127.825,-1731.37,,370715293,Port:2,0,1773404188,218683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715293,Port:3,0,1773404188,218683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715293,Port:65535,0,1773404188,218683876,Missing,,,,,,,,,0
4,,370715296,Port:1,0,1773404188,268683876,Enabled,0.553969,0.547922,-0.501381,0.376187,-134.03,172.893,-1717.83,0.274395,4,OK,-133.826,172.835,-1718.09,OK,-167.602,135.685,-1715.26,OK,-146.694,86.3285,-1727.08,OK,-97.0775,128.081,-1732,,370715296,Port:2,0,1773404188,268683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715296,Port:3,0,1773404188,268683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715296,Port:65535,0,1773404188,268683876,Missing,,,,,,,,,0
4,,370715299,Port:1,0,1773404188,318683876,Enabled,0.55483,0.546406,-0.501882,0.376456,-133.92,173.471,-1718.47,0.286602,4,OK,-133.71,173.419,-1718.74,OK,-167.584,136.351,-1715.83,OK,-146.779,86.9078,-1727.52,OK,-97.0684,128.535,-1732.47,,370715299,Port:2,0,1773404188,318683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715299,Port:3,0,1773404188,318683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715299,Port:65535,0,1773404188,318683876,Missing,,,,,,,,,0
4,,370715302,Port:1,0,1773404188,368683876,Enabled,0.555536,0.545053,-0.502295,0.376825,-133.857,174.033,-1719.16,0.264686,4,OK,-133.65,173.979,-1719.41,OK,-167.6,136.98,-1716.5,OK,-146.876,87.4824,-1728,OK,-97.0659,128.99,-1733.04,,370715302,Port:2,0,1773404188,368683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715302,Port:3,0,1773404188,368683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715302,Port:65535,0,1773404188,368683876,Missing,,,,,,,,,0
4,,370715305,Port:1,0,1773404188,418683876,Enabled,0.556816,0.543364,-0.501997,0.37777,-133.804,174.659,-1720.13,0.278054,4,OK,-133.601,174.603,-1720.4,OK,-167.592,137.672,-1717.31,OK,-146.925,88.0789,-1728.61,OK,-97.0663,129.507,-1733.76,,370715305,Port:2,0,1773404188,418683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715305,Port:3,0,1773404188,418683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715305,Port:65535,0,1773404188,418683876,Missing,,,,,,,,,0
4,,370715308,Port:1,0,1773404188,468683876,Enabled,0.557727,0.539844,-0.50289,0.380276,-133.805,175.584,-1721.89,0.272863,4,OK,-133.603,175.531,-1722.15,OK,-167.698,138.696,-1719.01,OK,-147.091,88.9779,-1729.86,OK,-97.0992,130.25,-1735.02,,370715308,Port:2,0,1773404188,468683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715308,Port:3,0,1773404188,468683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715308,Port:65535,0,1773404188,468683876,Missing,,,,,,,,,0
4,,370715311,Port:1,0,1773404188,518683876,Enabled,0.55857,0.535314,-0.504835,0.382857,-133.816,176.946,-1724.25,0.272942,4,OK,-133.611,176.894,-1724.51,OK,-167.885,140.226,-1721.37,OK,-147.431,90.3386,-1731.7,OK,-97.2185,131.364,-1736.78,,370715311,Port:2,0,1773404188,518683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715311,Port:3,0,1773404188,518683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715311,Port:65535,0,1773404188,518683876,Missing,,,,,,,,,0
4,,370715314,Port:1,0,1773404188,568683876,Enabled,0.557794,0.529673,-0.509253,0.385972,-133.937,178.308,-1726.98,0.266382,4,OK,-133.732,178.248,-1727.23,OK,-168.274,141.819,-1724.38,OK,-148.005,91.7554,-1734.16,OK,-97.4654,132.43,-1738.79,,370715314,Port:2,0,1773404188,568683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715314,Port:3,0,1773404188,568683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715314,Port:65535,0,1773404188,568683876,Missing,,,,,,,,,0
4,,370715317,Port:1,0,1773404188,618683876,Enabled,0.556519,0.524425,-0.513251,0.389665,-134.194,179.496,-1729.76,0.271497,4,OK,-133.995,179.435,-1730.02,OK,-168.717,143.172,-1727.43,OK,-148.55,92.9844,-1736.7,OK,-97.7763,133.386,-1740.83,,370715317,Port:2,0,1773404188,618683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715317,Port:3,0,1773404188,618683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715317,Port:65535,0,1773404188,618683876,Missing,,,,,,,,,0
4,,370715320,Port:1,0,1773404188,668683876,Enabled,0.555835,0.520515,-0.51583,0.392468,-134.49,180.338,-1731.97,0.268581,4,OK,-134.294,180.276,-1732.22,OK,-169.144,144.125,-1729.81,OK,-149.051,93.8454,-1738.65,OK,-98.1006,134.066,-1742.48,,370715320,Port:2,0,1773404188,668683876,Missing,,,,,,,,,3,Missing,,,,Missing,,,,Missing,,,,,370715320,Port:3,0,1773404188,668683876,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370715320,Port:65535,0,1773404188,668683876,Missing,,,,,,,,,0
