ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
4,,370805494,Port:1,0,1773405691,568821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805494,Port:2,0,1773405691,568821130,Enabled,0.932362,0.107762,-0.00617181,0.345036,-87.1076,52.7671,-1590.95,0.156306,3,OK,-86.9243,52.8523,-1590.94,OK,-129.966,24.7693,-1594.07,OK,-127.88,99.4446,-1578.52,,370805494,Port:3,0,1773405691,568821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805494,Port:65535,0,1773405691,568821130,Missing,,,,,,,,,1,OK,-67.5727,402.559,-2476.76
4,,370805497,Port:1,0,1773405691,618821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805497,Port:2,0,1773405691,618821130,Enabled,0.932342,0.107919,-0.00591673,0.345046,-87.1084,52.7718,-1590.99,0.161305,3,OK,-86.9154,52.8533,-1590.98,OK,-129.97,24.7688,-1594.09,OK,-127.884,99.4495,-1578.53,,370805497,Port:3,0,1773405691,618821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805497,Port:65535,0,1773405691,618821130,Missing,,,,,,,,,1,OK,-67.5877,402.564,-2476.7
4,,370805500,Port:1,0,1773405691,668821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805500,Port:2,0,1773405691,668821130,Enabled,0.932335,0.107847,-0.00558511,0.345094,-87.1057,52.7766,-1591.01,0.157543,3,OK,-86.9185,52.8587,-1591,OK,-129.961,24.7674,-1594.07,OK,-127.879,99.4497,-1578.54,,370805500,Port:3,0,1773405691,668821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805500,Port:65535,0,1773405691,668821130,Missing,,,,,,,,,1,OK,-67.5475,402.517,-2476.59
4,,370805503,Port:1,0,1773405691,718821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805503,Port:2,0,1773405691,718821130,Enabled,0.93236,0.107706,-0.005626,0.345068,-87.1044,52.7716,-1590.99,0.158003,3,OK,-86.9147,52.852,-1590.98,OK,-129.962,24.7693,-1594.05,OK,-127.878,99.4479,-1578.54,,370805503,Port:3,0,1773405691,718821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805503,Port:65535,0,1773405691,718821130,Missing,,,,,,,,,1,OK,-67.5494,402.574,-2476.69
4,,370805506,Port:1,0,1773405691,768821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805506,Port:2,0,1773405691,768821130,Enabled,0.932335,0.10798,-0.00575553,0.345047,-87.1082,52.7721,-1590.98,0.15485,3,OK,-86.9249,52.8536,-1590.97,OK,-129.964,24.7693,-1594.07,OK,-127.878,99.4461,-1578.5,,370805506,Port:3,0,1773405691,768821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805506,Port:65535,0,1773405691,768821130,Missing,,,,,,,,,1,OK,-67.5489,402.558,-2476.67
4,,370805509,Port:1,0,1773405691,818821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805509,Port:2,0,1773405691,818821130,Enabled,0.932319,0.10814,-0.00535234,0.345048,-87.1075,52.777,-1591.02,0.160087,3,OK,-86.9154,52.8573,-1591.02,OK,-129.968,24.7693,-1594.07,OK,-127.875,99.4484,-1578.51,,370805509,Port:3,0,1773405691,818821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805509,Port:65535,0,1773405691,818821130,Missing,,,,,,,,,1,OK,-67.5616,402.527,-2476.54
4,,370805512,Port:1,0,1773405691,868821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805512,Port:2,0,1773405691,868821130,Enabled,0.932357,0.107765,-0.00579146,0.345055,-87.1082,52.773,-1590.98,0.157818,3,OK,-86.9221,52.8585,-1590.97,OK,-129.967,24.7719,-1594.06,OK,-127.879,99.4459,-1578.53,,370805512,Port:3,0,1773405691,868821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805512,Port:65535,0,1773405691,868821130,Missing,,,,,,,,,1,OK,-67.5765,402.607,-2476.86
4,,370805515,Port:1,0,1773405691,918821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805515,Port:2,0,1773405691,918821130,Enabled,0.93234,0.107974,-0.00576253,0.345036,-87.106,52.7767,-1591,0.158903,3,OK,-86.9192,52.8619,-1590.99,OK,-129.967,24.7719,-1594.09,OK,-127.874,99.4511,-1578.52,,370805515,Port:3,0,1773405691,918821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805515,Port:65535,0,1773405691,918821130,Missing,,,,,,,,,1,OK,-67.5769,402.568,-2476.54
4,,370805518,Port:1,0,1773405691,968821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805518,Port:2,0,1773405691,968821130,Enabled,0.932343,0.107893,-0.00586951,0.345052,-87.1044,52.7727,-1590.97,0.1558,3,OK,-86.9189,52.8531,-1590.96,OK,-129.961,24.7714,-1594.07,OK,-127.878,99.4491,-1578.51,,370805518,Port:3,0,1773405691,968821130,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805518,Port:65535,0,1773405691,968821130,Missing,,,,,,,,,1,OK,-67.5851,402.566,-2476.8
4,,370805521,Port:1,0,1773405692,18821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805521,Port:2,0,1773405692,18821125,Enabled,0.932321,0.10804,-0.00552732,0.345072,-87.1103,52.7801,-1591.01,0.154413,3,OK,-86.9261,52.8592,-1591,OK,-129.964,24.7739,-1594.08,OK,-127.881,99.4514,-1578.52,,370805521,Port:3,0,1773405692,18821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805521,Port:65535,0,1773405692,18821125,Missing,,,,,,,,,1,OK,-67.5595,402.564,-2476.67
4,,370805524,Port:1,0,1773405692,68821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805524,Port:2,0,1773405692,68821125,Enabled,0.932329,0.107817,-0.00544104,0.345122,-87.1079,52.7781,-1590.99,0.157535,3,OK,-86.9201,52.8593,-1590.98,OK,-129.962,24.7655,-1594.04,OK,-127.883,99.4494,-1578.52,,370805524,Port:3,0,1773405692,68821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805524,Port:65535,0,1773405692,68821125,Missing,,,,,,,,,1,OK,-67.5816,402.56,-2476.56
4,,370805527,Port:1,0,1773405692,118821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805527,Port:2,0,1773405692,118821125,Enabled,0.932332,0.108009,-0.0058973,0.345045,-87.1051,52.774,-1590.98,0.159638,3,OK,-86.9167,52.8587,-1590.98,OK,-129.966,24.7703,-1594.09,OK,-127.876,99.4469,-1578.51,,370805527,Port:3,0,1773405692,118821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805527,Port:65535,0,1773405692,118821125,Missing,,,,,,,,,1,OK,-67.561,402.506,-2476.4
4,,370805530,Port:1,0,1773405692,168821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805530,Port:2,0,1773405692,168821125,Enabled,0.932323,0.108053,-0.00539374,0.345065,-87.108,52.7735,-1591.02,0.156502,3,OK,-86.9206,52.8529,-1591.02,OK,-129.964,24.7666,-1594.07,OK,-127.877,99.4444,-1578.52,,370805530,Port:3,0,1773405692,168821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805530,Port:65535,0,1773405692,168821125,Missing,,,,,,,,,1,OK,-67.559,402.543,-2476.53
4,,370805533,Port:1,0,1773405692,218821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805533,Port:2,0,1773405692,218821125,Enabled,0.932349,0.107812,-0.00545828,0.345069,-87.1099,52.7781,-1591.02,0.155981,3,OK,-86.9222,52.8552,-1591.02,OK,-129.965,24.7708,-1594.07,OK,-127.882,99.4581,-1578.55,,370805533,Port:3,0,1773405692,218821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805533,Port:65535,0,1773405692,218821125,Missing,,,,,,,,,1,OK,-67.5469,402.603,-2476.8
4,,370805536,Port:1,0,1773405692,268821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805536,Port:2,0,1773405692,268821125,Enabled,0.932359,0.107797,-0.00564586,0.345042,-87.109,52.7708,-1590.99,0.156234,3,OK,-86.9225,52.8518,-1590.99,OK,-129.967,24.7707,-1594.06,OK,-127.879,99.4469,-1578.53,,370805536,Port:3,0,1773405692,268821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805536,Port:65535,0,1773405692,268821125,Missing,,,,,,,,,1,OK,-67.5847,402.577,-2476.63
4,,370805539,Port:1,0,1773405692,318821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805539,Port:2,0,1773405692,318821125,Enabled,0.932356,0.107695,-0.0058937,0.345078,-87.1066,52.7732,-1590.98,0.160228,3,OK,-86.9182,52.8599,-1590.97,OK,-129.967,24.7669,-1594.07,OK,-127.881,99.4487,-1578.54,,370805539,Port:3,0,1773405692,318821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805539,Port:65535,0,1773405692,318821125,Missing,,,,,,,,,1,OK,-67.5636,402.572,-2476.66
4,,370805542,Port:1,0,1773405692,368821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805542,Port:2,0,1773405692,368821125,Enabled,0.932359,0.107821,-0.00621398,0.345024,-87.1062,52.7736,-1590.97,0.160866,3,OK,-86.9186,52.8612,-1590.96,OK,-129.969,24.7706,-1594.1,OK,-127.878,99.4549,-1578.53,,370805542,Port:3,0,1773405692,368821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805542,Port:65535,0,1773405692,368821125,Missing,,,,,,,,,1,OK,-67.5788,402.563,-2476.67
4,,370805545,Port:1,0,1773405692,418821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805545,Port:2,0,1773405692,418821125,Enabled,0.932365,0.10761,-0.00577533,0.345083,-87.1064,52.7723,-1590.98,0.153154,3,OK,-86.9222,52.8499,-1590.97,OK,-129.958,24.7723,-1594.06,OK,-127.884,99.4505,-1578.55,,370805545,Port:3,0,1773405692,418821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805545,Port:65535,0,1773405692,418821125,Missing,,,,,,,,,1,OK,-67.5689,402.527,-2476.5
4,,370805548,Port:1,0,1773405692,468821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805548,Port:2,0,1773405692,468821125,Enabled,0.932352,0.107846,-0.00619693,0.345037,-87.1053,52.767,-1590.98,0.160269,3,OK,-86.9179,52.8547,-1590.97,OK,-129.968,24.7664,-1594.11,OK,-127.878,99.4425,-1578.54,,370805548,Port:3,0,1773405692,468821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805548,Port:65535,0,1773405692,468821125,Missing,,,,,,,,,1,OK,-67.5993,402.567,-2476.67
4,,370805551,Port:1,0,1773405692,518821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805551,Port:2,0,1773405692,518821125,Enabled,0.932335,0.108008,-0.00560751,0.345042,-87.1083,52.7748,-1591,0.154994,3,OK,-86.9227,52.854,-1591,OK,-129.964,24.7748,-1594.07,OK,-127.877,99.4468,-1578.52,,370805551,Port:3,0,1773405692,518821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805551,Port:65535,0,1773405692,518821125,Missing,,,,,,,,,1,OK,-67.5766,402.586,-2476.77
4,,370805554,Port:1,0,1773405692,568821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805554,Port:2,0,1773405692,568821125,Enabled,0.932339,0.107861,-0.00537035,0.345082,-87.1103,52.7756,-1590.99,0.154009,3,OK,-86.9258,52.855,-1590.98,OK,-129.963,24.7715,-1594.03,OK,-127.88,99.4454,-1578.51,,370805554,Port:3,0,1773405692,568821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805554,Port:65535,0,1773405692,568821125,Missing,,,,,,,,,1,OK,-67.5662,402.543,-2476.59
4,,370805557,Port:1,0,1773405692,618821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805557,Port:2,0,1773405692,618821125,Enabled,0.932343,0.107977,-0.00563822,0.345029,-87.1094,52.777,-1591.01,0.158092,3,OK,-86.918,52.8534,-1591,OK,-129.968,24.7755,-1594.08,OK,-127.881,99.4568,-1578.52,,370805557,Port:3,0,1773405692,618821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805557,Port:65535,0,1773405692,618821125,Missing,,,,,,,,,1,OK,-67.583,402.534,-2476.54
4,,370805560,Port:1,0,1773405692,668821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805560,Port:2,0,1773405692,668821125,Enabled,0.932326,0.10798,-0.00532824,0.34508,-87.1139,52.7816,-1591.02,0.15666,3,OK,-86.9254,52.8611,-1591.01,OK,-129.969,24.7767,-1594.06,OK,-127.884,99.4492,-1578.52,,370805560,Port:3,0,1773405692,668821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805560,Port:65535,0,1773405692,668821125,Missing,,,,,,,,,1,OK,-67.5791,402.509,-2476.46
