Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.583209,0.578526,-0.256326,0.509385,-120.016,-36.0124,-1630.13
2,0.554451,0.145709,-0.76454,0.294671,-74.7454,43.0002,-1595.41
3,0.453162,0.658304,-0.252701,0.545365,-133.264,-66.9234,-1559.67
4,0.560838,0.326023,-0.665864,0.368503,-74.1691,38.8853,-1638.59
5,0.552934,0.70605,-0.35931,0.258175,-142.819,41.1584,-1631.5
6,0.64939,0.231167,-0.625813,0.364983,-70.5551,27.996,-1667.07
7,0.646158,0.349616,-0.592865,0.329787,-79.3771,35.7029,-1617.38
8,0.790497,0.18591,-0.544994,0.208647,-63.7355,14.6542,-1598.14
9,0.622832,0.557783,-0.427329,0.344019,-114.366,5.18098,-1640.68
10,0.570817,0.465701,-0.371348,0.565146,-121.753,40.7907,-1660.91
11,0.592986,0.617434,-0.299086,0.421534,-143.66,-7.28944,-1564.9
12,0.631608,0.540825,-0.375547,0.409322,-152.054,-6.2564,-1584.2
13,0.506702,0.4426,-0.561762,0.481438,-134.136,-33.3324,-1617.86
14,0.692967,0.196653,-0.656266,0.224584,-64.9633,24.0949,-1577.13
15,0.634951,0.485841,-0.386736,0.459599,-131.962,8.4736,-1639.37
16,0.279182,0.240203,-0.752911,0.545422,-34.5947,11.886,-1627.73
17,0.653231,0.657262,-0.313121,0.20797,-92.8443,-5.10616,-1595.47
18,0.642451,0.176536,-0.691674,0.278708,-86.9982,6.23118,-1619.31
19,0.528101,0.53924,-0.356572,0.550623,-134.409,-26.3391,-1621.77
20,0.283156,0.405355,-0.684061,0.536256,-9.91677,-39.7469,-1536.97
21,0.463285,0.211394,-0.71033,0.485912,-87.9119,5.39311,-1632.6
22,0.628,0.678817,-0.272212,0.26594,-141.791,15.7681,-1582.14
23,0.598575,0.460687,-0.511997,0.409066,-95.513,49.8464,-1627.43
24,0.727863,0.100846,-0.616273,0.283291,-87.2861,40.1267,-1673.18
25,0.703921,0.526177,-0.262042,0.398706,-142.164,19.5977,-1594.24
26,0.44007,0.221171,-0.686219,0.535282,-49.9025,26.7841,-1626.67
27,0.637112,0.0865484,-0.707944,0.292255,-70.1095,-9.27776,-1621.39
28,0.618722,0.621934,-0.347326,0.331279,-125.467,33.9872,-1650.2
29,0.410798,0.3584,-0.673637,0.499006,-29.2878,-19.2946,-1557.29
30,0.661293,0.621533,-0.227848,0.352807,-130.265,-6.35463,-1627.92
