#Tools
ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,6142,Port:10,0,0,0,Enabled,0.62743,0.509961,-0.418414,-0.413765,-33.7339,2.61114,-146.835,0.0176034,0
1,,6182,Port:10,0,0,0,Enabled,0.627406,0.50997,-0.418417,-0.413787,-33.7292,2.60934,-146.832,0.0177144,0
1,,6206,Port:10,0,0,0,Enabled,0.627425,0.50995,-0.418438,-0.413762,-33.7285,2.60094,-146.838,0.0175846,0
1,,6238,Port:10,0,0,0,Enabled,0.627443,0.509936,-0.418432,-0.413758,-33.7308,2.60078,-146.828,0.0172549,0
1,,6262,Port:10,0,0,0,Enabled,0.627442,0.509937,-0.41844,-0.413751,-33.7276,2.59788,-146.831,0.0171413,0
1,,6302,Port:10,0,0,0,Enabled,0.627424,0.509957,-0.418436,-0.413756,-33.7277,2.60644,-146.834,0.0173895,0
1,,6342,Port:10,0,0,0,Enabled,0.627401,0.509964,-0.418445,-0.413773,-33.7257,2.61259,-146.839,0.0172661,0
1,,6382,Port:10,0,0,0,Enabled,0.627451,0.509916,-0.418481,-0.413722,-33.725,2.60009,-146.835,0.0168001,0
1,,6422,Port:10,0,0,0,Enabled,0.627463,0.509913,-0.418479,-0.413709,-33.7281,2.59845,-146.83,0.0172271,0
1,,6462,Port:10,0,0,0,Enabled,0.627412,0.509956,-0.418438,-0.413774,-33.729,2.60889,-146.828,0.0173572,0
1,,13190,Port:10,0,0,0,Enabled,0.618431,0.424359,-0.543245,-0.377289,-33.6285,24.7209,-111.984,0.060763,0
1,,13206,Port:10,0,0,0,Enabled,0.618447,0.424351,-0.543245,-0.377272,-33.6285,24.717,-111.977,0.0607504,0
1,,13246,Port:10,0,0,0,Enabled,0.618416,0.424387,-0.543223,-0.377315,-33.626,24.7213,-111.982,0.0608863,0
1,,13286,Port:10,0,0,0,Enabled,0.618426,0.424391,-0.543233,-0.377281,-33.6232,24.7183,-111.974,0.060657,0
1,,13326,Port:10,0,0,0,Enabled,0.618442,0.424374,-0.543236,-0.377269,-33.6251,24.7163,-111.967,0.0605636,0
1,,13350,Port:10,0,0,0,Enabled,0.618452,0.424371,-0.543242,-0.377247,-33.6284,24.7181,-111.969,0.0604171,0
1,,13390,Port:10,0,0,0,Enabled,0.618448,0.424355,-0.543241,-0.377272,-33.6436,24.7242,-111.972,0.0603736,0
1,,13430,Port:10,0,0,0,Enabled,0.61844,0.424328,-0.543264,-0.377283,-33.6598,24.7321,-111.991,0.0604351,0
1,,13470,Port:10,0,0,0,Enabled,0.618416,0.42435,-0.54326,-0.377301,-33.6671,24.7389,-112.008,0.0604644,0
1,,13510,Port:10,0,0,0,Enabled,0.618389,0.424384,-0.543235,-0.377346,-33.6682,24.7408,-112.005,0.0607184,0
1,,15782,Port:10,0,0,0,Enabled,0.441721,0.530625,-0.500108,-0.522696,-68.4856,17.9662,-240.693,0.173017,0
1,,15798,Port:10,0,0,0,Enabled,0.441681,0.53061,-0.500113,-0.522741,-68.5002,17.985,-240.726,0.175378,0
1,,15838,Port:10,0,0,0,Enabled,0.441829,0.530483,-0.50019,-0.522671,-68.5028,17.9913,-240.722,0.176117,0
1,,15878,Port:10,0,0,0,Enabled,0.441871,0.530451,-0.500286,-0.522576,-68.4741,17.9608,-240.736,0.176119,0
1,,15918,Port:10,0,0,0,Enabled,0.441758,0.530511,-0.500237,-0.522657,-68.4772,17.978,-240.754,0.175966,0
1,,15958,Port:10,0,0,0,Enabled,0.441764,0.530509,-0.500228,-0.522663,-68.4919,17.9939,-240.791,0.174295,0
1,,15998,Port:10,0,0,0,Enabled,0.44176,0.530574,-0.500129,-0.522695,-68.4949,17.985,-240.776,0.171997,0
1,,16038,Port:10,0,0,0,Enabled,0.441696,0.530597,-0.500113,-0.522742,-68.4685,17.9777,-240.695,0.172523,0
1,,16054,Port:10,0,0,0,Enabled,0.441703,0.530555,-0.500158,-0.522735,-68.4952,18.0086,-240.765,0.175207,0
1,,16102,Port:10,0,0,0,Enabled,0.44182,0.530479,-0.50025,-0.522625,-68.4785,17.9853,-240.704,0.173859,0
1,,24630,Port:10,0,0,0,Enabled,0.756647,0.134629,-0.431637,-0.472281,-19.7506,71.0801,-86.4635,0.0876953,0
1,,24646,Port:10,0,0,0,Enabled,0.756638,0.134641,-0.431639,-0.472291,-19.75,71.08,-86.4658,0.0877338,0
1,,24686,Port:10,0,0,0,Enabled,0.756646,0.134643,-0.431636,-0.472281,-19.7496,71.0805,-86.4687,0.0877606,0
1,,24710,Port:10,0,0,0,Enabled,0.756642,0.134645,-0.431644,-0.472278,-19.748,71.0798,-86.4724,0.0876892,0
1,,24750,Port:10,0,0,0,Enabled,0.75662,0.134672,-0.43164,-0.47231,-19.7469,71.0808,-86.4764,0.0878183,0
1,,24790,Port:10,0,0,0,Enabled,0.756628,0.134667,-0.431652,-0.472288,-19.7448,71.08,-86.4798,0.0876815,0
1,,24830,Port:10,0,0,0,Enabled,0.756613,0.134665,-0.431666,-0.472298,-19.7425,71.0777,-86.4847,0.0878447,0
1,,24870,Port:10,0,0,0,Enabled,0.756635,0.13464,-0.431665,-0.472272,-19.7435,71.0789,-86.488,0.0877067,0
1,,24886,Port:10,0,0,0,Enabled,0.756639,0.134645,-0.431656,-0.472273,-19.744,71.0806,-86.4857,0.0877021,0
1,,24934,Port:10,0,0,0,Enabled,0.756629,0.13465,-0.431659,-0.472285,-19.7442,71.0794,-86.4878,0.087872,0
1,,31694,Port:10,0,0,0,Enabled,0.563042,0.541858,-0.55209,-0.29081,-38.1097,35.1844,-169.42,0.125542,0
1,,31710,Port:10,0,0,0,Enabled,0.562989,0.541874,-0.552105,-0.290853,-38.1066,35.2089,-169.453,0.124428,0
1,,31750,Port:10,0,0,0,Enabled,0.562993,0.541909,-0.5521,-0.290792,-38.0655,35.2008,-169.472,0.12464,0
1,,31774,Port:10,0,0,0,Enabled,0.563023,0.541949,-0.552,-0.290848,-38.0437,35.1888,-169.437,0.125514,0
1,,31814,Port:10,0,0,0,Enabled,0.563047,0.542034,-0.551793,-0.291036,-38.0645,35.2129,-169.492,0.126712,0
1,,31854,Port:10,0,0,0,Enabled,0.562981,0.542085,-0.55175,-0.291148,-38.0822,35.2586,-169.584,0.125814,0
1,,31886,Port:10,0,0,0,Enabled,0.562976,0.54209,-0.551772,-0.291109,-38.0697,35.2544,-169.602,0.125586,0
1,,31910,Port:10,0,0,0,Enabled,0.562977,0.5421,-0.551772,-0.291088,-38.0593,35.2485,-169.59,0.125272,0
1,,31958,Port:10,0,0,0,Enabled,0.562998,0.542089,-0.551796,-0.291024,-38.0517,35.2447,-169.596,0.124245,0
1,,31974,Port:10,0,0,0,Enabled,0.563011,0.542073,-0.551804,-0.291013,-38.0588,35.2426,-169.615,0.124387,0
1,,48990,Port:10,0,0,0,Enabled,0.670536,0.0957994,-0.442828,-0.587458,-63.9734,-9.34085,-162.839,0.0857236,0
1,,49030,Port:10,0,0,0,Enabled,0.670416,0.0958627,-0.442862,-0.58756,-63.968,-9.34913,-162.849,0.0869555,0
1,,49054,Port:10,0,0,0,Enabled,0.670505,0.0958155,-0.442837,-0.587484,-63.9716,-9.34507,-162.849,0.0865316,0
1,,49078,Port:10,0,0,0,Enabled,0.670503,0.0958134,-0.442842,-0.587484,-63.972,-9.3484,-162.848,0.0866902,0
1,,49118,Port:10,0,0,0,Enabled,0.670525,0.0957955,-0.442871,-0.587439,-63.9659,-9.35445,-162.848,0.086586,0
