ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,28398,Port:10,0,0,0,Enabled,0.730349,0.415614,-0.416585,-0.34686,-43.8924,49.6915,-73.6139,0.107422,0
1,,28422,Port:10,0,0,0,Enabled,0.730962,0.414214,-0.417092,-0.346635,-44.2033,50.2625,-72.898,0.106194,0
1,,28438,Port:10,0,0,0,Enabled,0.731337,0.413636,-0.417717,-0.345781,-44.1382,50.6037,-72.6424,0.106146,0
1,,28462,Port:10,0,0,0,Enabled,0.732176,0.41254,-0.417813,-0.345197,-43.6819,51.1051,-72.1683,0.10319,0
1,,28486,Port:10,0,0,0,Enabled,0.732598,0.411525,-0.418731,-0.3444,-43.5415,51.6662,-71.7592,0.101909,0
1,,28502,Port:10,0,0,0,Enabled,0.732693,0.410012,-0.42016,-0.344264,-43.9809,52.2999,-71.3655,0.102931,0
1,,28518,Port:10,0,0,0,Enabled,0.732385,0.408939,-0.421963,-0.34399,-44.7265,52.9995,-70.8421,0.105625,0
1,,28542,Port:10,0,0,0,Enabled,0.731796,0.407452,-0.423594,-0.345,-45.7136,53.8759,-69.8004,0.108805,0
1,,28566,Port:10,0,0,0,Enabled,0.730561,0.408489,-0.424116,-0.345751,-46.4142,53.9357,-69.095,0.110408,0
1,,28582,Port:10,0,0,0,Enabled,0.730118,0.409269,-0.424105,-0.345776,-46.667,53.7469,-68.669,0.109714,0
1,,28606,Port:10,0,0,0,Enabled,0.730113,0.410415,-0.422989,-0.345795,-46.6047,53.1082,-67.9685,0.109287,0
1,,28622,Port:10,0,0,0,Enabled,0.730407,0.412209,-0.42489,-0.340673,-46.4028,52.3683,-68.1862,0.111097,0
1,,28638,Port:10,0,0,0,Enabled,0.73216,0.413808,-0.425426,-0.33424,-45.9474,51.5,-68.1919,0.109583,0
1,,28662,Port:10,0,0,0,Enabled,0.734242,0.417829,-0.427536,-0.321748,-45.7814,49.7626,-68.5653,0.112248,0
1,,28686,Port:10,0,0,0,Enabled,0.735677,0.418641,-0.428346,-0.31629,-46.5435,48.3371,-68.327,0.118154,0
1,,28702,Port:10,0,0,0,Enabled,0.735947,0.418695,-0.429178,-0.314455,-47.3482,47.6574,-68.2508,0.121379,0
1,,28726,Port:10,0,0,0,Enabled,0.735868,0.419584,-0.432158,-0.309333,-48.7624,47.126,-68.2849,0.131209,0
1,,28742,Port:10,0,0,0,Enabled,0.736069,0.417096,-0.436098,-0.306678,-49.6503,48.0415,-68.0332,0.137439,0
1,,28766,Port:10,0,0,0,Enabled,0.737233,0.414928,-0.440323,-0.300729,-49.9229,48.5983,-67.4441,0.137783,0
1,,28782,Port:10,0,0,0,Enabled,0.737487,0.415012,-0.442666,-0.296521,-50.1442,48.1236,-67.1513,0.137657,0
1,,28798,Port:10,0,0,0,Enabled,0.737399,0.414975,-0.445061,-0.293188,-50.747,47.4566,-67.1573,0.142026,0
1,,28822,Port:10,0,0,0,Enabled,0.736239,0.416384,-0.446225,-0.292337,-52.1012,45.989,-68.079,0.152055,0
1,,28838,Port:10,0,0,0,Enabled,0.734569,0.418802,-0.446365,-0.292869,-53.3651,44.293,-69.8708,0.165174,0
1,,28870,Port:10,0,0,0,Enabled,0.727268,0.42843,-0.442928,-0.302233,-55.9363,39.0516,-75.4856,0.175095,0
1,,28886,Port:10,0,0,0,Enabled,0.722441,0.435382,-0.438473,-0.310264,-57.1913,35.5113,-78.2989,0.162694,0
1,,28902,Port:10,0,0,0,Enabled,0.718589,0.439319,-0.43426,-0.319449,-58.5778,32.011,-80.8621,0.140978,0
