ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz
4,,127605427,Port:1,0,1769352357,118803351,Enabled,0.688154,0.477791,-0.419992,0.348952,-35.6008,43.7359,-1761.22,0.462334,4,OK,-35.4447,43.7497,-1760.81,OK,-70.7989,13.1146,-1743.53,OK,-57.157,-39.8793,-1744.01,OK,-6.58512,-7.87417,-1769.95,,127605427,Port:2,0,1769352357,118803351,Missing,,,,,,,,,4,OK,5.55872,434.16,-2046.3,OK,47.8357,419.652,-2000.23,Missing,,,,OK,76.8676,460.644,-1998.87,,127605427,Port:3,0,1769352357,118803351,Enabled,0.921338,0.0345761,0.02043,0.386681,-21.4691,212.166,-1626.16,0.118369,3,OK,-21.3354,212.24,-1626.17,OK,-61.5685,180.273,-1625.11,OK,-66.4348,256.317,-1621.14,,127605427,Port:65535,0,1769352357,118803351,Missing,,,,,,,,,3,OK,76.8676,460.644,-1998.87,OK,47.8357,419.652,-2000.23,OK,5.55872,434.16,-2046.3
4,,127605436,Port:1,0,1769352357,268803351,Enabled,0.688479,0.476375,-0.419634,0.350672,-34.9395,44.9424,-1762.48,0.383683,4,OK,-34.7922,44.9533,-1762.17,OK,-70.0893,14.3497,-1744.64,OK,-56.3951,-38.6283,-1745.09,OK,-5.89987,-6.66723,-1770.86,,127605436,Port:2,0,1769352357,268803351,Missing,,,,,,,,,4,OK,5.54304,434.15,-2046.21,OK,47.8477,419.643,-2000.26,Missing,,,,OK,76.8735,460.656,-1998.95,,127605436,Port:3,0,1769352357,268803351,Enabled,0.921322,0.0343943,0.0204723,0.386736,-21.4706,212.172,-1626.14,0.115451,3,OK,-21.3403,212.243,-1626.14,OK,-61.5625,180.274,-1625.07,OK,-66.4425,256.323,-1621.13,,127605436,Port:65535,0,1769352357,268803351,Missing,,,,,,,,,3,OK,76.8735,460.656,-1998.95,OK,47.8477,419.643,-2000.26,OK,5.54304,434.15,-2046.21
4,,127605442,Port:1,0,1769352357,368803351,Enabled,0.689814,0.476635,-0.416727,0.351162,-34.3076,46.649,-1763.72,0.400038,4,OK,-34.1569,46.6541,-1763.39,OK,-69.2833,16.0182,-1745.63,OK,-55.4548,-36.9187,-1745.92,OK,-5.1687,-4.90083,-1772.08,,127605442,Port:2,0,1769352357,368803351,Missing,,,,,,,,,4,OK,5.54935,434.151,-2046.22,OK,47.8433,419.62,-2000.09,Missing,,,,OK,76.8644,460.669,-1998.97,,127605442,Port:3,0,1769352357,368803351,Enabled,0.921343,0.0345612,0.0200362,0.386692,-21.4715,212.172,-1626.15,0.11989,3,OK,-21.335,212.244,-1626.16,OK,-61.5731,180.278,-1625.13,OK,-66.4423,256.324,-1621.15,,127605442,Port:65535,0,1769352357,368803351,Missing,,,,,,,,,3,OK,76.8644,460.669,-1998.97,OK,47.8433,419.62,-2000.09,OK,5.54935,434.151,-2046.22
4,,127605448,Port:1,0,1769352357,468803351,Enabled,0.693639,0.466438,-0.424668,0.347788,-34.3251,51.4573,-1767.76,0.423294,4,OK,-34.1908,51.4786,-1767.38,OK,-70.2405,21.8264,-1749.83,OK,-57.6301,-31.409,-1749.41,OK,-6.2751,-0.866949,-1775.34,,127605448,Port:2,0,1769352357,468803351,Missing,,,,,,,,,4,OK,5.54052,434.146,-2046.29,OK,47.8355,419.618,-2000.13,Missing,,,,OK,76.8655,460.651,-1998.89,,127605448,Port:3,0,1769352357,468803351,Enabled,0.921323,0.0345657,0.0208285,0.386698,-21.4725,212.173,-1626.19,0.119178,3,OK,-21.3384,212.247,-1626.19,OK,-61.5693,180.275,-1625.09,OK,-66.4377,256.323,-1621.14,,127605448,Port:65535,0,1769352357,468803351,Missing,,,,,,,,,3,OK,76.8655,460.651,-1998.89,OK,47.8355,419.618,-2000.13,OK,5.54052,434.146,-2046.29
4,,127605454,Port:1,0,1769352357,568803351,Enabled,0.702121,0.443078,-0.43776,0.345071,-34.7213,57.7732,-1773.69,0.444561,4,OK,-34.5846,57.7906,-1773.29,OK,-72.291,30.1874,-1755.87,OK,-61.938,-23.4802,-1753.57,OK,-8.70268,4.1451,-1779.1,,127605454,Port:2,0,1769352357,568803351,Missing,,,,,,,,,4,OK,5.54691,434.146,-2046.3,OK,47.847,419.609,-2000.1,Missing,,,,OK,76.8687,460.641,-1998.87,,127605454,Port:3,0,1769352357,568803351,Enabled,0.921354,0.0342143,0.0205534,0.38667,-21.4746,212.161,-1626.13,0.120072,3,OK,-21.3358,212.232,-1626.14,OK,-61.5758,180.272,-1625.05,OK,-66.4438,256.318,-1621.14,,127605454,Port:65535,0,1769352357,568803351,Missing,,,,,,,,,3,OK,76.8687,460.641,-1998.87,OK,47.847,419.609,-2000.1,OK,5.54691,434.146,-2046.3
4,,127605460,Port:1,0,1769352357,668803349,Enabled,0.703501,0.43126,-0.442523,0.351104,-39.3838,60.9332,-1776.66,0.406959,4,OK,-39.2446,60.9527,-1776.29,OK,-77.5187,33.973,-1758.95,OK,-67.575,-19.7195,-1755.48,OK,-13.6183,7.03239,-1780.49,,127605460,Port:2,0,1769352357,668803349,Missing,,,,,,,,,4,OK,5.53455,434.123,-2046.21,OK,47.8278,419.667,-2000.32,Missing,,,,OK,76.8586,460.654,-1998.95,,127605460,Port:3,0,1769352357,668803349,Enabled,0.921345,0.0343927,0.0204409,0.386682,-21.4718,212.161,-1626.13,0.119717,3,OK,-21.3339,212.231,-1626.13,OK,-61.5715,180.268,-1625.07,OK,-66.4423,256.318,-1621.12,,127605460,Port:65535,0,1769352357,668803349,Missing,,,,,,,,,3,OK,76.8586,460.654,-1998.95,OK,47.8278,419.667,-2000.32,OK,5.53455,434.123,-2046.21
4,,127605466,Port:1,0,1769352357,768803349,Enabled,0.693665,0.428593,-0.461321,0.349743,-42.8315,64.528,-1777.13,0.479512,4,OK,-42.7083,64.5267,-1776.69,OK,-81.9019,37.7629,-1761.43,OK,-72.8125,-16.0972,-1758.49,OK,-17.7065,10.3641,-1781.13,,127605466,Port:2,0,1769352357,768803349,Missing,,,,,,,,,4,OK,5.55849,434.166,-2046.31,OK,47.8447,419.638,-2000.21,Missing,,,,OK,76.8695,460.653,-1998.94,,127605466,Port:3,0,1769352357,768803349,Enabled,0.921371,0.0342116,0.0198723,0.386666,-21.4673,212.17,-1626.12,0.119851,3,OK,-21.3303,212.241,-1626.13,OK,-61.5709,180.278,-1625.11,OK,-66.439,256.33,-1621.16,,127605466,Port:65535,0,1769352357,768803349,Missing,,,,,,,,,3,OK,76.8695,460.653,-1998.94,OK,47.8447,419.638,-2000.21,OK,5.55849,434.166,-2046.31
4,,127605475,Port:1,0,1769352357,918803349,Enabled,0.696329,0.41672,-0.465536,0.353195,-41.6564,75.4063,-1779.5,0.44609,4,OK,-41.5419,75.4179,-1779.08,OK,-81.258,49.3936,-1763.82,OK,-72.8437,-4.49389,-1759.81,OK,-17.128,20.8833,-1782.07,,127605475,Port:2,0,1769352357,918803349,Missing,,,,,,,,,4,OK,5.55859,434.125,-2046.18,OK,47.8355,419.643,-2000.19,Missing,,,,OK,76.8683,460.671,-1999.02,,127605475,Port:3,0,1769352357,918803349,Enabled,0.921354,0.0341279,0.0205378,0.386679,-21.4705,212.166,-1626.13,0.120368,3,OK,-21.3353,212.241,-1626.13,OK,-61.571,180.27,-1625.05,OK,-66.4377,256.324,-1621.15,,127605475,Port:65535,0,1769352357,918803349,Missing,,,,,,,,,3,OK,76.8683,460.671,-1999.02,OK,47.8355,419.643,-2000.19,OK,5.55859,434.125,-2046.18
4,,127605481,Port:1,0,1769352358,18803349,Enabled,0.693522,0.40512,-0.477579,0.356122,-38.7675,90.0099,-1784.2,0.418573,4,OK,-38.676,90.0128,-1783.81,OK,-79.2001,64.7238,-1769.48,OK,-71.7236,10.7358,-1764.86,OK,-14.9749,35.1161,-1785.58,,127605481,Port:2,0,1769352358,18803349,Missing,,,,,,,,,4,OK,5.54886,434.148,-2046.24,OK,47.8456,419.654,-2000.3,Missing,,,,OK,76.8656,460.656,-1998.96,,127605481,Port:3,0,1769352358,18803349,Enabled,0.921345,0.0342759,0.0207167,0.386677,-21.4706,212.168,-1626.15,0.119981,3,OK,-21.3348,212.241,-1626.15,OK,-61.5697,180.272,-1625.05,OK,-66.4372,256.326,-1621.14,,127605481,Port:65535,0,1769352358,18803349,Missing,,,,,,,,,3,OK,76.8656,460.656,-1998.96,OK,47.8456,419.654,-2000.3,OK,5.54886,434.148,-2046.24
4,,127605487,Port:1,0,1769352358,118803349,Enabled,0.679434,0.395409,-0.513688,0.343724,-35.192,107.399,-1790.98,0.43121,4,OK,-35.1142,107.393,-1790.58,OK,-77.5248,83.5337,-1779.66,OK,-72.7516,29.1358,-1776.57,OK,-13.8702,51.5343,-1792.97,,127605487,Port:2,0,1769352358,118803349,Missing,,,,,,,,,4,OK,5.55114,434.137,-2046.25,OK,47.8379,419.648,-2000.21,Missing,,,,OK,76.8578,460.644,-1998.84,,127605487,Port:3,0,1769352358,118803349,Enabled,0.921357,0.034298,0.0198997,0.38669,-21.4693,212.167,-1626.12,0.115353,3,OK,-21.3385,212.236,-1626.12,OK,-61.5663,180.274,-1625.11,OK,-66.4414,256.326,-1621.15,,127605487,Port:65535,0,1769352358,118803349,Missing,,,,,,,,,3,OK,76.8578,460.644,-1998.84,OK,47.8379,419.648,-2000.21,OK,5.55114,434.137,-2046.25
