ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,Marker4.Status,Tx,Ty,Tz,Marker5.Status,Tx,Ty,Tz,Marker6.Status,Tx,Ty,Tz
4,,127627684,Port:1,0,1769352728,68802664,Enabled,0.424039,0.614321,-0.551514,0.372334,-21.3412,11.2018,-1544.75,0.441802,4,OK,-21.0417,11.1056,-1544.93,OK,-49.7859,-28.0346,-1556.45,OK,-22.3113,-70.8145,-1576.79,OK,21.6611,-24.8382,-1564.08,,127627684,Port:2,0,1769352728,68802664,Missing,,,,,,,,,4,OK,25.6944,355.639,-1823.66,OK,67.8773,348.32,-1776.96,OK,74.0815,415.439,-1824.72,OK,96.384,389.406,-1780.42,,127627684,Port:3,0,1769352728,68802664,Enabled,0.91995,0.068224,0.00227429,0.386048,-3.47886,165.183,-1420.09,0.101938,3,OK,-3.36803,165.251,-1420.09,OK,-43.6466,133.429,-1421.75,OK,-48.3658,208.958,-1412.04,,127627684,Port:65535,0,1769352728,68802664,Missing,,,,,,,,,7,OK,5.7181,490.724,-2088.55,OK,-2.41158,524.017,-2017.31,OK,-1.81978,534.196,-2091.34,OK,96.384,389.406,-1780.42,OK,74.0815,415.439,-1824.72,OK,67.8773,348.32,-1776.96,OK,25.6944,355.639,-1823.66
4,,127627690,Port:1,0,1769352728,168802664,Enabled,0.424608,0.6142,-0.551401,0.372053,-21.1451,11.3426,-1544.75,0.432323,4,OK,-20.8545,11.2296,-1544.91,OK,-49.6246,-27.8776,-1556.44,OK,-22.1972,-70.6717,-1576.72,OK,21.8176,-24.7443,-1564.13,,127627690,Port:2,0,1769352728,168802664,Missing,,,,,,,,,4,OK,25.7097,355.636,-1823.69,OK,67.8753,348.319,-1777.02,OK,74.0778,415.426,-1824.72,OK,96.3844,389.408,-1780.41,,127627690,Port:3,0,1769352728,168802664,Enabled,0.91997,0.0681912,0.00205711,0.386005,-3.48266,165.175,-1420.06,0.0990549,3,OK,-3.37679,165.243,-1420.06,OK,-43.6506,133.426,-1421.74,OK,-48.3656,208.955,-1412.03,,127627690,Port:65535,0,1769352728,168802664,Missing,,,,,,,,,7,OK,5.72538,490.699,-2088.39,OK,-2.41574,524.035,-2017.35,OK,-1.81857,534.201,-2091.3,OK,96.3844,389.408,-1780.41,OK,74.0778,415.426,-1824.72,OK,67.8753,348.319,-1777.02,OK,25.7097,355.636,-1823.69
4,,127627696,Port:1,0,1769352728,268802664,Enabled,0.424661,0.613598,-0.551864,0.372299,-21.0098,11.4884,-1544.84,0.432671,4,OK,-20.713,11.3867,-1545,OK,-49.5223,-27.7129,-1556.54,OK,-22.1193,-70.5534,-1576.78,OK,21.9382,-24.6474,-1564.15,,127627696,Port:2,0,1769352728,268802664,Missing,,,,,,,,,4,OK,25.6951,355.636,-1823.62,OK,67.8691,348.305,-1776.94,OK,74.0718,415.426,-1824.75,OK,96.3771,389.393,-1780.36,,127627696,Port:3,0,1769352728,268802664,Enabled,0.91996,0.0682068,0.00251675,0.386025,-3.47983,165.183,-1420.1,0.0998543,3,OK,-3.37116,165.249,-1420.1,OK,-43.6467,133.43,-1421.74,OK,-48.3625,208.961,-1412.05,,127627696,Port:65535,0,1769352728,268802664,Missing,,,,,,,,,7,OK,5.7283,490.736,-2088.58,OK,-2.40881,523.993,-2017.22,OK,-1.83203,534.167,-2091.22,OK,96.3771,389.393,-1780.36,OK,74.0718,415.426,-1824.75,OK,67.8691,348.305,-1776.94,OK,25.6951,355.636,-1823.62
4,,127627705,Port:1,0,1769352728,418802664,Enabled,0.424552,0.611896,-0.553317,0.373067,-20.8357,12.2487,-1545.24,0.443957,4,OK,-20.5295,12.139,-1545.43,OK,-49.4199,-26.8898,-1556.98,OK,-22.0827,-69.8223,-1577.11,OK,22.0749,-24.0201,-1564.34,,127627705,Port:2,0,1769352728,418802664,Missing,,,,,,,,,4,OK,25.7054,355.64,-1823.7,OK,67.8709,348.315,-1776.97,OK,74.0189,415.393,-1824.4,OK,96.3821,389.395,-1780.35,,127627705,Port:3,0,1769352728,418802664,Enabled,0.91996,0.0681166,0.00236906,0.386041,-3.47977,165.181,-1420.08,0.102218,3,OK,-3.36955,165.25,-1420.07,OK,-43.6481,133.425,-1421.73,OK,-48.3649,208.958,-1412.04,,127627705,Port:65535,0,1769352728,418802664,Missing,,,,,,,,,7,OK,5.72025,490.716,-2088.52,OK,-2.4204,524.058,-2017.43,OK,-1.81729,534.235,-2091.44,OK,96.3821,389.395,-1780.35,OK,74.0189,415.393,-1824.4,OK,67.8709,348.315,-1776.97,OK,25.7054,355.64,-1823.7
4,,127627711,Port:1,0,1769352728,518802664,Enabled,0.425318,0.611881,-0.553952,0.371272,-19.7146,12.3147,-1544.41,0.436279,4,OK,-19.415,12.2055,-1544.57,OK,-48.4383,-26.7258,-1556.16,OK,-21.274,-69.6922,-1576.38,OK,23.0425,-24.0596,-1563.69,,127627711,Port:2,0,1769352728,518802664,Missing,,,,,,,,,4,OK,25.6988,355.652,-1823.7,OK,67.8749,348.299,-1776.9,OK,74.0846,415.43,-1824.73,OK,96.3765,389.382,-1780.36,,127627711,Port:3,0,1769352728,518802664,Enabled,0.919954,0.0682105,0.00211242,0.386042,-3.47795,165.183,-1420.07,0.0992699,3,OK,-3.36994,165.249,-1420.07,OK,-43.6434,133.431,-1421.75,OK,-48.3659,208.96,-1412.04,,127627711,Port:65535,0,1769352728,518802664,Missing,,,,,,,,,7,OK,5.73067,490.739,-2088.61,OK,-1.82417,534.178,-2091.26,OK,-2.41821,524.008,-2017.28,OK,96.3765,389.382,-1780.36,OK,74.0846,415.43,-1824.73,OK,67.8749,348.299,-1776.9,OK,25.6988,355.652,-1823.7
4,,127627717,Port:1,0,1769352728,618802664,Enabled,0.427438,0.61233,-0.553636,0.368559,-18.0861,12.7835,-1542.61,0.436767,4,OK,-17.7835,12.676,-1542.78,OK,-47.0104,-26.1539,-1554.19,OK,-20.0805,-69.2113,-1574.62,OK,24.4345,-23.7092,-1562.17,,127627717,Port:2,0,1769352728,618802664,Missing,,,,,,,,,4,OK,25.7007,355.643,-1823.67,OK,67.877,348.307,-1776.96,OK,74.076,415.422,-1824.7,OK,96.3806,389.396,-1780.36,,127627717,Port:3,0,1769352728,618802664,Enabled,0.919963,0.0681696,0.00230205,0.386025,-3.47847,165.179,-1420.07,0.0997058,3,OK,-3.37092,165.247,-1420.07,OK,-43.646,133.428,-1421.73,OK,-48.3617,208.955,-1412.03,,127627717,Port:65535,0,1769352728,618802664,Missing,,,,,,,,,7,OK,5.72534,490.724,-2088.54,OK,-1.8348,534.211,-2091.35,OK,-2.4193,524.045,-2017.41,OK,96.3806,389.396,-1780.36,OK,74.076,415.422,-1824.7,OK,67.877,348.307,-1776.96,OK,25.7007,355.643,-1823.67
4,,127627723,Port:1,0,1769352728,718802661,Enabled,0.427913,0.610132,-0.557445,0.365904,-16.2527,14.8144,-1541.94,0.442945,4,OK,-15.9437,14.7217,-1542.11,OK,-45.5348,-23.8075,-1553.68,OK,-19.0187,-67.075,-1574.24,OK,25.9301,-22.0136,-1561.57,,127627723,Port:2,0,1769352728,718802661,Missing,,,,,,,,,4,OK,25.6965,355.642,-1823.64,OK,67.8745,348.3,-1776.91,OK,74.0744,415.418,-1824.66,OK,96.3753,389.395,-1780.36,,127627723,Port:3,0,1769352728,718802661,Enabled,0.919975,0.0680933,0.00211286,0.386012,-3.4802,165.185,-1420.05,0.0992641,3,OK,-3.37131,165.251,-1420.05,OK,-43.649,133.44,-1421.72,OK,-48.3654,208.962,-1412.03,,127627723,Port:65535,0,1769352728,718802661,Missing,,,,,,,,,7,OK,5.73216,490.714,-2088.45,OK,-1.82616,534.199,-2091.31,OK,-2.41647,524.026,-2017.32,OK,96.3753,389.395,-1780.36,OK,74.0744,415.418,-1824.66,OK,67.8745,348.3,-1776.91,OK,25.6965,355.642,-1823.64
4,,127627729,Port:1,0,1769352728,818802661,Enabled,0.43242,0.607941,-0.559001,0.361855,-13.1051,18.3104,-1540.93,0.433498,4,OK,-12.8078,18.2047,-1541.07,OK,-42.8997,-19.9923,-1552.41,OK,-16.9889,-63.5816,-1573.03,OK,28.5223,-19.0349,-1560.81,,127627729,Port:2,0,1769352728,818802661,Missing,,,,,,,,,4,OK,25.7017,355.649,-1823.73,OK,67.8694,348.316,-1776.98,OK,74.083,415.449,-1824.79,OK,96.3829,389.421,-1780.44,,127627729,Port:3,0,1769352728,818802661,Enabled,0.91998,0.0681605,0.0021557,0.385988,-3.48408,165.186,-1420.07,0.101012,3,OK,-3.3752,165.255,-1420.07,OK,-43.6555,133.438,-1421.74,OK,-48.3653,208.966,-1412.04,,127627729,Port:65535,0,1769352728,818802661,Missing,,,,,,,,,7,OK,5.71277,490.699,-2088.46,OK,-1.8231,534.245,-2091.48,OK,-2.41584,524.062,-2017.42,OK,96.3829,389.421,-1780.44,OK,74.083,415.449,-1824.79,OK,67.8694,348.316,-1776.98,OK,25.7017,355.649,-1823.73
4,,127627735,Port:1,0,1769352728,918802661,Enabled,0.435735,0.600952,-0.56652,0.357835,-9.07787,23.3882,-1540.74,0.435129,4,OK,-8.77867,23.2811,-1540.86,OK,-39.6959,-14.2343,-1552.34,OK,-14.7444,-58.4038,-1572.83,OK,31.7415,-14.8941,-1560.51,,127627735,Port:2,0,1769352728,918802661,Missing,,,,,,,,,4,OK,25.7019,355.628,-1823.63,OK,67.8778,348.319,-1776.97,OK,74.0744,415.44,-1824.74,OK,96.3794,389.405,-1780.41,,127627735,Port:3,0,1769352728,918802661,Enabled,0.919985,0.0681132,0.00207733,0.385985,-3.4838,165.179,-1420.06,0.098695,3,OK,-3.37768,165.246,-1420.06,OK,-43.6529,133.432,-1421.74,OK,-48.3654,208.962,-1412.04,,127627735,Port:65535,0,1769352728,918802661,Missing,,,,,,,,,7,OK,5.71196,490.728,-2088.54,OK,-2.40939,524.052,-2017.39,OK,-1.82831,534.23,-2091.42,OK,96.3794,389.405,-1780.41,OK,74.0744,415.44,-1824.74,OK,67.8778,348.319,-1776.97,OK,25.7019,355.628,-1823.63
4,,127627744,Port:1,0,1769352729,68802661,Enabled,0.441272,0.594025,-0.571488,0.354703,-5.32308,29.4929,-1540.3,0.427286,4,OK,-5.03211,29.3629,-1540.42,OK,-36.7246,-7.54974,-1551.67,OK,-12.687,-52.3324,-1571.91,OK,34.6965,-9.73145,-1559.89,,127627744,Port:2,0,1769352729,68802661,Missing,,,,,,,,,4,OK,25.6946,355.647,-1823.67,OK,67.8684,348.292,-1776.87,OK,74.0806,415.443,-1824.8,OK,96.3752,389.399,-1780.38,,127627744,Port:3,0,1769352729,68802661,Enabled,0.919967,0.0682094,0.00205634,0.386009,-3.4808,165.182,-1420.07,0.0998217,3,OK,-3.37086,165.248,-1420.07,OK,-43.6496,133.435,-1421.75,OK,-48.367,208.961,-1412.04,,127627744,Port:65535,0,1769352729,68802661,Missing,,,,,,,,,7,OK,5.72277,490.717,-2088.49,OK,-2.42647,524.055,-2017.41,OK,-1.84006,534.23,-2091.4,OK,96.3752,389.399,-1780.38,OK,74.0806,415.443,-1824.8,OK,67.8684,348.292,-1776.87,OK,25.6946,355.647,-1823.67
4,,127627750,Port:1,0,1769352729,168802661,Enabled,0.444185,0.590624,-0.57254,0.35505,-4.21612,31.2459,-1541.16,0.416682,4,OK,-3.94255,31.1321,-1541.28,OK,-35.8697,-5.63413,-1552.29,OK,-12.1193,-50.7306,-1572.3,OK,35.5459,-8.39311,-1560.49,,127627750,Port:2,0,1769352729,168802661,Missing,,,,,,,,,4,OK,25.6957,355.646,-1823.66,OK,67.8794,348.313,-1776.97,OK,74.0778,415.43,-1824.78,OK,96.3765,389.399,-1780.4,,127627750,Port:3,0,1769352729,168802661,Enabled,0.919957,0.0681865,0.00222973,0.386038,-3.48062,165.184,-1420.07,0.100931,3,OK,-3.3722,165.252,-1420.07,OK,-43.6475,133.428,-1421.73,OK,-48.3664,208.963,-1412.03,,127627750,Port:65535,0,1769352729,168802661,Missing,,,,,,,,,7,OK,5.71117,490.717,-2088.51,OK,-1.85206,534.21,-2091.34,OK,-2.44476,524.052,-2017.47,OK,96.3765,389.399,-1780.4,OK,74.0778,415.43,-1824.78,OK,67.8794,348.313,-1776.97,OK,25.6957,355.646,-1823.66
