ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz
4,,127619518,Port:1,0,1769352591,968803346,Enabled,0.615456,0.515039,-0.489318,0.341346,-12.8566,72.6046,-1764.87,0.364254,4,OK,-12.7339,72.5725,-1764.61,OK,-49.3694,39.5375,-1757.1,OK,-34.8993,-12.5748,-1765.44,OK,17.6288,23.1137,-1778.66,,127619518,Port:2,0,1769352591,968803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619518,Port:3,0,1769352591,968803346,Enabled,0.917925,0.110739,-0.0145553,0.380709,-22.2337,212.595,-1636.47,0.120464,3,OK,-22.1073,212.68,-1636.46,OK,-62.7663,181.541,-1640.91,OK,-66.6214,255.92,-1624.32,,127619518,Port:65535,0,1769352591,968803346,Missing,,,,,,,,,2,OK,76.8834,460.629,-1998.91,OK,-60.1021,246.624,-1633
4,,127619527,Port:1,0,1769352592,118803346,Enabled,0.616432,0.514327,-0.488836,0.341347,-12.8767,73.6396,-1765.48,0.400513,4,OK,-12.7619,73.6068,-1765.15,OK,-49.419,40.6313,-1757.66,OK,-35.0028,-11.5293,-1765.78,OK,17.5778,24.0908,-1779.24,,127619527,Port:2,0,1769352592,118803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619527,Port:3,0,1769352592,118803346,Enabled,0.917902,0.110681,-0.0138135,0.380809,-22.2368,212.611,-1636.52,0.112187,3,OK,-22.116,212.688,-1636.51,OK,-62.7566,181.551,-1640.88,OK,-66.6262,255.924,-1624.34,,127619527,Port:65535,0,1769352592,118803346,Missing,,,,,,,,,2,OK,76.8761,460.648,-1998.96,OK,-60.1116,246.641,-1633.08
4,,127619533,Port:1,0,1769352592,218803346,Enabled,0.617849,0.512801,-0.488889,0.341005,-12.8293,74.8362,-1766.09,0.42619,4,OK,-12.7101,74.7988,-1765.72,OK,-49.4832,41.956,-1758.18,OK,-35.2143,-10.2653,-1766.08,OK,17.4953,25.1626,-1779.75,,127619533,Port:2,0,1769352592,218803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619533,Port:3,0,1769352592,218803346,Enabled,0.917896,0.110835,-0.014368,0.380757,-22.2321,212.606,-1636.47,0.119829,3,OK,-22.1043,212.689,-1636.46,OK,-62.7618,181.55,-1640.89,OK,-66.623,255.92,-1624.3,,127619533,Port:65535,0,1769352592,218803346,Missing,,,,,,,,,2,OK,76.8912,460.647,-1998.92,OK,-60.1238,246.628,-1632.98
4,,127619539,Port:1,0,1769352592,318803346,Enabled,0.61981,0.509528,-0.489059,0.342109,-12.679,76.9706,-1767.07,0.378193,4,OK,-12.5746,76.9461,-1766.75,OK,-49.4502,44.2716,-1758.94,OK,-35.355,-8.0545,-1766.55,OK,17.5155,27.0897,-1780.3,,127619539,Port:2,0,1769352592,318803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619539,Port:3,0,1769352592,318803346,Enabled,0.917889,0.110908,-0.0145303,0.380746,-22.2331,212.606,-1636.49,0.122508,3,OK,-22.1011,212.689,-1636.48,OK,-62.7652,181.55,-1640.93,OK,-66.6271,255.924,-1624.32,,127619539,Port:65535,0,1769352592,318803346,Missing,,,,,,,,,2,OK,76.8775,460.615,-1998.85,OK,-60.0991,246.646,-1632.98
4,,127619545,Port:1,0,1769352592,418803346,Enabled,0.624023,0.502413,-0.491528,0.341433,-11.4837,81.528,-1768.72,0.437821,4,OK,-11.3617,81.4887,-1768.34,OK,-48.716,49.3935,-1760.43,OK,-35.2927,-3.17716,-1767.3,OK,18.088,31.1397,-1781.36,,127619545,Port:2,0,1769352592,418803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619545,Port:3,0,1769352592,418803346,Enabled,0.917911,0.110882,-0.0145874,0.380699,-22.2311,212.604,-1636.48,0.122511,3,OK,-22.1011,212.689,-1636.47,OK,-62.7668,181.553,-1640.92,OK,-66.6188,255.923,-1624.32,,127619545,Port:65535,0,1769352592,418803346,Missing,,,,,,,,,2,OK,76.8831,460.612,-1998.81,OK,-60.1,246.617,-1632.92
4,,127619551,Port:1,0,1769352592,518803346,Enabled,0.626315,0.497447,-0.493358,0.341868,-11.0474,85.6085,-1770.02,0.427511,4,OK,-10.9213,85.576,-1769.66,OK,-48.5439,53.8233,-1761.61,OK,-35.5031,1.10422,-1768.06,OK,18.1445,34.8956,-1782.13,,127619551,Port:2,0,1769352592,518803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619551,Port:3,0,1769352592,518803346,Enabled,0.917921,0.110603,-0.0139114,0.380782,-22.2344,212.616,-1636.52,0.121474,3,OK,-22.1071,212.702,-1636.51,OK,-62.7648,181.549,-1640.89,OK,-66.6204,255.933,-1624.36,,127619551,Port:65535,0,1769352592,518803346,Missing,,,,,,,,,2,OK,76.8969,460.649,-1999.01,OK,-60.1043,246.652,-1633.01
4,,127619557,Port:1,0,1769352592,618803346,Enabled,0.629657,0.491122,-0.496521,0.340292,-10.722,91.7063,-1772.52,0.41594,4,OK,-10.6132,91.677,-1772.16,OK,-48.6996,60.5135,-1764,OK,-36.3376,7.56444,-1770.02,OK,17.8546,40.4903,-1784.17,,127619557,Port:2,0,1769352592,618803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619557,Port:3,0,1769352592,618803346,Enabled,0.917943,0.110609,-0.0148009,0.380692,-22.2349,212.605,-1636.48,0.121216,3,OK,-22.1103,212.693,-1636.47,OK,-62.7693,181.555,-1640.93,OK,-66.622,255.932,-1624.36,,127619557,Port:65535,0,1769352592,618803346,Missing,,,,,,,,,2,OK,76.8868,460.638,-1998.97,OK,-60.1076,246.65,-1632.99
4,,127619563,Port:1,0,1769352592,718803346,Enabled,0.632269,0.485506,-0.49724,0.342452,-12.2489,96.6931,-1774.71,0.448738,4,OK,-12.1446,96.6714,-1774.3,OK,-50.4422,65.8015,-1766.04,OK,-38.3459,12.7153,-1771.32,OK,16.1376,45.1998,-1785.7,,127619563,Port:2,0,1769352592,718803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619563,Port:3,0,1769352592,718803346,Enabled,0.917871,0.111118,-0.0144538,0.380733,-22.2302,212.613,-1636.49,0.120766,3,OK,-22.1005,212.695,-1636.48,OK,-62.7619,181.56,-1640.92,OK,-66.6202,255.924,-1624.29,,127619563,Port:65535,0,1769352592,718803346,Missing,,,,,,,,,2,OK,76.8869,460.631,-1998.91,OK,-60.0821,246.642,-1633.11
4,,127619572,Port:1,0,1769352592,868803346,Enabled,0.635574,0.47906,-0.495038,0.348547,-15.0411,102.316,-1777.54,0.438153,4,OK,-14.9429,102.29,-1777.14,OK,-53.2411,71.557,-1768.44,OK,-41.0617,18.3849,-1772.69,OK,13.464,50.6628,-1787.43,,127619572,Port:2,0,1769352592,868803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619572,Port:3,0,1769352592,868803346,Enabled,0.917856,0.111236,-0.014219,0.380743,-22.2339,212.616,-1636.5,0.118687,3,OK,-22.108,212.699,-1636.49,OK,-62.7631,181.56,-1640.92,OK,-66.6197,255.923,-1624.28,,127619572,Port:65535,0,1769352592,868803346,Missing,,,,,,,,,2,OK,76.875,460.643,-1998.91,OK,-60.1152,246.668,-1633.06
4,,127619578,Port:1,0,1769352592,968803346,Enabled,0.640029,0.473019,-0.495827,0.347523,-13.273,107.716,-1778.53,0.471986,4,OK,-13.1756,107.697,-1778.09,OK,-51.8253,77.4792,-1769.15,OK,-40.227,24.1393,-1772.76,OK,14.6679,55.6401,-1787.92,,127619578,Port:2,0,1769352592,968803346,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,127619578,Port:3,0,1769352592,968803346,Enabled,0.917962,0.110518,-0.0145655,0.380683,-22.2344,212.605,-1636.46,0.118679,3,OK,-22.1119,212.692,-1636.45,OK,-62.7678,181.556,-1640.89,OK,-66.6179,255.934,-1624.34,,127619578,Port:65535,0,1769352592,968803346,Missing,,,,,,,,,2,OK,76.8736,460.617,-1998.8,OK,-60.0791,246.631,-1632.92
