Group,Q0,Qx,Qy,Qz,Tx,Ty,Tz
1,0.583969,0.535144,-0.491427,0.362078,-3.19842,70.6066,-1775.38
2,0.568269,0.476606,-0.456327,0.491612,-14.128,109.887,-1806.87
3,0.382891,0.555991,-0.592548,0.439495,-53.6296,-33.7044,-1774.41
4,0.695175,0.14772,-0.543928,0.446152,18.4488,129.701,-1864.08
5,0.524966,0.598876,-0.373245,0.475865,-26.486,47.7558,-1811.5
6,0.599395,0.109706,-0.647545,0.457575,-22.0656,54.8589,-1768.86
7,0.685773,0.20994,-0.534597,0.447042,-13.7586,128.114,-1816
8,0.383027,-0.77611,-0.257638,-0.429612,-10.6264,15.9501,-1763.28
9,0.592567,0.228963,-0.612117,0.470908,-42.4179,124.669,-1799.27
10,0.617751,0.232363,-0.538136,0.524215,-34.1457,140.88,-1883.84
11,0.460782,0.482922,-0.46768,0.579432,11.3312,33.1402,-1837.03
12,0.267112,0.647948,-0.456821,0.54784,2.72166,-33.9396,-1797.51
13,0.612452,0.160981,-0.62942,0.450354,-25.7392,91.7732,-1713.97
14,0.426921,0.472332,-0.605384,0.477652,-12.6269,-26.9266,-1695.3
15,0.427331,0.461593,-0.479187,0.612127,-55.6448,60.5312,-1732.99
16,0.638287,0.312487,-0.520172,0.473668,-32.2948,126.934,-1801.6
17,0.468774,0.498908,-0.478569,0.54983,-45.3785,79.2596,-1748.73
18,0.524656,0.026573,-0.650203,0.548877,20.1594,83.8097,-1790.88
19,0.390087,0.259622,-0.608026,0.640885,-20.8284,74.6024,-1803.04
20,0.479494,0.509974,-0.351602,0.621601,-70.4447,47.1872,-1802.03
21,0.717732,0.179833,-0.531946,0.411769,4.3431,56.5866,-1788.25
22,0.672451,0.0684938,-0.53082,0.511223,-33.4862,143.818,-1752.84
23,0.336106,0.554864,-0.296809,0.700758,-69.2917,35.9485,-1772.04
24,0.491171,0.570733,-0.408373,0.51599,-26.4322,43.4707,-1814.79
25,0.607227,0.241588,-0.58789,0.476756,-0.177772,31.925,-1733.02
