#Tools
ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz
4,,127302376,Port:1,0,1769347306,268806729,Enabled,0.584219,0.535307,-0.491084,0.3619,-3.20003,70.6043,-1775.39,0.413408,4,OK,-3.1111,70.5752,-1775.02,OK,-37.7729,35.0607,-1770.44,OK,-19.588,-15.7837,-1779.94,OK,31.0135,23.7342,-1789.8,,127302376,Port:2,0,1769347306,268806729,Missing,,,,,,,,,4,OK,11.1064,411.099,-1976.6,OK,47.3845,460.646,-1997,OK,56.3412,385.02,-2032.09,Missing,,,,,127302376,Port:3,0,1769347306,268806729,Enabled,0.921039,0.00252558,0.030471,0.388267,-24.6694,221.303,-1671.37,0.168285,3,OK,-24.4663,221.392,-1671.39,OK,-64.665,189.323,-1668.44,OK,-69.9061,265.448,-1669.58,,127302376,Port:65535,0,1769347306,268806729,Missing,,,,,,,,,3,OK,56.3412,385.02,-2032.09,OK,47.3845,460.646,-1997,OK,11.1064,411.099,-1976.6
4,,127302385,Port:1,0,1769347306,418806732,Enabled,0.584444,0.535518,-0.49082,0.361582,-3.19541,70.6034,-1775.43,0.435201,4,OK,-3.10998,70.5741,-1775.03,OK,-37.7638,35.0664,-1770.48,OK,-19.5828,-15.7806,-1779.95,OK,30.9953,23.7254,-1789.89,,127302385,Port:2,0,1769347306,418806732,Missing,,,,,,,,,4,OK,11.0898,411.102,-1976.59,OK,47.4005,460.691,-1997.21,OK,56.3705,385.057,-2032.28,Missing,,,,,127302385,Port:3,0,1769347306,418806732,Enabled,0.920987,0.0028179,0.0310963,0.38834,-24.6677,221.313,-1671.42,0.168271,3,OK,-24.4644,221.403,-1671.44,OK,-64.6556,189.332,-1668.43,OK,-69.908,265.444,-1669.57,,127302385,Port:65535,0,1769347306,418806732,Missing,,,,,,,,,3,OK,56.3705,385.057,-2032.28,OK,47.4005,460.691,-1997.21,OK,11.0898,411.102,-1976.59
4,,127302391,Port:1,0,1769347306,518806732,Enabled,0.58407,0.535425,-0.491277,0.361702,-3.19463,70.6061,-1775.38,0.4382,4,OK,-3.10571,70.5777,-1774.99,OK,-37.7653,35.0691,-1770.49,OK,-19.5943,-15.777,-1779.96,OK,30.9934,23.7356,-1789.83,,127302391,Port:2,0,1769347306,518806732,Missing,,,,,,,,,4,OK,11.0939,411.105,-1976.63,OK,47.3885,460.703,-1997.23,OK,56.3585,385.044,-2032.19,Missing,,,,,127302391,Port:3,0,1769347306,518806732,Enabled,0.920995,0.00262601,0.0307427,0.388351,-24.6723,221.308,-1671.37,0.166792,3,OK,-24.4712,221.397,-1671.39,OK,-64.6601,189.325,-1668.41,OK,-69.9145,265.439,-1669.56,,127302391,Port:65535,0,1769347306,518806732,Missing,,,,,,,,,3,OK,56.3585,385.044,-2032.19,OK,47.3885,460.703,-1997.23,OK,11.0939,411.105,-1976.63
4,,127302397,Port:1,0,1769347306,618806732,Enabled,0.583865,0.535012,-0.491528,0.362306,-3.20412,70.6099,-1775.38,0.437299,4,OK,-3.10845,70.5777,-1775,OK,-37.7727,35.0645,-1770.52,OK,-19.583,-15.777,-1779.94,OK,31.0042,23.7435,-1789.75,,127302397,Port:2,0,1769347306,618806732,Missing,,,,,,,,,4,OK,11.1007,411.105,-1976.62,OK,47.3811,460.654,-1997.01,OK,56.331,385.006,-2032.13,Missing,,,,,127302397,Port:3,0,1769347306,618806732,Enabled,0.921013,0.00274105,0.0308154,0.388302,-24.672,221.305,-1671.38,0.167491,3,OK,-24.4688,221.393,-1671.39,OK,-64.6625,189.325,-1668.41,OK,-69.9111,265.444,-1669.54,,127302397,Port:65535,0,1769347306,618806732,Missing,,,,,,,,,3,OK,56.331,385.006,-2032.13,OK,47.3811,460.654,-1997.01,OK,11.1007,411.105,-1976.62
4,,127302403,Port:1,0,1769347306,718806732,Enabled,0.584105,0.534988,-0.49129,0.362275,-3.20534,70.6127,-1775.4,0.42599,4,OK,-3.11148,70.5824,-1775.03,OK,-37.7684,35.0648,-1770.49,OK,-19.5843,-15.7707,-1779.92,OK,30.9958,23.7372,-1789.75,,127302403,Port:2,0,1769347306,718806732,Missing,,,,,,,,,4,OK,11.1041,411.109,-1976.58,OK,47.3888,460.643,-1997.06,OK,56.3558,385.046,-2032.29,Missing,,,,,127302403,Port:3,0,1769347306,718806732,Enabled,0.921008,0.00278788,0.0309783,0.3883,-24.6714,221.304,-1671.38,0.167151,3,OK,-24.4718,221.396,-1671.4,OK,-64.6612,189.321,-1668.4,OK,-69.9059,265.442,-1669.53,,127302403,Port:65535,0,1769347306,718806732,Missing,,,,,,,,,3,OK,56.3558,385.046,-2032.29,OK,47.3888,460.643,-1997.06,OK,11.1041,411.109,-1976.58
4,,127302412,Port:1,0,1769347306,868806732,Enabled,0.584007,0.535698,-0.491227,0.361468,-3.19546,70.6044,-1775.33,0.441607,4,OK,-3.11022,70.5781,-1774.93,OK,-37.7686,35.0632,-1770.45,OK,-19.5918,-15.7784,-1779.95,OK,31.0051,23.7422,-1789.83,,127302412,Port:2,0,1769347306,868806732,Missing,,,,,,,,,4,OK,11.1099,411.103,-1976.61,OK,47.3841,460.648,-1997.01,OK,56.3614,385.022,-2032.07,Missing,,,,,127302412,Port:3,0,1769347306,868806732,Enabled,0.921,0.0028132,0.0308748,0.388327,-24.6723,221.301,-1671.37,0.167059,3,OK,-24.4704,221.39,-1671.39,OK,-64.6609,189.32,-1668.4,OK,-69.9117,265.435,-1669.53,,127302412,Port:65535,0,1769347306,868806732,Missing,,,,,,,,,3,OK,56.3614,385.022,-2032.07,OK,47.3841,460.648,-1997.01,OK,11.1099,411.103,-1976.61
4,,127302418,Port:1,0,1769347306,968806732,Enabled,0.583848,0.535061,-0.49161,0.362149,-3.19663,70.6013,-1775.35,0.42082,4,OK,-3.10699,70.5785,-1774.98,OK,-37.7661,35.0673,-1770.47,OK,-19.5862,-15.7843,-1779.95,OK,30.9924,23.7204,-1789.71,,127302418,Port:2,0,1769347306,968806732,Missing,,,,,,,,,4,OK,11.0981,411.09,-1976.47,OK,47.3929,460.671,-1997.13,OK,56.3506,385.036,-2032.29,Missing,,,,,127302418,Port:3,0,1769347306,968806732,Enabled,0.921005,0.00289451,0.0309328,0.388311,-24.6712,221.305,-1671.37,0.168307,3,OK,-24.4721,221.4,-1671.39,OK,-64.6619,189.318,-1668.4,OK,-69.9047,265.441,-1669.52,,127302418,Port:65535,0,1769347306,968806732,Missing,,,,,,,,,3,OK,56.3506,385.036,-2032.29,OK,47.3929,460.671,-1997.13,OK,11.0981,411.09,-1976.47
4,,127302424,Port:1,0,1769347307,68806732,Enabled,0.583724,0.534916,-0.491693,0.362448,-3.21094,70.6053,-1775.34,0.424884,4,OK,-3.11584,70.5735,-1774.98,OK,-37.7665,35.0591,-1770.47,OK,-19.5864,-15.7833,-1779.92,OK,30.9888,23.741,-1789.67,,127302424,Port:2,0,1769347307,68806732,Missing,,,,,,,,,4,OK,11.1152,411.108,-1976.6,OK,47.3913,460.67,-1997.09,OK,56.366,385.017,-2032.11,Missing,,,,,127302424,Port:3,0,1769347307,68806732,Enabled,0.920991,0.0027391,0.0310579,0.388334,-24.6683,221.304,-1671.37,0.167593,3,OK,-24.4663,221.394,-1671.38,OK,-64.6559,189.322,-1668.38,OK,-69.9079,265.437,-1669.52,,127302424,Port:65535,0,1769347307,68806732,Missing,,,,,,,,,3,OK,56.366,385.017,-2032.11,OK,47.3913,460.67,-1997.09,OK,11.1152,411.108,-1976.6
4,,127302430,Port:1,0,1769347307,168806732,Enabled,0.583994,0.535081,-0.491442,0.362111,-3.19436,70.605,-1775.38,0.393145,4,OK,-3.10971,70.5746,-1775.04,OK,-37.7626,35.0733,-1770.43,OK,-19.5812,-15.7759,-1779.97,OK,30.9987,23.7206,-1789.72,,127302430,Port:2,0,1769347307,168806732,Missing,,,,,,,,,4,OK,11.1023,411.124,-1976.69,OK,47.384,460.657,-1997.07,OK,56.3565,385.047,-2032.31,Missing,,,,,127302430,Port:3,0,1769347307,168806732,Enabled,0.920988,0.0028596,0.0313572,0.388316,-24.672,221.298,-1671.4,0.168906,3,OK,-24.4707,221.392,-1671.41,OK,-64.6601,189.313,-1668.39,OK,-69.9067,265.434,-1669.53,,127302430,Port:65535,0,1769347307,168806732,Missing,,,,,,,,,3,OK,56.3565,385.047,-2032.31,OK,47.384,460.657,-1997.07,OK,11.1023,411.124,-1976.69
4,,127302436,Port:1,0,1769347307,268806732,Enabled,0.583818,0.534981,-0.491619,0.3623,-3.20078,70.6132,-1775.37,0.40586,4,OK,-3.10726,70.5783,-1775.02,OK,-37.7681,35.0778,-1770.47,OK,-19.5807,-15.7733,-1779.97,OK,30.9948,23.742,-1789.7,,127302436,Port:2,0,1769347307,268806732,Missing,,,,,,,,,4,OK,11.0929,411.081,-1976.46,OK,47.3944,460.678,-1997.12,OK,56.3394,385.052,-2032.15,Missing,,,,,127302436,Port:3,0,1769347307,268806732,Enabled,0.921034,0.00233367,0.0305597,0.388275,-24.6707,221.303,-1671.34,0.165227,3,OK,-24.4726,221.392,-1671.35,OK,-64.6627,189.324,-1668.39,OK,-69.9066,265.446,-1669.56,,127302436,Port:65535,0,1769347307,268806732,Missing,,,,,,,,,3,OK,56.3394,385.052,-2032.15,OK,47.3944,460.678,-1997.12,OK,11.0929,411.081,-1976.46
4,,127303699,Port:1,0,1769347328,318806733,Enabled,0.568314,0.476797,-0.4563,0.491399,-14.1116,109.895,-1806.87,0.490146,4,OK,-14.0767,109.896,-1806.39,OK,-44.3148,70.9378,-1799.46,OK,-18.5986,22.7871,-1795.11,OK,27.6924,67.138,-1806.14,,127303699,Port:2,0,1769347328,318806733,Missing,,,,,,,,,4,OK,11.1073,411.085,-1976.54,OK,47.3971,460.687,-1997.18,OK,56.3579,385.05,-2032.3,Missing,,,,,127303699,Port:3,0,1769347328,318806733,Enabled,0.920973,0.00272209,0.0316461,0.388331,-24.6647,221.309,-1671.41,0.167722,3,OK,-24.4655,221.402,-1671.42,OK,-64.6484,189.322,-1668.36,OK,-69.9004,265.446,-1669.53,,127303699,Port:65535,0,1769347328,318806733,Missing,,,,,,,,,3,OK,56.3579,385.05,-2032.3,OK,47.3971,460.687,-1997.18,OK,11.1073,411.085,-1976.54
